spec,kappa,lam_update,h_within,inner_valid_ll
BASE (off+def EPA),0.5,10,999,0.647230013205439
B (TO-neutral + TO margin),0.5,10,999,0.6490325185192707
BASE (off+def EPA),0.5,20,4,0.6431342304866636
B (TO-neutral + TO margin),0.5,20,4,0.6437681694184484
BASE (off+def EPA),0.5,20,8,0.6439975322465605
B (TO-neutral + TO margin),0.5,20,8,0.6456935319661202
BASE (off+def EPA),0.5,20,16,0.644644006384009
B (TO-neutral + TO margin),0.5,20,16,0.6467961979929658
BASE (off+def EPA),0.5,20,999,0.6453500909252304
B (TO-neutral + TO margin),0.5,20,999,0.647847923032723
BASE (off+def EPA),0.5,40,4,0.6440686835369692
B (TO-neutral + TO margin),0.5,40,4,0.6452607732401078
BASE (off+def EPA),0.5,40,8,0.6452020842220972
B (TO-neutral + TO margin),0.5,40,8,0.6471208271372472
BASE (off+def EPA),0.5,40,16,0.6458555229048912
B (TO-neutral + TO margin),0.5,40,16,0.6480918095674589
BASE (off+def EPA),0.5,40,999,0.6464833909065805
B (TO-neutral + TO margin),0.5,40,999,0.6489676092398915
BASE (off+def EPA),0.5,80,4,0.6480439870207472
B (TO-neutral + TO margin),0.5,80,4,0.6492210676458368
BASE (off+def EPA),0.5,80,8,0.6490254157434145
B (TO-neutral + TO margin),0.5,80,8,0.6506102905535602
BASE (off+def EPA),0.5,80,16,0.649523790964134
B (TO-neutral + TO margin),0.5,80,16,0.6512953752338098
BASE (off+def EPA),0.5,80,999,0.6499683254954589
B (TO-neutral + TO margin),0.5,80,999,0.6518941139724859
BASE (off+def EPA),0.7,5,4,0.6477630911396838
B (TO-neutral + TO margin),0.7,5,4,0.646591690033326
BASE (off+def EPA),0.7,5,8,0.6479780350722107
B (TO-neutral + TO margin),0.7,5,8,0.6480276987420781
BASE (off+def EPA),0.7,5,16,0.6483304752778886
B (TO-neutral + TO margin),0.7,5,16,0.6489175023420551
BASE (off+def EPA),0.7,5,999,0.6488016558372808
B (TO-neutral + TO margin),0.7,5,999,0.6498092854258849
BASE (off+def EPA),0.7,10,4,0.643997134102131
B (TO-neutral + TO margin),0.7,10,4,0.6439897670759253
BASE (off+def EPA),0.7,10,8,0.6445946937182548
B (TO-neutral + TO margin),0.7,10,8,0.6457349337162611
BASE (off+def EPA),0.7,10,16,0.6451221302063022
B (TO-neutral + TO margin),0.7,10,16,0.6467588656254047
BASE (off+def EPA),0.7,10,999,0.6457342680119378
B (TO-neutral + TO margin),0.7,10,999,0.647751246755144
BASE (off+def EPA),0.7,20,4,0.6430672482954569
B (TO-neutral + TO margin),0.7,20,4,0.643976050980086
BASE (off+def EPA),0.7,20,8,0.6440571260782673
B (TO-neutral + TO margin),0.7,20,8,0.6458582553403692
BASE (off+def EPA),0.7,20,16,0.6446832574087714
B (TO-neutral + TO margin),0.7,20,16,0.6468693778137772
BASE (off+def EPA),0.7,20,999,0.645314987748331
B (TO-neutral + TO margin),0.7,20,999,0.6477976528539856
BASE (off+def EPA),0.7,40,4,0.6458178252524696
B (TO-neutral + TO margin),0.7,40,4,0.6470307435771561
BASE (off+def EPA),0.7,40,8,0.6468600164580686
B (TO-neutral + TO margin),0.7,40,8,0.6486253053082045
BASE (off+def EPA),0.7,40,16,0.6474112146000914
B (TO-neutral + TO margin),0.7,40,16,0.6494241125452834
BASE (off+def EPA),0.7,40,999,0.6479137373927214
B (TO-neutral + TO margin),0.7,40,999,0.6501266322942341
BASE (off+def EPA),0.7,80,4,0.6503137264671986
B (TO-neutral + TO margin),0.7,80,4,0.6513755892121191
BASE (off+def EPA),0.7,80,8,0.6510900908648346
B (TO-neutral + TO margin),0.7,80,8,0.652447633304073
BASE (off+def EPA),0.7,80,16,0.6514686341692472
B (TO-neutral + TO margin),0.7,80,16,0.6529645775978519
BASE (off+def EPA),0.7,80,999,0.6517965433838397
B (TO-neutral + TO margin),0.7,80,999,0.6534104000251811
BASE (off+def EPA),0.9,5,4,0.6462459530487966
B (TO-neutral + TO margin),0.9,5,4,0.6453427342991627
BASE (off+def EPA),0.9,5,8,0.6465482182785877
B (TO-neutral + TO margin),0.9,5,8,0.6468388837768606
BASE (off+def EPA),0.9,5,16,0.6469173979672928
B (TO-neutral + TO margin),0.9,5,16,0.6477298470583871
BASE (off+def EPA),0.9,5,999,0.6473825794591347
