spec,k,cv_logloss,acc,delta_vs_B,lo,hi,folds_neg
spec B (incumbent),3,0.6352885659814159,0.652292576419214,0.0,0.0,0.0,0
off/def pts_per_drive,2,0.6353180557906837,0.6468340611353712,2.9489809267850898e-05,-0.005139537423388327,0.004957611120724021,4
off/def pts_per_drive + TO,3,0.635348615022681,0.6473799126637555,6.004904126523326e-05,-0.005199847710791124,0.004846024828585422,4
off/def epa (no TO),2,0.6357395193985558,0.6430131004366813,0.0004509534171400081,-0.001957903114507524,0.0027903288860491936,2
net epa_noto + net TO,2,0.6378873179249878,0.648471615720524,0.002598751943571741,0.0005272399819994875,0.004602881940905366,2
net pts_per_drive only,1,0.6387585478716251,0.6441048034934498,0.0034699818902092032,-0.00197723437985187,0.008778152746613416,3
net epa only,1,0.638955828278775,0.6413755458515283,0.0036672622973591444,0.0005544039978828786,0.006942688634369951,2
off/def epa_noto (no TO),2,0.642332713999048,0.63264192139738,0.007044148017632128,0.001009931770434886,0.013046307523453222,1
net epa_noto only,1,0.6453175367096405,0.6271834061135371,0.010028970728224732,0.003077274012324477,0.01700162212866334,1
