spec,k,cv_logloss,acc,delta_vs_B,lo,hi,folds_neg
off/def pts_per_drive,2,0.6356427393272585,0.6441048034934498,-0.00019273929132455374,-0.005098554002535887,0.0044391645524517265,4
off/def pts_per_drive + TO,3,0.6357833406559324,0.6462882096069869,-5.2137962650610016e-05,-0.004483333524050545,0.004659445367865225,4
spec B (incumbent),3,0.635835478618583,0.6473799126637555,0.0,0.0,0.0,0
off/def epa (no TO),2,0.636228093115844,0.6468340611353712,0.0003926144972609743,-0.0018936069753290056,0.002677019265301438,2
net epa_noto + net TO,2,0.6387621681741719,0.6413755458515283,0.002926689555588742,0.0006776863543781479,0.005107522475102656,2
net pts_per_drive only,1,0.6395600507232801,0.6364628820960698,0.0037245721046972064,-0.0012895832545345223,0.008917969909021634,3
net epa only,1,0.6398103344229151,0.6397379912663755,0.003974855804332104,0.0008416999300101621,0.006987423257951144,2
off/def epa_noto (no TO),2,0.6429630497283205,0.6370087336244541,0.007127571109737633,0.0011055483414095775,0.013162743716999145,1
net epa_noto only,1,0.6463087123784005,0.631004366812227,0.01047323375981738,0.004099031158395634,0.017036527964766093,1
