feature,coef,z,p,univar_ll,marginal_ll_gain,earns_place
pace_x_quality,0.08833384362106403,1.7264621551201147,0.08426430212842949,0.6836937867685831,0.003368620007605627,yes
def_rush_epa_diff,0.13192747841952335,2.109565369383911,0.03489580988223573,0.6841970397813751,0.00272269987972773,yes
rest_bye_diff,0.040748640205910444,0.914331897677566,0.36054247461961286,0.6858663648783547,0.0023897605976572756,yes
div_game,-0.048918318181013706,-1.0981590711763323,0.2721350348271604,0.6859051815406012,0.0017527920162290211,yes
off_sr_diff,0.22841951464614757,1.9115748433655353,0.05593074858282106,0.6568555171774174,0.0016789886529452458,yes
is_neutral,-0.050080489909264225,-1.11842315247551,0.26338631062898876,0.6862611906661022,0.001455809610611758,yes
off_pass_epa_diff,0.2858952284480603,2.396067154514614,0.016572053785936482,0.6668205688955497,0.0012805614451616432,yes
off_rush_epa_diff,0.16443699958508026,2.3898177988164147,0.016856733044762585,0.6705328574547955,0.0012034911211457056,yes
def_cpoe_diff,0.034633417668350194,0.49843080869533174,0.6181804262665358,0.6877343898181788,0.0006704376038031423,yes
def_to_rate_diff,-0.023176196392783364,-0.36957173041539354,0.7117016179008611,0.6669029607594358,0.0004473098773459805,yes
div_x_quality,-0.045879545039765796,-0.7204200083526369,0.4712664344617564,0.6751986574847169,0.0003196163388508033,yes
def_sr_diff,-0.01857706058662635,-0.19981173025446775,0.8416278269100734,0.6854300799184971,0.00023514561049242655,yes
off_cpoe_diff,-0.010015657573176236,-0.14500384632056013,0.8847078349642438,0.6849168885083362,0.00022137870953398142,yes
pace_diff,0.014216963371301537,0.29670971702316,0.7666881378385748,0.6870310706291277,0.00015458811316737542,yes
pass_mismatch_diff,-0.05156058775964298,-1.1082321808255688,0.26776155613122943,0.6885110551875182,0.00012620999100620978,yes
rest_short_diff,-0.00046323054649833787,-0.010446713352063892,0.9916648803127726,0.6871136518720132,-2.722167050661639e-07,no
pace_sum,0.017786623965995143,0.39591424681324006,0.6921682906045374,0.6873711717317758,-2.8233259837251445e-05,no
off_to_rate_diff,-0.13230821098381393,-2.1165886107635257,0.034294777561470924,0.6934609990648084,-0.0003049625832829417,no
def_pass_epa_diff,0.23762195254502633,2.4626287939630167,0.013792262715044754,0.677195421509601,-0.00047642102875666836,no
rest_mini_bye_diff,-0.03859428528478425,-0.8578212100899064,0.3909911959862249,0.6874184956824169,-0.001017317147025909,no
off_pass_oe_diff,0.06381080743908737,1.1048522303392858,0.26922362430127456,0.6875121564174824,-0.0016521291684697959,no
season_c,-0.06197958574141602,-1.3946474189373592,0.16312218818898783,0.688929618545074,-0.0017824096916849719,no
