alpha,cv_logloss,d_vs_alpha0,lo,hi,boot_p
0.0,0.6401504320331696,,,,
0.25,0.6397638506306108,-0.0003865814025586523,-0.001030155493256369,0.00030836866517317105,0.263
0.5,0.6395528482520949,-0.0005975837810746662,-0.001954151716955205,0.0007371643609602505,0.347
0.75,0.6395287710915403,-0.0006216609416293535,-0.002622782616868643,0.0013396963077312836,0.566
1.0,0.6396990356108878,-0.0004513964222817905,-0.0032011346948660584,0.0022149182271759948,0.717
1.25,0.6400664176989704,-8.401433419910098e-05,-0.0034439057245191566,0.0032912197138290607,0.971
1.5,0.6406286391615207,0.00047820712835111557,-0.0032211366570953906,0.004495681473058929,0.836
