spec,k,cv_logloss,acc,delta_vs_B,lo,hi,folds_neg
off/def pts_per_drive,2,0.6393260912090251,0.6364628820960698,-0.0003729444018626894,-0.005174092525868635,0.004342128391588579,4
off/def pts_per_drive + TO,3,0.6394475864458833,0.6353711790393013,-0.00025144916500455505,-0.005141039945688435,0.004407342039402662,4
spec B (incumbent),3,0.6396990356108878,0.6391921397379913,0.0,0.0,0.0,0
off/def epa (no TO),2,0.6404385972661246,0.62882096069869,0.000739561655236827,-0.0014814709231220915,0.0028657806214003496,2
net epa_noto + net TO,2,0.6438756045102886,0.6304585152838428,0.004176568899400797,0.0009641986905500256,0.007602109884797284,3
net pts_per_drive only,1,0.6441682558513372,0.6375545851528385,0.004469220240449278,-0.00163028607148793,0.009872061289266883,3
net epa only,1,0.6448517250634938,0.631004366812227,0.005152689452605914,0.0013198982704465125,0.008819646123656332,2
off/def epa_noto (no TO),2,0.6452734824364408,0.6359170305676856,0.005574446825552819,-0.0010636992204538709,0.01190342246840564,1
net epa_noto only,1,0.6498231749635187,0.62117903930131,0.010124139352630897,0.002700157746704019,0.017459772647848575,1
