plays_per_half,r_epa,r_success_rate,r_cross,disattenuated_corr,team_seasons
40,0.09604185825251821,0.1167765367908798,0.09944905492764433,0.9390583689281268,288
75,0.15800430270506974,0.18222341230065547,0.16120194951262973,0.9500221813006213,288
150,0.28774854338099,0.312943002541573,0.28555162759975133,0.95158031736019,288
300,0.43671887506365004,0.4883379548364599,0.43743880866989737,0.9472314057792677,288
450,0.5385894892774028,0.5864100465824258,0.5269646232973596,0.9376738893530967,288
500,0.5375908034666068,0.5854819568301679,0.5260264978008827,0.9376158676354533,263
