config,cv_logloss,acc,delta,lo,hi,boot_p,folds_neg
H_within=1,0.645950687033617,0.6217248908296943,,,,,
H_within=2,0.6396990356108878,0.6391921397379913,-0.00625165142272928,-0.010071925170959074,-0.002339010434190285,0.003,7.0
H_within=4,0.6369780328633091,0.6468340611353712,-0.008972654170307902,-0.015628024771192246,-0.001805991078345778,0.011,7.0
H_within=6,0.6365836759019705,0.6435589519650655,-0.009367011131646546,-0.017619271727473563,-0.001709497096963099,0.013,6.0
H_within=10,0.6365686704485681,0.6391921397379913,-0.009382016585048827,-0.017603586211951638,-0.0008728981202155017,0.035,6.0
H_within=16,0.6366940988228441,0.642467248908297,-0.009256588210772862,-0.018605391468875094,-0.0004553205992549442,0.04,6.0
H_within=24,0.6368076150397605,0.6402838427947598,-0.009143071993856559,-0.018548026731049775,-2.1207621865623702e-05,0.05,6.0
H_within=100,0.637040918729741,0.6397379912663755,-0.00890976830387592,-0.018485727260818943,0.0003779484446890929,0.06,6.0
