metric,side,bucket,n,b_raw,b_adj,t_adj,lo,hi
epa_noto,O,wk 1-4,1518,1.078148226408015,0.06649729637474416,0.06777502059587201,-1.8565165930776575,1.9895111858271457
epa_noto,O,wk 5-9,1710,1.0349473707389518,1.8117646555058027,2.7559383456040716,0.523276660511977,3.1002526504996286
epa_noto,O,wk 10-18,3074,0.9696513458322714,0.9146075037171293,2.9163629701778713,0.29993855283330806,1.5292764546009505
epa_noto,D,wk 1-4,1518,0.8709362560721031,0.6470401448371188,0.8146894568518074,-0.9095963990220894,2.2036766886963273
epa_noto,D,wk 5-9,1710,0.6298616801013315,0.7101298589615257,1.3181313567821862,-0.3457807987659578,1.7660405166890092
epa_noto,D,wk 10-18,3074,0.6182553313177527,0.8014217049585166,2.9415963595339107,0.2674403267668939,1.3354030831501393
epa,O,wk 1-4,1518,1.0268292585744287,1.4339876685846231,1.461464647591765,-0.4891270569968218,3.357102394166068
epa,O,wk 5-9,1710,1.0330324411515341,1.6905914426415336,2.542940819423236,0.38757317542894776,2.9936097098541197
epa,O,wk 10-18,3074,0.9155352836416459,0.9611426269860249,3.12098831618127,0.35755019341876926,1.5647350605532806
epa,D,wk 1-4,1518,0.833920041492374,0.07493829741909819,0.09182709193859255,-1.5245500551294484,1.6744266499676448
epa,D,wk 5-9,1710,0.629591957522265,0.4688026489095364,0.8630952952683899,-0.5957800371007537,1.5333853349198265
epa,D,wk 10-18,3074,0.6470191740963844,0.7198634163218975,2.657875864024933,0.18902358708988543,1.2507032455539098
