config,cv_logloss,acc
kappa=0,0.6561488169174898,0.5966157205240175
kappa=0.3,0.647420914108327,0.6228165938864629
kappa=0.6,0.6421654801427837,0.6282751091703057
kappa=0.9,0.6396990356108878,0.6391921397379913
kappa=1,0.6393183930848931,0.6397379912663755
