half_life,gamma,lam,mse,rel
3,0.2,10,0.03543439504093595,1.1097176529747834
3,0.2,20,0.03395000535378683,1.063230237631017
3,0.2,40,0.03314699937800306,1.0380820756335558
3,0.2,80,0.03322779257158047,1.0406123187222125
3,0.4,10,0.03503433101940046,1.0971886368449715
3,0.4,20,0.03367263804833883,1.0545437793224128
3,0.4,40,0.03296749869000475,1.03246055784095
3,0.4,80,0.0331207012484662,1.0372584832298035
3,0.6,10,0.03474614126173222,1.0881632460877282
3,0.6,20,0.03347699883697724,1.0484168428751781
3,0.6,40,0.03284542795492944,1.0286376041975143
3,0.6,80,0.03305118118113225,1.0350812865860521
3,0.8,10,0.03452466322879017,1.0812271016264503
3,0.8,20,0.03332911241962021,1.0437854058833316
3,0.8,40,0.032756192638273084,1.025842974684355
3,0.8,80,0.033002627597062226,1.0335607083654998
5,0.2,10,0.03411998479160521,1.0685535734060985
5,0.2,20,0.03309127874020125,1.0363370430082703
5,0.2,40,0.03265433393149322,1.022653011799643
5,0.2,80,0.032982816850194746,1.0329402847490654
5,0.4,10,0.03352203218153431,1.0498271758968014
5,0.4,20,0.03269965202938506,1.024072262591754
5,0.4,40,0.03242880680645977,1.0155900597840906
5,0.4,80,0.03286910157728075,1.0293790035244326
5,0.6,10,0.03317071780863116,1.0388248782449294
5,0.6,20,0.03247691580020018,1.0170967145346206
5,0.6,40,0.03231067774255482,1.011890549537245
5,0.6,80,0.03281797021698074,1.027777695725048
5,0.8,10,0.032942955848123595,1.031691936707212
5,0.8,20,0.03233772661289959,1.012737653287145
5,0.8,40,0.03224342382178056,1.009784323001453
5,0.8,80,0.03279473979899542,1.0270501764631976
8,0.2,10,0.03328505821197182,1.0424057370090993
8,0.2,20,0.03256977095134691,1.0200047083151866
8,0.2,40,0.03238345811560433,1.0141698508959907
8,0.2,80,0.03287122966329247,1.029445649917338
8,0.4,10,0.032667781550858296,1.0230741579934097
8,0.4,20,0.03218694576189106,1.0080155697888542
8,0.4,40,0.03219250427608912,1.0081896487119675
8,0.4,80,0.03279998129679303,1.0272143272163659
8,0.6,10,0.032385201539424695,1.0142244506200113
8,0.6,20,0.032029175098613326,1.003074582650268
8,0.6,40,0.03213535990501152,1.0064000282801895
8,0.6,80,0.032799321874158724,1.0271936757296618
8,0.8,10,0.032246833462671626,1.0098911045249628
8,0.8,20,0.03196716418652684,1.0011325541849891
8,0.8,40,0.03213247728040188,1.0063097516037423
8,0.8,80,0.03282494067185644,1.0279959931396332
12,0.2,10,0.03282169474059112,1.0278943385968844
12,0.2,20,0.032295370708207816,1.0114111710630271
12,0.2,40,0.0322604234745107,1.010316710098997
12,0.2,80,0.032838401222356074,1.028417544304566
12,0.4,10,0.03228633792824534,1.011128286725134
12,0.4,20,0.031989599063549194,1.0018351590705885
12,0.4,40,0.03214119958363427,1.0065829125779988
12,0.4,80,0.03282621163631753,1.0280357966045193
12,0.6,10,0.03212199157060826,1.0059813650954212
12,0.6,20,0.031931000598168495,1.0
12,0.6,40,0.03216284187819531,1.0072606957403056
12,0.6,80,0.03288281425442121,1.0298084506724574
12,0.8,10,0.032103922330231564,1.0054154811569853
12,0.8,20,0.031967442904819426,1.001141282952875
12,0.8,40,0.03223479040251176,1.0095139456531999
12,0.8,80,0.03296044014139812,1.0322395015484944
20,0.2,10,0.03248737103282051,1.0174241465732186
20,0.2,20,0.0321132325912015,1.005707055514053
20,0.2,40,0.032199259842714066,1.0084012163577787
20,0.2,80,0.03284394668446232,1.0285912144684306
20,0.4,10,0.03210843033053423,1.0055566605819397
20,0.4,20,0.031940236346638104,1.0002892408097646
20,0.4,40,0.03218762062805166,1.008036704928623
20,0.4,80,0.03291140416308805,1.030703815932902
20,0.6,10,0.032115524757716354,1.005778840502682
20,0.6,20,0.0320202234623934,1.002794239533791
20,0.6,40,0.03231256128176097,1.0119495373287601
20,0.6,80,0.033038399721344175,1.0346810028633804
20,0.8,10,0.03225932291913931,1.0102822434255208
20,0.8,20,0.032184525123467485,1.007939761377648
20,0.8,40,0.03247609964906763,1.01707115469881
20,0.8,80,0.033175688641552056,1.0389805524432878
32,0.2,10,0.03233169975493823,1.0125489069951887
32,0.2,20,0.03203998104216377,1.0034129980881816
32,0.2,40,0.032190249223773955,1.0081190260483202
32,0.2,80,0.03286692438965239,1.0293108193902818
32,0.4,10,0.03209435765523458,1.0051159391815443
32,0.4,20,0.03198304405459605,1.0016298723952466
32,0.4,40,0.03226738088040824,1.0105345988518455
32,0.4,80,0.03299660874598579,1.033372212829385
32,0.6,10,0.03223982282759856,1.009671548765928
32,0.6,20,0.032171965342877036,1.0075464200994177
32,0.6,40,0.032469997072051116,1.0168800370732365
32,0.6,80,0.033173981914996736,1.0389271019868866
32,0.8,10,0.032504957701476794,1.0179749175583688
32,0.8,20,0.03242926938395798,1.015604546567766
32,0.8,40,0.03269693770403074,1.0239872566319195
32,0.8,80,0.033350203570227,1.0444459285795105
