season,n,model_ll,market_ll,baserate_ll,entropy,home_wr,mkt_fav_wr,mean_abs_spread,mean_abs_margin,close_games_pct,mean_pmkt_conf,model_minus_mkt,mkt_minus_entropy
2015,256,0.659790327910431,0.652128505846631,0.6918653435273934,0.6900923107348644,0.5390625,0.6171875,4.884765625,11.0625,0.51171875,0.15302414607056916,0.007661822063800061,-0.03796380488823348
2016,254,0.6483363936500628,0.6287515404420801,0.6819574789766135,0.6806953869244493,0.5787401574803149,0.6377952755905512,4.561023622047244,10.311023622047244,0.5236220472440944,0.14450043882769964,0.019584853207982644,-0.05194384648236916
2017,256,0.6230078339425047,0.585706305753367,0.6843393326847955,0.6843014874613893,0.56640625,0.71484375,5.2890625,11.8125,0.43359375,0.16366806395109018,0.03730152818913768,-0.09859518170802228
2018,254,0.6199025908318975,0.611149849225177,0.6751880921960784,0.6720422427114113,0.6023622047244095,0.6692913385826772,5.468503937007874,11.181102362204724,0.484251968503937,0.16908599915223577,0.00875274160672046,-0.06089239348623432
2019,255,0.6493941496923027,0.6136040671008756,0.6982820808871687,0.6925242138164327,0.5176470588235295,0.6431372549019608,5.676470588235294,11.686274509803921,0.47843137254901963,0.17162145359329797,0.03579008259142713,-0.07892014671555714
2020,255,0.631996779931478,0.5900565227303127,0.7014074825444389,0.6931394911899864,0.4980392156862745,0.6784313725490196,5.52156862745098,11.113725490196078,0.4745098039215686,0.16953652263843244,0.04194025720116523,-0.10308296845967369
2021,271,0.6482943740982378,0.6215598343513407,0.695254757731775,0.6925956160654814,0.5166051660516605,0.6236162361623616,6.031365313653136,12.22140221402214,0.42435424354243545,0.17879590008873983,0.0267345397468971,-0.07103578171414071
2022,269,0.635652680629026,0.6085460268644316,0.6859550882849473,0.685603420323021,0.5613382899628253,0.6579925650557621,5.0353159851301115,9.776951672862454,0.516728624535316,0.15276665904904255,0.027106653764594424,-0.07705739345858942
2023,272,0.6681598259400172,0.627348797217123,0.6871128680549329,0.6870523921185736,0.5551470588235294,0.6838235294117647,4.9375,11.264705882352942,0.4963235294117647,0.15096601591993858,0.040811028722894216,-0.05970359490145061
2024,272,0.6077856815017572,0.5874888995056521,0.6915497390519815,0.6909559169164958,0.5330882352941176,0.7132352941176471,4.915441176470588,11.198529411764707,0.5183823529411765,0.1532478983741286,0.020296781996105073,-0.10346701741084374
2025,271,0.653059252758849,0.6093832198972614,0.6903385230020377,0.6901417583992405,0.5387453874538746,0.6568265682656826,5.374538745387454,11.191881918819188,0.4944649446494465,0.17148982966924164,0.04367603286158761,-0.08075853850197912
