wr_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,norm,gsis_id,display_name,birth_date,rookie_season,last_season,years_of_experience,draft_year,draft_round,draft_pick,draft_team,height,weight,college_name,ngs_position
17,6561,Tetairoa McMillan,WR,CAR,33.4,3.09,126,23,43,3.9,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",tetairoa mcmillan,00-0040124,Tetairoa McMillan,2003-04-05,2025,2026,2,2025.0,1.0,8.0,CAR,77.0,212.0,Arizona,
18,6281,Ladd McConkey,WR,LAC,35.3,3.11,167,22,50,5.1,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",ladd mcconkey,00-0039915,Ladd McConkey,2001-11-11,2024,2026,3,2024.0,2.0,34.0,LAC,72.0,185.0,Georgia,
19,3449,Terry McLaurin,WR,WAS,36.6,4.01,68,30,53,3.6,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",terry mclaurin,00-0035659,Terry McLaurin,1995-09-15,2019,2026,8,2019.0,3.0,76.0,WAS,72.0,210.0,Ohio State,
20,2125,Davante Adams,WR,LAR,40.0,4.04,75,32,54,3.9,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",davante adams,00-0031381,Davante Adams,1992-12-24,2014,2026,13,2014.0,2.0,53.0,GB,73.0,204.0,Fresno State,
21,5178,Jaylen Waddle,WR,DEN,42.2,4.06,83,29,59,5.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",jaylen waddle,00-0036613,Jaylen Waddle,1998-11-25,2021,2026,6,2021.0,1.0,6.0,MIA,70.0,185.0,Alabama,
22,6183,Malik Nabers,WR,NYG,43.6,4.08,177,29,59,5.5,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",malik nabers,00-0039337,Malik Nabers,2003-07-28,2024,2026,3,2024.0,1.0,6.0,NYG,72.0,200.0,LSU,
23,6559,Luther Burden III,WR,CHI,45.2,4.09,102,34,57,3.9,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",luther burden,00-0040735,Luther Burden III,2003-12-12,2025,2026,2,2025.0,2.0,39.0,CHI,72.0,210.0,Missouri,
24,6576,Emeka Egbuka,WR,TB,45.5,4.09,368,29,60,6.2,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",emeka egbuka,00-0040129,Emeka Egbuka,2002-10-14,2025,2026,2,2025.0,1.0,19.0,TB,73.0,205.0,Ohio State,
25,5643,Jameson Williams,WR,DET,47.2,4.11,66,28,60,7.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",jameson williams,00-0037240,Jameson Williams,2001-03-26,2022,2026,5,2022.0,1.0,12.0,DET,73.0,180.0,Alabama; Ohio State,
26,2111,Mike Evans,WR,SF,51.2,5.03,150,35,70,6.0,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",mike evans,00-0031408,Mike Evans,1993-08-21,2014,2026,13,2014.0,1.0,7.0,TB,77.0,231.0,Texas A&M,
27,6194,Rome Odunze,WR,CHI,54.9,5.07,128,42,65,4.7,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",rome odunze,00-0039919,Rome Odunze,2002-06-03,2024,2026,3,2024.0,1.0,9.0,CHI,75.0,215.0,Washington,
28,3239,DK Metcalf,WR,PIT,56.2,5.08,75,45,70,5.7,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",dk metcalf,00-0035640,DK Metcalf,1997-12-14,2019,2026,8,2019.0,2.0,64.0,SEA,76.0,229.0,Mississippi,
29,5641,Alec Pierce,WR,IND,59.4,5.11,108,41,78,8.4,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",alec pierce,00-0037664,Alec Pierce,2000-05-02,2022,2026,5,2022.0,2.0,53.0,IND,75.0,211.0,Cincinnati,
30,5360,Christian Watson,WR,GB,60.1,5.12,231,47,80,7.0,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 1737, ""start_date"": ""2026-07-06"", ""end_date"": ""2026-07-13""}",christian watson,00-0038124,Christian Watson,1999-05-12,2022,2026,5,2022.0,2.0,34.0,GB,76.0,208.0,North Dakota State,
