rb_adp_rank,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,norm,gsis_id,display_name,birth_date,rookie_season,last_season,years_of_experience,draft_year,draft_round,draft_pick,draft_team,height,weight,college_name,ngs_position
17,5623,Kyren Williams,RB,LAR,32.2,3.08,653,22,42,3.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",kyren williams,00-0037840,Kyren Williams,2000-08-26,2022,2026,5,2022.0,5.0,164.0,LA,69.0,207.0,Notre Dame,
18,5185,Javonte Williams,RB,DAL,36.7,4.01,657,26,50,4.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",javonte williams,00-0036997,Javonte Williams,2000-04-25,2021,2026,6,2021.0,2.0,35.0,DEN,70.0,220.0,North Carolina,
19,4863,Travis Etienne Jr.,RB,NO,37.1,4.01,304,27,48,3.8,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",travis etienne,00-0036973,Travis Etienne,1999-01-26,2021,2026,6,2021.0,1.0,25.0,JAX,70.0,215.0,Clemson,
20,6190,Bucky Irving,RB,TB,42.8,4.07,360,31,53,4.3,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",bucky irving,00-0039361,Bucky Irving,2002-08-19,2024,2026,3,2024.0,4.0,125.0,TB,70.0,194.0,Oregon; Minnesota,
21,4862,D'Andre Swift,RB,CHI,44.4,4.08,322,33,55,4.4,10,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",dandre swift,00-0036275,D'Andre Swift,1999-01-14,2020,2026,7,2020.0,2.0,35.0,DET,68.0,204.0,Georgia,
22,6531,Quinshon Judkins,RB,CLE,49.8,5.02,723,35,63,5.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",quinshon judkins,00-0040784,Quinshon Judkins,2003-10-29,2025,2026,2,2025.0,2.0,36.0,CLE,72.0,221.0,Ohio State; Mississippi,
23,6513,Bhayshul Tuten,RB,JAX,51.2,5.03,753,37,65,5.2,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",bhayshul tuten,00-0040719,Bhayshul Tuten,2002-02-14,2025,2026,2,2025.0,4.0,104.0,JAX,69.0,209.0,Virginia Tech; North Carolina A&T,
24,6490,TreVeyon Henderson,RB,NE,55.7,5.08,510,40,71,5.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",treveyon henderson,00-0040734,TreVeyon Henderson,2002-10-22,2025,2026,2,2025.0,2.0,38.0,NE,70.0,202.0,Ohio State,
25,3435,Tony Pollard,RB,TEN,63.5,6.03,250,45,80,6.8,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",tony pollard,00-0035261,Tony Pollard,1997-04-30,2019,2026,8,2019.0,4.0,128.0,DAL,72.0,209.0,Memphis,
26,3238,David Montgomery,RB,HOU,63.6,6.04,1024,43,85,7.7,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",david montgomery,00-0035685,David Montgomery,1997-06-07,2019,2026,8,2019.0,3.0,73.0,CHI,71.0,230.0,Iowa State,
27,6776,Jadarian Price,RB,SEA,64.5,6.05,925,45,84,7.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",jadarian price,PRI206342,Jadarian Price,2003-10-09,2026,2026,0,,,,,71.0,209.0,Notre Dame,
28,5443,Jaylen Warren,RB,PIT,67.2,6.07,185,50,96,6.5,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",jaylen warren,00-0037228,Jaylen Warren,1998-11-01,2022,2026,5,,,,,68.0,215.0,Oklahoma State,
29,5095,Rico Dowdle,RB,PIT,71.3,6.11,230,50,96,8.4,9,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",rico dowdle,00-0036139,Rico Dowdle,1998-06-14,2020,2026,7,,,,,72.0,215.0,South Carolina,
30,5210,Rhamondre Stevenson,RB,NE,72.2,6.12,219,55,86,6.4,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",rhamondre stevenson,00-0036875,Rhamondre Stevenson,1998-02-23,2021,2026,6,2021.0,4.0,120.0,NE,72.0,227.0,Oklahoma; Cerritos College,
