season,team,sos_vegas,sos_prior_wpct,n_opp,sos_vegas_w1_14,sos_prior_wpct_w1_14,n_opp_w1_14,sos_vegas_w15_17,sos_prior_wpct_w15_17,n_opp_w15_17,sos_vegas_z,sos_prior_wpct_z,sos_vegas_w15_17_z,source,sos_wr_fpa,sos_wr_fpa_w15_17,sos_rb_fpa,sos_rb_fpa_w15_17
2015,JAX,8.3125,0.462890625,16,8.26923076923077,0.4639423076923077,13,8.5,0.4583333333333333,3,0.5310502692676171,-0.7310396356742368,0.3236182158614774,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,35.1834375,38.12166666666666,22.826171875,25.0625
2015,KC,8.15625,0.544921875,16,8.423076923076923,0.5745192307692307,13,7.0,0.4166666666666667,3,-0.2275929725432644,0.884942716868813,-1.3115054011228298,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,34.384375,35.85208333333333,22.101953125,22.320833333333336
2015,MIA,8.34375,0.4921875,16,8.038461538461538,0.4519230769230769,13,9.666666666666666,0.6666666666666666,3,0.6827789176297934,-0.1539030811945761,1.5953810290714934,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,34.2590625,30.891666666666666,21.65078125,22.53333333333333
2015,MIN,8.375,0.5390625,16,8.346153846153847,0.5528846153846154,13,8.5,0.4791666666666667,3,0.8345075659919697,0.7695154059728808,0.3236182158614774,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,33.5753125,33.864583333333336,21.703125,23.727083333333336
2015,NE,8.25,0.4765625,16,8.461538461538462,0.5192307692307693,13,7.333333333333333,0.2916666666666667,3,0.2275929725432644,-0.4617092435837285,-0.9481445973485396,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,34.84609375,35.57666666666666,21.8546875,22.56458333333333
2015,NO,7.90625,0.4296875,16,8.0,0.4326923076923077,13,7.5,0.4166666666666667,3,-1.4414221594406749,-1.3851277307511856,-0.766464195461394,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,35.2396875,34.74583333333333,23.55703125,24.81458333333333
2015,NYG,8.28125,0.478515625,16,8.153846153846153,0.4711538461538461,13,8.833333333333334,0.5104166666666666,3,0.3793216209054407,-0.4232334732850845,0.6869790196357686,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,35.284453125,36.025,22.60859375,23.558333333333337
2015,NYJ,8.21875,0.48828125,16,7.923076923076923,0.4423076923076923,13,9.5,0.6875,3,0.0758643241810881,-0.2308546217918642,1.4137006271843489,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,33.924687500000005,31.070833333333336,22.943359375,21.739583333333332
2015,OAK,8.28125,0.544921875,16,8.076923076923077,0.5264423076923077,13,9.166666666666666,0.625,3,0.3793216209054407,0.884942716868813,1.0503398234100578,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,34.33921875,34.09166666666667,21.35078125,20.125
2015,PHI,8.1875,0.474609375,16,8.346153846153847,0.4831730769230769,13,7.5,0.4375,3,-0.0758643241810881,-0.5001850138823726,-0.766464195461394,computed: nflverse games.csv REG grid x preseason win totals (Covers closing 2015-2025; DraftKings 2026-08-08 for 2026); built 2026-08-09 by scripts/fetch_sos.py,34.154375,34.24166666666667,22.453515625,20.729166666666668
