year,name,pos,adp,stdev,team,gsis_id,games,ppg,rookie_season,exp,tier,in_fit,adp_rank,adp_dec,m_iso_deep,resid_iso,n_prior,n_eff,mu_hat,G_last,G_wtd,avail_wtd,avail_last,avail_career,ppsw_hat,gap_since_last,d_ppg,h_ppg,h_ppg_last,h_targets_pg,h_targets_pg_last,h_rec_pg,h_rec_pg_last,h_carries_pg,h_carries_pg_last,h_touches_pg,h_touches_pg_last,h_rec_yards_pg,h_rec_yards_pg_last,h_rush_yards_pg,h_rush_yards_pg_last,h_air_yards_pg,h_air_yards_pg_last,h_target_share_full,h_target_share_full_last,h_air_yards_share_full,h_air_yards_share_full_last,h_carry_share_full,h_carry_share_full_last,h_wopr_full,h_wopr_full_last,h_adot,h_adot_last,h_ypr,h_ypr_last,h_catch_rate,h_catch_rate_last,h_racr_w,h_racr_w_last,h_u_rec,h_u_rec_last,h_u_rush,h_u_rush_last,h_u_tot,h_u_tot_last,h_ypt,h_ypt_last,h_yac_per_rec,h_yac_per_rec_last,h_td_per_tgt,h_td_per_tgt_last,h_rec_epa_per_tgt,h_rec_epa_per_tgt_last,h_ypc,h_ypc_last,team_change,env_tm_pass_att_pg,oldenv_tm_pass_att_pg,env_tm_tgt_pg,oldenv_tm_tgt_pg,env_tm_ay_pg,oldenv_tm_ay_pg,env_tm_car_pg,oldenv_tm_car_pg,env_tm_plays_pg,oldenv_tm_plays_pg,env_tm_pass_rate,oldenv_tm_pass_rate,env_tm_td_pg,oldenv_tm_td_pg,env_tm_pass_yds_pg,oldenv_tm_pass_yds_pg,age,draft_pick,log_draft_pick,expr,sched,ppsw,avail_y,f_age_H,f_age_H_ratio
2015,Antonio Brown,WR,2.5,1.4,PIT,00-0027793,16,24.3875,2010,5,vet,True,1,1,20.3425,4.044999999999998,5,2.8181818181818183,20.295130272952857,16.0,15.387096774193548,0.9616935483870968,1.0,0.875,19.912298387096776,1.0,4.625,20.295130272952857,24.30625,10.136338571822442,11.3125,6.926144196305487,8.0625,0.3396401985111662,0.25,10.475978770333608,11.5625,91.82933553901296,106.125,0.887406947890819,0.8125,104.47263578715192,113.9375,0.2699282861720396,0.3011647254570696,0.3209404140174838,0.3493675737829916,0.0126984337311537,0.0094562647753913,0.6295507190702981,0.6963043898336986,10.234862057362395,10.071823204364245,13.221717571047211,13.162790697572383,0.6822611052558919,0.7127071823165044,0.8893713320513221,0.9314317059791551,9.909274193531518,11.312499999981178,0.3266129032250128,0.2499999999994089,10.235887096756528,11.562499999980586,8.990289225831473,9.38121546956143,5.0753233638830455,4.651162790661619,0.0566338951348828,0.0718232044194926,0.4324491646978184,0.4912167389440008,2.6451612897649768,3.2499999991875,0.0,38.25,38.25,37.5625,37.5625,326.125,326.125,26.4375,26.4375,64.6875,64.6875,0.591304347826087,0.591304347826087,2.6875,2.6875,312.3125,312.3125,27.143052703627653,195.0,5.272999558563747,5,16.0,24.3875,1.0,1.0454970021030257,0.9566054017536236
2015,Julio Jones,WR,6.2,1.9,ATL,00-0027944,16,23.06875,2011,4,vet,True,2,1,18.379251629089865,4.689498370910137,4,2.6470588235294117,19.63988888888889,15.0,12.333333333333334,0.7708333333333334,0.9375,0.765625,14.762916666666666,1.0,-2.113333333333337,19.63988888888889,19.826666666666664,10.557735042735043,10.866666666666667,6.819700854700854,6.933333333333334,0.1696581196581196,0.0666666666666666,10.72739316239316,10.933333333333334,102.4746153846154,106.2,0.946068376068376,0.0666666666666666,124.1488034188034,133.73333333333332,0.2032257625448338,0.2616372391649091,0.3158401405077651,0.4116560640261826,0.0052638333595014,0.0026881720430035,0.5259267421726864,0.6806151035656915,11.854800052288756,12.306748466182167,15.14748003814392,15.31730769216041,0.642057004396704,0.6380368098120366,0.8238435694277179,0.7941176470588235,7.904166666653966,10.187499999983649,0.124999999999671,0.0624999999998319,8.029166666653635,10.24999999998348,9.70127306653366,9.77300613490937,5.6343580888171285,5.173076923027182,0.0444707431293526,0.0368098159506944,0.3789342398343347,0.406026844940706,3.6888888862740736,0.999999999,0.0,39.5,39.5,38.9375,38.9375,304.5625,304.5625,23.25,23.25,62.75,62.75,0.6294820717131474,0.6294820717131474,2.4375,2.4375,297.375,297.375,26.559890485968516,6.0,1.791759469228055,4,16.0,23.06875,1.0,1.074524815887489,0.9683237673389067
2015,Dez Bryant,WR,7.6,1.7,DAL,00-0027902,9,9.9,2010,5,vet,True,3,1,17.943725961538462,-8.043725961538463,5,2.8181818181818183,18.614462365591397,16.0,15.806451612903226,0.9879032258064516,1.0,0.9375,18.458266129032257,1.0,1.4750000000000014,18.614462365591397,19.75,8.733333333333334,8.5625,5.456451612903226,5.5,0.0392473118279569,0.0,8.77258064516129,8.5625,79.0236559139785,82.5,-0.0026881720430107,0.0,105.46666666666668,106.1875,0.2643109401224573,0.2908704883221,0.3732023560907112,0.4032755755992396,0.0017284885309491,0.0,0.6577080594471838,0.7185986354026177,12.08964077544418,12.401459853924075,14.481446244647104,14.999999999829544,0.6265397437752523,0.6423357664186692,0.7508378744159793,0.7769276044732195,8.65725806449961,8.56249999998182,0.0383064516127951,0.0,8.695564516112405,8.56249999998182,9.095006370763716,9.635036496280035,4.9372974579471265,4.624999999947443,0.1009562880651709,0.1167883211670307,0.4044138255511527,0.4750095063623383,0.2580645157096773,0.0,0.0,29.75,29.75,29.4375,29.4375,263.3125,263.3125,31.75,31.75,61.5,61.5,0.483739837398374,0.483739837398374,3.3125,3.3125,250.5,250.5,26.822724161533195,24.0,3.1780538303479458,5,16.0,5.5687500000000005,0.5625,1.0615683189149412,0.9617379424108007
2015,Demaryius Thomas,WR,9.1,1.9,DEN,00-0027874,16,16.7125,2010,5,vet,True,4,1,17.943725961538462,-1.2312259615384633,5,2.8181818181818183,19.422903225806447,16.0,15.419354838709678,0.9637096774193548,1.0,0.85,19.079838709677414,1.0,1.3687499999999986,19.422903225806447,21.30625,9.94032258064516,11.5,6.1,6.9375,0.0129032258064516,0.0,9.953225806451613,11.5,91.3225806451613,101.1875,0.0354838709677419,0.0,102.0983870967742,113.75,0.256221798219122,0.3051409618568737,0.310992291336973,0.3557466770914081,0.0002802622351975,0.0,0.602027301264564,0.7067341167492963,10.378509404723603,9.89130434777233,15.033535755159448,14.585585585454185,0.6122686274036233,0.6032608695619388,0.8994168739038233,0.8895604395604395,9.723790322564632,11.499999999980927,0.0080645161290147,0.0,9.731854838693646,11.499999999980927,9.194390562529277,8.79891304343044,6.118672715447173,5.7837837837316775,0.0707906400745515,0.0597826086953272,0.361730150511181,0.2579442861125082,0.3387096770887096,0.0,0.0,37.9375,37.9375,37.6875,37.6875,319.75,319.75,27.6875,27.6875,65.625,65.625,0.5780952380952381,0.5780952380952381,3.4375,3.4375,298.6875,298.6875,27.685147159479808,22.0,3.091042453358316,5,16.0,16.7125,1.0,1.018625694536178,0.9533920839105573
2015,Odell Beckham Jr.,WR,11.4,2.8,NYG,00-0031235,15,21.28666666666667,2014,1,soph,True,5,1,16.94065359477124,4.3460130718954275,1,1.0,24.75,12.0,12.0,0.75,0.75,0.75,18.5625,1.0,0.0,24.75,24.75,10.833333333333334,10.833333333333334,7.583333333333333,7.583333333333333,0.5833333333333334,0.5833333333333334,11.416666666666666,11.416666666666666,108.75,108.75,2.9166666666666665,2.9166666666666665,124.66666666666669,124.66666666666669,0.2170283806340283,0.2170283806340283,0.2999198075380312,0.2999198075380312,0.0155902004453995,0.0155902004453995,0.5354864362276645,0.5354864362276645,11.507692307603788,11.507692307603788,14.34065934050175,14.34065934050175,0.6999999999946155,0.6999999999946155,0.8723262032085561,0.8723262032085561,8.124999999986436,8.124999999986436,0.4374999999990256,0.4374999999990256,8.56249999998546,8.56249999998546,10.03846153838432,10.03846153838432,5.340659340600652,5.340659340600652,0.0923076923069822,0.0923076923069822,0.5398969619791608,0.5398969619791608,4.9999999992857145,4.9999999992857145,0.0,37.9375,37.9375,37.4375,37.4375,311.75,311.75,28.0625,28.0625,66.0,66.0,0.5748106060606061,0.5748106060606061,2.6875,2.6875,279.375,279.375,22.819986310746064,12.0,2.4849066497880004,1,16.0,19.95625,0.9375,0.9917254005688596,1.0921986071943013
2015,Calvin Johnson,WR,13.1,2.4,DET,00-0025389,15,17.233333333333334,2007,8,vet,True,6,1,16.42261932202348,0.8107140113098552,8,2.9766536964980546,19.24759469941823,13.0,13.925490196078432,0.870343137254902,0.8125,0.9296875,16.861666666666665,1.0,-4.218681318681316,19.24759469941823,17.43846153846154,10.4272383825325,9.846153846153848,5.871515477986066,5.461538461538462,0.0226470588235294,0.0,10.44988544135603,9.846153846153848,94.64364827982476,82.84615384615384,0.2049626517273576,0.0,149.18411261940673,146.69230769230768,0.2329729516721551,0.2169491525420051,0.4062858727105096,0.4026604729728879,0.0008676880053276,0.0,0.6338595384055896,0.6072860598940293,14.182401639084716,14.898437499883608,16.06523314291511,15.169014084293394,800000000.5509255,0.5546874999956666,0.6259615122441259,0.5647614053487152,9.111764705867792,7.99999999998644,0.0210784313724947,0.0,9.132843137240288,7.99999999998644,13403921577.471285,8.414062499934266,4.0911830740279775,3.225352112630629,109803921.63181916,0.0624999999995117,1097707333.2856228,0.3689341186663148,1.153127917045616,0.0,0.0,37.75,37.75,36.875,36.875,296.0,296.0,24.75,24.75,62.5,62.5,0.604,0.604,2.0625,2.0625,267.75,267.75,29.921971252566735,2.0,0.6931471805599453,8,16.0,16.15625,0.9375,0.8908868870646882,0.934016311558417
2015,Randall Cobb,WR,15.9,2.4,GB,00-0028002,16,12.68125,2011,4,vet,True,7,1,16.42261932202348,-3.7413693220234783,4,2.6470588235294117,17.078666666666663,16.0,13.133333333333333,0.8208333333333333,1.0,0.8125,13.974166666666664,1.0,0.779166666666665,17.078666666666663,18.4625,7.384444444444444,7.9375,5.233333333333333,5.6875,0.6422222222222221,0.6875,8.026666666666667,8.625,72.29111111111112,80.4375,5.895555555555556,2.3125,63.30888888888889,70.9375,0.1794651061789145,0.2391713747641446,0.1929798606291856,0.2640763145648524,0.0192273270637516,0.0252873563217809,0.4042835617088018,0.5436104823416137,8.56323382821011,8.937007873945378,13.857588325389925,14.142857142701727,0.7143662992086693,0.7165354330652242,1.155212393240768,1.133920704845815,6.012499999988784,7.937499999985052,0.5249999999987983,0.6874999999984196,6.537499999987582,8.624999999983471,9.890990533948846,10.13385826763674,6.187753633347606,6.417582417511895,0.0854956841381656,0.0944881889756339,0.5770387059390486,0.6581018804365952,8.92060605888364,3.3636363633305786,0.0,33.5,33.5,33.1875,33.1875,268.625,268.625,27.1875,27.1875,60.6875,60.6875,0.5520082389289392,0.5520082389289392,3.25,3.25,277.9375,277.9375,25.026694045174537,64.0,4.1588830833596715,4,16.0,12.68125,1.0,1.110338666541326,1.0342337093965484
2015,A.J. Green,WR,16.7,2.5,CIN,00-0027942,16,17.10625,2011,4,vet,True,8,2,16.42261932202348,0.6836306779765202,4,2.6470588235294117,17.701666666666664,12.0,13.8,0.8625,0.75,0.921875,15.36,1.0,-2.054166666666667,17.701666666666664,17.108333333333334,10.0,9.666666666666666,5.797222222222222,5.75,0.1444444444444444,0.1666666666666666,10.144444444444446,9.833333333333334,85.98111111111112,86.75,0.6411111111111112,0.1666666666666666,131.95388888888888,129.0,0.2638924757806696,0.2352941176465815,0.4238212092681773,0.4019735133730454,0.004140932490328,0.0040650406503982,0.6925135601587286,0.6343226358310041,13.217857946783678,13.344827586091856,14.866421587441067,15.086956521520476,0.5806008067449018,0.5948275862017687,0.6529510775978722,0.6724806201550387,8.679166666650174,7.249999999985294,0.1208333333330745,0.1249999999997459,8.799999999983248,7.37499999998504,8.632851083299585,8.97413793095712,4.29194710714405,4.550724637615207,0.0570666680905822,0.0517241379305885,0.139007927103733,0.1116938250452933,2.506666665942,0.9999999995,0.0,31.4375,31.4375,30.8125,30.8125,240.6875,240.6875,30.75,30.75,62.1875,62.1875,0.5055276381909548,0.5055276381909548,2.4375,2.4375,221.9375,221.9375,27.085557837097877,4.0,1.3862943611198906,4,16.0,17.10625,1.0,1.0483663952862903,0.9573012184874233
2015,Brandin Cooks,WR,20.6,2.9,NO,00-0031236,16,15.85,2014,1,soph,True,9,2,15.39774859415863,0.4522514058413698,1,1.0,13.93,10.0,10.0,0.625,0.625,0.625,8.70625,1.0,0.0,13.93,13.93,6.9,6.9,5.3,5.3,0.7,0.7,7.6,7.6,55.0,55.0,7.3,7.3,56.6,56.6,0.1063174114019933,0.1063174114019933,0.1123907863383414,0.1123907863383414,0.0172413793103023,0.0172413793103023,0.238149667539829,0.238149667539829,8.202898550605754,8.202898550605754,10.37735849037024,10.37735849037024,0.7681159420178534,0.7681159420178534,0.9717314487632508,0.9717314487632508,4.3124999999933555,4.3124999999933555,0.4374999999989224,0.4374999999989224,4.749999999992278,4.749999999992278,7.971014492638101,7.971014492638101,3.2075471697508013,3.2075471697508013,0.043478260868935,0.043478260868935,0.275706803841319,0.275706803841319,10.428571427081632,10.428571427081632,0.0,41.1875,41.1875,40.5625,40.5625,314.75,314.75,25.375,25.375,66.5625,66.5625,0.6187793427230047,0.6187793427230047,3.0625,3.0625,309.5,309.5,21.932922655715263,20.0,2.995732273553991,1,16.0,15.85,1.0,0.9179430159573816,1.10093696061653
2015,T.Y. Hilton,WR,22.8,2.7,IND,00-0029608,16,13.2125,2012,3,vet,True,10,2,15.39774859415863,-2.1852485941586295,3,2.3333333333333335,15.573214285714286,15.0,15.285714285714286,0.9553571428571428,0.9375,0.9583333333333334,14.846428571428572,1.0,3.427083333333334,15.573214285714286,17.233333333333334,8.311904761904762,8.733333333333333,5.064285714285715,5.466666666666667,0.1595238095238095,0.1333333333333333,8.471428571428572,8.866666666666667,78.77738095238097,89.66666666666667,1.1452380952380952,1.3333333333333333,108.63928571428572,120.73333333333332,0.2048370140203072,0.2024729520862404,0.3055705619157325,0.317440841367166,0.005774385128217,0.0048192771084221,0.5211549143714735,0.5259180170863769,13.023206317493177,13.824427480810504,15.606341463205112,16.402439024190212,0.6068254495023196,0.6259541984685042,0.7260257400920042,0.7426836002208724,7.94642857141577,8.187499999987345,0.1517857142853534,0.1249999999996988,8.098214285701122,8.312499999987043,9.475860161446072,10.26717557244071,5.008153310034824,4.512195121896193,0.0519974291294237,0.0534351145034089,0.3924290507243206,0.4414799334831678,7.399999996548571,9.999999995,0.0,41.3125,41.3125,40.4375,40.4375,356.5625,356.5625,25.9375,25.9375,67.25,67.25,0.6143122676579925,0.6143122676579925,3.1875,3.1875,316.375,316.375,25.796030116358654,92.0,4.5217885770490405,3,16.0,13.2125,1.0,1.1045464769274858,0.9989222176204526
