player_id,season,player_name,position,team,n_teams,games,targets,receptions,rec_yards,rec_tds,rec_air_yards,rec_yac,rec_first_downs,rec_epa,carries,rush_yards,rush_tds,ppr,tm_targets,tm_air_yards,tm_pass_att,tm_carries,tm_targets_full,tm_air_yards_full,tm_carries_full,tm_games,snap_games,off_snaps,tm_off_snaps,snap_pct_mean,st_snaps,off_plays_on_field,dropbacks_on_field,rushes_on_field,tm_off_plays,tm_dropbacks,tm_rushes,pfr_tgt,pfr_rec,pfr_adot,pfr_ybc,pfr_ybc_per_rec,pfr_yac,pfr_yac_per_rec,pfr_broken_tackles,pfr_rec_per_broken_tackle,pfr_drops,pfr_first_downs,ngs_avg_cushion,ngs_avg_separation,ngs_avg_intended_air_yards,ngs_percent_share_of_intended_air_yards,ngs_avg_yac,ngs_avg_expected_yac,ngs_avg_yac_above_expectation,ngs_catch_percentage,pbp_targets,rz_targets,i10_targets,ez_targets,deep_targets,third_down_targets,third_down_conv,target_epa_total,target_share,air_yards_share,target_share_full,air_yards_share_full,carry_share,carry_share_full,games_played_rate,wopr,racr,adot_nflverse,catch_rate,rec_epa_per_target,ypc,ypr,snap_share,off_snaps_pg,pass_snap_share,run_snap_share,play_share_part,targets_pg,rec_pg,rec_yards_pg,rec_tds_pg,air_yards_pg,ppr_pg,carries_pg,rush_yards_pg,rush_tds_pg,routes_proxy,routes_proxy_pg,tprr_proxy,yprr_proxy,pfr_drop_pct,target_epa,rz_targets_pg,i10_targets_pg,ez_targets_pg,deep_targets_pg,third_down_targets_pg,deep_target_rate,rz_target_share_of_own,third_down_conv_rate
00-0032765,2018,Michael Thomas,WR,NO,1,16,147,125,1405,9,1134,514,75,84.23303383044971,0,0,0,315.5,511,3769,519,471,511,3769,471,16,16.0,929.0,1051.0,0.885,6.0,949.0,531.0,366.0,1080.0,550.0,446.0,147.0,125.0,7.7,891.0,7.1,514.0,4.1,6.0,20.8,3.0,74.0,4.63503448275862,2.748359541847,7.7143537414966,30.2723957693766,4.08832,3.24916040036764,0.839159599632358,85.0340136054422,147.0,29.0,14.0,7.0,9.0,37.0,23.0,87.18003383044963,0.2876712328767123,0.30087556381002917,0.2876712328767123,0.30087556381002917,0.0,0.0,1.0,0.6421197439820888,1.2389770723104057,7.714285714285714,0.8503401360544217,0.5730138355812906,,11.24,0.8839200761179828,58.0625,0.9654545454545455,0.820627802690583,0.8787037037037037,9.1875,7.8125,87.8125,0.5625,70.875,19.71875,0.0,0.0,0.0,531.0,33.1875,0.2768361581920904,2.645951035781544,0.02040816326530612,0.593061454628909,1.8125,0.875,0.4375,0.5625,2.3125,0.061224489795918366,0.19727891156462585,0.6216216216216216
00-0031408,2018,Mike Evans,WR,TB,1,16,138,86,1524,8,2147,282,69,59.7158646803783,0,0,0,284.4,619,6642,625,389,619,6642,389,16,16.0,939.0,1115.0,0.84375,0.0,958.0,637.0,258.0,1143.0,726.0,333.0,138.0,86.0,15.6,1242.0,14.4,282.0,3.3,0.0,,7.0,68.0,5.69380597014925,2.09851104152814,15.6792753623188,32.7827969631361,3.76244186046512,3.03080924296617,0.731632617498944,62.3188405797102,137.0,14.0,6.0,16.0,34.0,33.0,20.0,59.32680940416138,0.22294022617124395,0.32324601023788013,0.22294022617124395,0.32324601023788013,0.0,0.0,1.0,0.560682546423382,0.7098276665114113,15.557971014492754,0.6231884057971014,0.4327236571041906,,17.72093023255814,0.842152466367713,58.6875,0.8774104683195593,0.7747747747747747,0.8381452318460193,8.625,5.375,95.25,0.5,134.1875,17.775,0.0,0.0,0.0,637.0,39.8125,0.21664050235478807,2.392464678178964,0.050724637681159424,0.4330424044099371,0.875,0.375,1.0,2.125,2.0625,0.24817518248175183,0.10218978102189781,0.6060606060606061
00-0033040,2018,Tyreek Hill,WR,KC,1,16,137,87,1479,12,2026,527,60,81.78507907917542,22,151,1,334.0,564,5273,583,387,564,5273,387,16,16.0,905.0,1045.0,0.86625,52.0,935.0,577.0,284.0,1084.0,636.0,350.0,137.0,87.0,14.8,952.0,10.9,527.0,6.1,4.0,21.8,6.0,60.0,5.85571428571428,3.14871759583627,14.8040145985401,38.4251768602056,6.37965517241379,4.84670382584951,1.53295134656428,63.5036496350365,137.0,16.0,7.0,11.0,42.0,34.0,17.0,81.78507907917542,0.2429078014184397,0.38422150578418357,0.2429078014184397,0.38422150578418357,0.056847545219638244,0.056847545219638244,1.0,0.633316756176588,0.730009871668312,14.788321167883211,0.635036496350365,0.5969713801399665,6.863636363636363,17.0,0.8660287081339713,56.5625,0.9072327044025157,0.8114285714285714,0.8625461254612546,8.5625,5.4375,92.4375,0.75,126.625,20.875,1.375,9.4375,0.0625,577.0,36.0625,0.23743500866551126,2.563258232235702,0.043795620437956206,0.5969713801399665,1.0,0.4375,0.6875,2.625,2.125,0.30656934306569344,0.11678832116788321,0.5
00-0030279,2018,Keenan Allen,WR,LAC,1,15,136,97,1196,6,1169,403,62,58.472225822406386,9,75,0,260.1,468,3638,474,375,506,3959,399,16,16.0,794.0,995.0,0.805625,9.0,808.0,486.0,281.0,1017.0,559.0,390.0,136.0,97.0,8.6,793.0,8.2,403.0,4.2,3.0,32.3,4.0,62.0,5.28067226890756,2.66773270666213,8.82485294117647,29.754856751852,4.37711340206186,4.45437396911626,-0.0772605670543989,71.3235294117647,136.0,15.0,7.0,8.0,10.0,38.0,17.0,57.41922582240636,0.2905982905982906,0.32133040131940627,0.26877470355731226,0.2952765849962112,0.024,0.022556390977443608,0.9375,0.6608287168210203,1.0230966638152268,8.595588235294118,0.7132352941176471,0.4299428369294587,8.333333333333334,12.329896907216495,0.7979899497487437,49.625,0.8694096601073346,0.7205128205128205,0.7944936086529006,9.066666666666666,6.466666666666667,79.73333333333333,0.4,77.93333333333334,17.34,0.6,5.0,0.0,486.0,32.4,0.27983539094650206,2.460905349794239,0.029411764705882353,0.422200189870635,1.0,0.4666666666666667,0.5333333333333333,0.6666666666666666,2.533333333333333,0.07352941176470588,0.11029411764705882,0.4473684210526316
00-0033288,2018,George Kittle,TE,SF,1,16,136,88,1377,5,996,870,60,65.35052762906031,1,10,0,258.7,515,3807,532,423,515,3807,423,16,16.0,929.0,1057.0,0.87625,1.0,953.0,550.0,321.0,1086.0,596.0,401.0,136.0,88.0,7.1,507.0,5.8,870.0,9.9,9.0,9.8,5.0,60.0,5.40548076923077,3.31386409258332,7.33411764705882,25.4781755762629,10.1944318181818,7.32792241154152,2.8665094066403,64.7058823529412,135.0,19.0,8.0,9.0,11.0,29.0,15.0,66.35964610329414,0.26407766990291265,0.2616233254531127,0.26407766990291265,0.2616233254531127,0.002364066193853428,0.002364066193853428,1.0,0.5792528326715478,1.3825301204819278,7.323529411764706,0.6470588235294118,0.4805185855077964,10.0,15.647727272727273,0.8789025543992431,58.0625,0.9228187919463087,0.800498753117207,0.8775322283609577,8.5,5.5,86.0625,0.3125,62.25,16.16875,0.0625,0.625,0.0,550.0,34.375,0.24727272727272728,2.5036363636363634,0.03676470588235294,0.4915529340984751,1.1875,0.5,0.5625,0.6875,1.8125,0.08148148148148149,0.14074074074074075,0.5172413793103449
00-0030431,2018,Robert Woods,WR,LA,1,16,130,86,1219,6,1483,420,66,61.29313524729052,19,157,1,265.6,545,4906,568,459,545,4906,459,16,16.0,1041.0,1100.0,0.94625,7.0,1062.0,607.0,386.0,1132.0,622.0,422.0,130.0,86.0,11.4,799.0,9.3,420.0,4.9,2.0,43.0,2.0,66.0,6.36591666666667,2.97665105964853,11.2888461538462,29.8627884687779,5.28546511627907,4.76484695774251,0.520618158536559,66.1538461538462,130.0,12.0,8.0,8.0,19.0,33.0,18.0,61.293135247290465,0.23853211009174313,0.30228291887484715,0.23853211009174313,0.30228291887484715,0.04139433551198257,0.04139433551198257,1.0,0.5693962083500077,0.8219824679703304,11.407692307692308,0.6615384615384615,0.47148565574838863,8.263157894736842,14.174418604651162,0.9463636363636364,65.0625,0.9758842443729904,0.9146919431279621,0.9381625441696113,8.125,5.375,76.1875,0.375,92.6875,16.6,1.1875,9.8125,0.0625,607.0,37.9375,0.214168039538715,2.0082372322899507,0.015384615384615385,0.4714856557483882,0.75,0.5,0.5,1.1875,2.0625,0.14615384615384616,0.09230769230769231,0.5454545454545454
00-0031235,2018,Odell Beckham Jr.,WR,NYG,1,12,124,77,1052,6,1412,315,51,31.035721994048345,5,19,0,232.34,434,3272,438,250,574,4373,354,16,12.0,716.0,763.0,0.9366666666666666,20.0,733.0,469.0,227.0,1062.0,638.0,359.0,124.0,77.0,11.5,747.0,9.7,305.0,4.0,6.0,12.8,4.0,50.0,6.21196581196581,2.97009037501095,11.4870161290323,33.2986567296768,4.53857142857143,4.44948349294471,0.0890879356267211,62.0967741935484,124.0,20.0,8.0,18.0,19.0,31.0,15.0,31.982721994048323,0.2857142857142857,0.4315403422982885,0.21602787456445993,0.3228904642122113,0.02,0.014124293785310734,0.75,0.7306496681802305,0.7450424929178471,11.387096774193548,0.6209677419354839,0.25028808059716406,3.8,13.662337662337663,0.9384010484927916,59.666666666666664,0.7351097178683386,0.6323119777158774,0.6902071563088512,10.333333333333334,6.416666666666667,87.66666666666667,0.5,117.66666666666667,19.361666666666668,0.4166666666666667,1.5833333333333333,0.0,469.0,39.083333333333336,0.26439232409381663,2.2430703624733477,0.03225806451612903,0.25792517737135745,1.6666666666666667,0.6666666666666666,1.5,1.5833333333333333,2.5833333333333335,0.1532258064516129,0.16129032258064516,0.4838709677419355
00-0029608,2018,T.Y. Hilton,WR,IND,1,14,120,76,1270,6,1342,455,55,63.524430302734025,0,0,0,239.0,533,3990,542,364,634,4856,408,16,14.0,763.0,984.0,0.7814285714285714,1.0,781.0,499.0,226.0,1169.0,684.0,381.0,120.0,76.0,11.2,815.0,10.7,455.0,6.0,4.0,19.0,4.0,55.0,5.89974576271186,2.30523625958571,11.3233333333333,27.560580338037,6.17631578947368,5.35579785709566,0.820517932378021,63.3333333333333,120.0,17.0,10.0,8.0,24.0,40.0,21.0,63.524430302733954,0.225140712945591,0.33634085213032583,0.1892744479495268,0.27635914332784184,0.0,0.0,0.875,0.5731496659096145,0.9463487332339792,11.183333333333334,0.6333333333333333,0.5293702525227836,,16.710526315789473,0.7754065040650406,54.5,0.72953216374269,0.5931758530183727,0.6680923866552609,8.571428571428571,5.428571428571429,90.71428571428571,0.42857142857142855,95.85714285714286,17.071428571428573,0.0,0.0,0.0,499.0,35.642857142857146,0.24048096192384769,2.5450901803607215,0.03333333333333333,0.5293702525227829,1.2142857142857142,0.7142857142857143,0.5714285714285714,1.7142857142857142,2.857142857142857,0.2,0.14166666666666666,0.525
00-0033932,2018,Kenny Golladay,WR,DET,1,15,119,70,1063,5,1475,350,56,49.759785072233285,1,8,0,207.1,528,3765,541,366,561,3978,404,16,15.0,904.0,1002.0,0.9013333333333333,1.0,915.0,570.0,292.0,1095.0,632.0,396.0,119.0,70.0,12.4,713.0,10.2,350.0,5.0,6.0,11.7,4.0,55.0,4.88269565217391,2.26494679768427,12.5974789915966,37.508726014407,5.35271428571429,3.9684436944138,1.38427059130049,58.8235294117647,119.0,15.0,6.0,12.0,23.0,33.0,16.0,52.60078507223327,0.22537878787878787,0.39176626826029215,0.21212121212121213,0.3707893413775767,0.00273224043715847,0.0024752475247524753,0.9375,0.6123045696003864,0.7206779661016949,12.394957983193278,0.5882352941176471,0.418149454388515,8.0,15.185714285714285,0.9021956087824351,60.266666666666666,0.9018987341772152,0.7373737373737373,0.8356164383561644,7.933333333333334,4.666666666666667,70.86666666666666,0.3333333333333333,98.33333333333333,13.806666666666667,0.06666666666666667,0.5333333333333333,0.0,570.0,38.0,0.20877192982456141,1.8649122807017544,0.03361344537815126,0.44202340396834683,1.0,0.4,0.8,1.5333333333333334,2.2,0.19327731092436976,0.12605042016806722,0.48484848484848486
00-0031236,2018,Brandin Cooks,WR,LA,1,15,117,80,1204,5,1498,346,56,56.79046279721019,10,68,1,243.2,513,4635,536,429,545,4906,459,16,16.0,989.0,1100.0,0.8987499999999999,3.0,1009.0,583.0,368.0,1132.0,622.0,422.0,117.0,80.0,12.8,858.0,10.7,346.0,4.3,4.0,20.0,0.0,56.0,5.67815789473684,2.71324889950355,12.9136752136752,30.7449062024984,4.48525,4.52240968350838,-0.0371596835083849,68.3760683760684,117.0,17.0,8.0,6.0,26.0,28.0,14.0,56.79046279721018,0.22807017543859648,0.32319309600863,0.21467889908256882,0.3053403995108031,0.023310023310023312,0.02178649237472767,0.9375,0.5683404303639357,0.8037383177570093,12.803418803418804,0.6837606837606838,0.4853885709163264,6.8,15.05,0.899090909090909,61.8125,0.9372990353697749,0.8720379146919431,0.8913427561837456,7.8,5.333333333333333,80.26666666666667,0.3333333333333333,99.86666666666666,16.21333333333333,0.6666666666666666,4.533333333333333,0.06666666666666667,583.0,38.86666666666667,0.2006861063464837,2.065180102915952,0.0,0.48538857091632637,1.1333333333333333,0.5333333333333333,0.4,1.7333333333333334,1.8666666666666667,0.2222222222222222,0.1452991452991453,0.5
00-0027891,2018,Golden Tate,WR,PHI,2,15,113,74,795,4,742,427,33,15.042471259041527,4,34,0,182.9,543,4050,550,352,592,4457,398,16,15.0,606.0,981.0,0.6193333333333333,14.0,618.0,401.0,183.0,2214.0,1284.0,780.0,113.0,74.0,6.5,368.0,5.0,427.0,5.8,15.0,4.9,7.0,32.0,6.28871287128713,2.97512100877972,6.27654867256637,17.7460235646175,5.78513513513514,3.9272931408628,1.85784199427234,65.4867256637168,112.0,12.0,7.0,3.0,8.0,40.0,14.0,13.629773602451992,0.20810313075506445,0.1832098765432099,0.19087837837837837,0.1664796948620148,0.011363636363636364,0.010050251256281407,0.9375,0.4404016097128436,1.0714285714285714,6.566371681415929,0.6548672566371682,0.13311921468178342,8.5,10.743243243243244,0.617737003058104,40.4,0.31230529595015577,0.23461538461538461,0.2791327913279133,7.533333333333333,4.933333333333334,53.0,0.26666666666666666,49.46666666666667,12.193333333333333,0.26666666666666666,2.2666666666666666,0.0,401.0,26.733333333333334,0.2817955112219451,1.9825436408977557,0.061946902654867256,0.12169440716474993,0.8,0.4666666666666667,0.2,0.5333333333333333,2.6666666666666665,0.07142857142857142,0.10714285714285714,0.35
