season,team,games,pass_att,pass_yards,pass_tds,carries,rush_yards,rush_tds,team_targets,team_air_yards,cpoe,total_yards,off_plays,off_epa,pass_plays,rush_plays,proe,xpass,neutral_plays,neutral_pass_rate,neutral_proe,neutral_sec_per_play,off_pass_epa_play,off_rush_epa_play,rz_drives,rz_td_rate,def_plays,def_epa,def_pass_epa_play,def_rush_epa_play,g,points_for,points_against,pass_yards_allowed,rush_yards_allowed,pass_att_faced,carries_faced,targets_faced,total_yards_allowed,fpa_qb,fpa_rb,fpa_te,fpa_wr,points_for_pg,points_against_pg,total_yards_pg,pass_yards_pg,rush_yards_pg,total_yards_allowed_pg,pass_yards_allowed_pg,rush_yards_allowed_pg,pass_att_pg,carries_pg,off_plays_pg,fpa_qb_pg,fpa_rb_pg,fpa_wr_pg,fpa_te_pg,team_targets_pg,pass_rate,ftn_plays,ftn_motion_rate,ftn_no_huddle_rate,ftn_trick_rate,ftn_pa_rate,ftn_screen_rate,ftn_rpo_rate,ftn_oop_rate,ftn_blitz_faced_rate,ftn_pass_rushers_faced,ftn_def_blitz_rate,ftn_def_pass_rushers,ftn_def_box,rank_points_for_pg,rank_total_yards_pg,rank_pass_yards_pg,rank_rush_yards_pg,rank_off_epa,rank_off_pass_epa_play,rank_off_rush_epa_play,rank_rz_td_rate,rank_off_plays_pg,rank_points_against_pg,rank_total_yards_allowed_pg,rank_pass_yards_allowed_pg,rank_rush_yards_allowed_pg,rank_def_epa,rank_def_pass_epa_play,rank_def_rush_epa_play,rank_fpa_qb_pg,rank_fpa_rb_pg,rank_fpa_wr_pg,rank_fpa_te_pg
2018,DET,16,574,3844,22,404,1660,11,561,3978,-1.8228014641525938,5504,1126,-0.0377838868301151,672.0,396.0,-1.7541689004465195,0.6451954550006324,573,0.5759162303664922,-2.7008697444448417,,-0.016248725011012606,-0.10807069154867711,49,0.5306122448979592,1023,0.027362986303844653,0.10325628298758266,-0.08221939551261985,16.0,324.0,360.0,3897,1761,496,403,480,5658,279.26,379.8,180.6,545.62,20.25,22.5,344.0,240.25,103.75,353.625,243.5625,110.0625,35.875,25.25,70.375,17.45375,23.7375,34.10125,11.2875,35.0625,0.6292134831460674,,,,,,,,,,,,,,25.0,24.0,21.0,23.0,24.0,24.0,21.0,24.0,12.0,16.0,10.0,9.0,10.0,22.0,23.0,14.0,18.0,16.0,11.0,15.0
2018,GB,16,640,4629,25,333,1667,14,615,5667,-1.4063031670800088,6296,1126,0.03963901026561059,769.0,297.0,7.027419536786187,0.6510023079894627,516,0.6356589147286822,5.918859767816703,,0.07992450136839087,-0.04247038243025499,49,0.5918367346938775,1125,0.044514651395975526,0.15169948071180872,-0.045922479626362187,16.0,376.0,400.0,4074,1918,527,446,513,5992,285.18,386.6,168.6,617.18,23.5,25.0,393.5,289.3125,104.1875,374.5,254.625,119.875,40.0,20.8125,70.375,17.82375,24.1625,38.57375,10.5375,38.4375,0.7213883677298312,,,,,,,,,,,,,,14.0,8.0,6.0,22.0,13.0,14.0,10.0,16.0,12.0,22.0,19.0,16.0,22.0,25.0,29.0,23.0,21.0,17.0,26.0,11.0
2018,HOU,16,506,4165,26,472,2021,12,494,4337,4.515987131717232,6186,1155,0.010542472749474372,665.0,409.0,0.2597402874987923,0.6173391799397719,548,0.5675182481751825,-0.13851630002202114,,0.110825254576465,-0.12822714084628883,62,0.5,1130,-0.06520059120100505,0.020696896579038306,-0.2350870686148014,16.0,402.0,316.0,4477,1323,594,385,569,5800,270.1,326.82,257.1,542.22,25.125,19.75,386.625,260.3125,126.3125,362.5,279.8125,82.6875,31.625,29.5,72.1875,16.88125,20.42625,33.88875,16.06875,30.875,0.6191806331471136,,,,,,,,,,,,,,11.0,12.0,16.0,8.0,16.0,12.0,25.0,28.0,7.0,4.0,13.0,28.0,3.0,5.0,7.0,1.0,14.0,6.0,10.0,31.0
2018,IND,16,644,4595,39,408,1718,13,634,4856,0.8871710584899545,6313,1199,0.05493974968942459,727.0,381.0,3.694592237283399,0.6207804507929077,562,0.6209964412811388,3.7734142502891683,,0.1372668044928973,-0.06787636540716226,69,0.6811594202898551,1100,-0.03262928643651072,0.022681260810557935,-0.1240820858530995,16.0,433.0,344.0,4033,1626,542,415,530,5659,256.66,394.9,246.0,433.6,27.0625,21.5,394.5625,287.1875,107.375,353.6875,252.0625,101.625,40.25,25.5,74.9375,16.04125,24.68125,27.1,15.375,39.625,0.6561371841155235,,,,,,,,,,,,,,5.0,7.0,7.0,20.0,9.0,10.0,14.0,6.0,2.0,10.0,11.0,13.0,8.0,8.0,9.0,7.0,12.0,21.0,2.0,30.0
2018,JAX,16,536,3431,15,416,1723,7,524,3777,-4.941206822494849,5154,1092,-0.1400265959520531,668.0,365.0,0.30079414032826024,0.642392472703875,513,0.5360623781676414,-3.1960659916850105,,-0.0981691367436725,-0.17976006376292902,38,0.42105263157894735,1090,-0.05677988848303872,0.027156045987908956,-0.12531639221369217,16.0,245.0,316.0,3354,1870,499,434,485,5224,254.66,330.5,200.3,417.0,15.3125,19.75,322.125,214.4375,107.6875,326.5,209.625,116.875,33.5,26.0,68.25,15.91625,20.65625,26.0625,12.51875,32.75,0.6466602129719264,,,,,,,,,,,,,,30.0,27.0,26.0,19.0,30.0,29.0,30.0,32.0,23.0,4.0,4.0,2.0,19.0,6.0,13.0,6.0,10.0,7.0,1.0,18.0
2018,KC,16,583,5126,50,387,1855,16,564,5273,4.59502895070645,6981,1106,0.2078253073596213,679.0,350.0,8.980083861864356,0.5749415200402479,486,0.6563786008230452,9.211133097231777,,0.3532584127951154,0.025386696937147367,72,0.7083333333333334,1229,0.072689310263528,0.07078735107532372,0.010968862274900666,16.0,565.0,421.0,4721,2114,632,425,620,6835,318.74,460.2,257.7,600.4,35.3125,26.3125,436.3125,320.375,115.9375,427.1875,295.0625,132.125,36.4375,24.1875,69.125,19.92125,28.7625,37.525,16.10625,35.25,0.6598639455782312,,,,,,,,,,,,,,1.0,1.0,3.0,16.0,1.0,1.0,4.0,4.0,20.0,24.0,32.0,32.0,27.0,29.0,18.0,29.0,28.0,29.0,23.0,32.0
2018,LA,16,568,4730,32,459,2231,23,545,4906,1.816324954354724,6961,1164,0.13352584899253672,657.0,422.0,2.4568900519829078,0.5865688216681495,579,0.5975820379965457,3.387527118491776,,0.19743824631079995,0.0755139792986121,81,0.5925925925925926,1053,-0.010553139044229574,0.02549231429165385,-0.08496684002593205,16.0,527.0,384.0,4106,1957,533,386,520,6063,265.46,369.6,225.7,571.88,32.9375,24.0,435.0625,295.625,139.4375,378.9375,256.625,122.3125,35.5,28.6875,72.75,16.59125,23.1,35.7425,14.10625,34.0625,0.6088971269694161,,,,,,,,,,,,,,2.0,2.0,5.0,3.0,3.0,4.0,1.0,15.0,5.0,20.0,20.0,19.0,23.0,13.0,11.0,12.0,13.0,12.0,18.0,24.0
2018,LAC,16,512,4316,32,399,1873,16,506,3959,3.4215879105718345,6189,1039,0.10439571349650369,588.0,390.0,0.5285369335990591,0.596223196791644,470,0.5936170212765958,-0.2218790633186797,,0.20983185440743207,0.02099282239296788,59,0.6440677966101694,1093,-0.013370027289745822,0.002481479532359235,-0.06698518398462712,16.0,428.0,329.0,3856,1693,547,395,527,5549,241.85999999999999,396.5,178.4,478.4,26.75,20.5625,386.8125,269.75,117.0625,346.8125,241.0,105.8125,32.0,24.9375,64.9375,15.116249999999999,24.78125,29.9,11.15,31.625,0.6012269938650306,,,,,,,,,,,,,,6.0,11.0,11.0,15.0,4.0,3.0,5.0,9.0,30.0,8.0,7.0,8.0,9.0,12.0,6.0,19.0,7.0,22.0,6.0,13.0
2018,LV,16,556,4057,19,387,1628,9,530,3785,4.267762412170709,5685,1107,-0.0695917583226558,643.0,378.0,-0.043062259231980114,0.6294985542579598,571,0.5376532399299475,2.8812796894747477,32.0,-0.005399498669439572,-0.15357883791087967,45,0.5333333333333333,1074,0.11774527739361239,0.25181263943602783,0.03003595001453894,,,,3933,2249,480,480,473,6182,303.04,386.7,233.0,570.38,,,355.3125,253.5625,101.75,386.375,245.8125,140.5625,34.75,24.1875,69.1875,18.94,24.16875,35.64875,14.5625,33.125,0.6297747306562194,,,,,,,,,,,,,,,22.0,18.0,25.0,25.0,23.0,27.0,22.0,19.0,,25.0,10.0,30.0,32.0,32.0,32.0,25.0,18.0,17.0,27.0
2018,MIA,16,455,3309,26,371,1738,7,435,3699,0.14622628857642916,5047,969,-0.0933569580289309,551.0,353.0,-2.221411337471616,0.6328597617525887,544,0.5588235294117647,-0.6668495054563511,,-0.10103157688709198,-0.06240497150937696,32,0.53125,1152,0.04429471547503183,0.12203713595597013,-0.048861838410728324,16.0,319.0,433.0,4141,2325,508,485,490,6466,299.34,460.8,185.5,539.1,19.9375,27.0625,315.4375,206.8125,108.625,404.125,258.8125,145.3125,28.4375,23.1875,60.5625,18.70875,28.8,33.69375,11.59375,27.1875,0.6095132743362832,,,,,,,,,,,,,,26.0,29.0,28.0,18.0,28.0,30.0,13.0,23.0,32.0,27.0,29.0,20.0,31.0,24.0,25.0,22.0,24.0,30.0,9.0,16.0
