player_id,player_display_name,season,games,targets,tpg,team_first,team_last_prev,has_prior,team_change,qb_change_same_team,any_change
00-0029572,Jarius Wright,2015,15,50,3.3333333333333335,MIN,MIN,True,0.0,0.0,0.0
00-0029580,Rishard Matthews,2015,11,61,5.545454545454546,MIA,MIA,True,0.0,0.0,0.0
00-0029608,T.Y. Hilton,2015,16,134,8.375,IND,IND,True,0.0,0.0,0.0
00-0029614,Chris Givens,2015,14,54,3.857142857142857,LA,LA,True,0.0,1.0,1.0
00-0029632,Mohamed Sanu,2015,16,49,3.0625,CIN,CIN,True,0.0,0.0,0.0
00-0029638,Michael Floyd,2015,15,89,5.933333333333334,ARI,ARI,True,0.0,1.0,1.0
00-0029640,Brian Quick,2015,9,32,3.5555555555555554,LA,LA,True,0.0,1.0,1.0
00-0029708,Kendall Wright,2015,10,60,6.0,TEN,TEN,True,0.0,1.0,1.0
00-0030000,Kenbrell Thompkins,2015,6,33,5.5,NYJ,LV,True,1.0,0.0,1.0
00-0030047,Marquess Wilson,2015,11,51,4.636363636363637,CHI,CHI,True,0.0,0.0,0.0
00-0030085,Kenny Stills,2015,15,63,4.2,MIA,NO,True,1.0,0.0,1.0
00-0030279,Keenan Allen,2015,8,89,11.125,LAC,LAC,True,0.0,0.0,0.0
00-0030400,Marlon Brown,2015,9,30,3.3333333333333335,BAL,BAL,True,0.0,0.0,0.0
00-0030431,Robert Woods,2015,14,80,5.714285714285714,BUF,BUF,True,0.0,1.0,1.0
00-0030450,Quinton Patton,2015,16,57,3.5625,SF,SF,True,0.0,1.0,1.0
00-0030460,Markus Wheaton,2015,16,79,4.9375,PIT,PIT,True,0.0,0.0,0.0
00-0030516,Brice Butler,2015,5,26,5.2,DAL,LV,True,1.0,0.0,1.0
00-0030521,Justin Hunter,2015,9,31,3.4444444444444446,TEN,TEN,True,0.0,1.0,1.0
00-0030525,Tavon Austin,2015,16,87,5.4375,LA,LA,True,0.0,1.0,1.0
00-0030532,Stedman Bailey,2015,8,25,3.125,LA,LA,True,0.0,1.0,1.0
00-0030540,Aaron Dobson,2015,6,21,3.5,NE,NE,True,0.0,0.0,0.0
00-0030542,Terrance Williams,2015,16,93,5.8125,DAL,DAL,True,0.0,1.0,1.0
00-0030564,DeAndre Hopkins,2015,16,192,12.0,HOU,HOU,True,0.0,1.0,1.0
00-0030663,Willie Snead,2015,15,101,6.733333333333333,NO,,False,,,
00-0030669,Albert Wilson,2015,14,57,4.071428571428571,KC,KC,True,0.0,0.0,0.0
00-0030691,Jeremy Butler,2015,8,44,5.5,BAL,,False,,,
00-0030801,Brandon Coleman,2015,16,49,3.0625,NO,,False,,,
00-0030821,Allen Hurns,2015,15,105,7.0,JAX,JAX,True,0.0,0.0,0.0
00-0030920,Javontee Herndon,2015,8,33,4.125,LAC,,False,,,
00-0031023,Quincy Enunwa,2015,11,46,4.181818181818182,NYJ,,False,,,
00-0031051,John Brown,2015,15,101,6.733333333333333,ARI,ARI,True,0.0,1.0,1.0
00-0031068,Ryan Grant,2015,14,42,3.0,WAS,WAS,True,0.0,1.0,1.0
00-0031118,Corey Brown,2015,14,54,3.857142857142857,CAR,CAR,True,0.0,0.0,0.0
00-0031166,Seth Roberts,2015,16,55,3.4375,LV,,False,,,
00-0031228,Taylor Gabriel,2015,12,48,4.0,CLE,CLE,True,0.0,1.0,1.0
00-0031235,Odell Beckham Jr.,2015,15,158,10.533333333333333,NYG,NYG,True,0.0,0.0,0.0
00-0031236,Brandin Cooks,2015,16,129,8.0625,NO,NO,True,0.0,0.0,0.0
00-0031325,Sammy Watkins,2015,13,96,7.384615384615385,BUF,BUF,True,0.0,1.0,1.0
00-0031339,Donte Moncrief,2015,16,105,6.5625,IND,IND,True,0.0,0.0,0.0
00-0031373,Martavis Bryant,2015,11,92,8.363636363636363,PIT,PIT,True,0.0,0.0,0.0
00-0031381,Davante Adams,2015,13,94,7.230769230769231,GB,GB,True,0.0,0.0,0.0
00-0031382,Jarvis Landry,2015,16,166,10.375,MIA,MIA,True,0.0,0.0,0.0
00-0031408,Mike Evans,2015,15,148,9.866666666666667,TB,TB,True,0.0,1.0,1.0
00-0031428,Allen Robinson,2015,16,151,9.4375,JAX,JAX,True,0.0,0.0,0.0
00-0031431,Marqise Lee,2015,9,32,3.5555555555555554,JAX,JAX,True,0.0,0.0,0.0
00-0031544,Amari Cooper,2015,16,130,8.125,LV,,False,,,
00-0031547,DeVante Parker,2015,10,50,5.0,MIA,,False,,,
00-0031549,Nelson Agholor,2015,13,44,3.3846153846153846,PHI,,False,,,
00-0031570,Justin Hardy,2015,9,36,4.0,ATL,,False,,,
00-0031588,Stefon Diggs,2015,13,84,6.461538461538462,MIN,,False,,,
00-0031934,Devin Smith,2015,7,28,4.0,NYJ,,False,,,
00-0031941,Jamison Crowder,2015,16,78,4.875,WAS,,False,,,
00-0031972,Darius Jennings,2015,3,21,7.0,CLE,,False,,,
00-0032008,Donteea Dye,2015,10,30,3.0,TB,,False,,,
00-0032009,Adam Humphries,2015,11,40,3.6363636363636362,TB,,False,,,
00-0032055,Devin Funchess,2015,16,63,3.9375,CAR,,False,,,
00-0032170,Rashad Greene,2015,9,35,3.888888888888889,JAX,,False,,,
00-0032200,Ty Montgomery,2015,6,19,3.1666666666666665,GB,,False,,,
00-0032208,Phillip Dorsett,2015,11,39,3.5454545454545454,IND,,False,,,
00-0032211,Tyler Lockett,2015,16,69,4.3125,SEA,,False,,,
00-0032218,Dorial Green-Beckham,2015,14,67,4.785714285714286,TEN,,False,,,
00-0020337,Steve Smith,2016,14,101,7.214285714285714,BAL,BAL,True,0.0,0.0,0.0
00-0022044,Andre Johnson,2016,6,23,3.8333333333333335,TEN,IND,True,1.0,0.0,1.0
00-0022084,Anquan Boldin,2016,16,95,5.9375,DET,SF,True,1.0,0.0,1.0
00-0022921,Larry Fitzgerald,2016,16,150,9.375,ARI,ARI,True,0.0,0.0,0.0
00-0023496,Vincent Jackson,2016,5,32,6.4,TB,TB,True,0.0,0.0,0.0
00-0024334,Brandon Marshall,2016,15,128,8.533333333333333,NYJ,NYJ,True,0.0,0.0,0.0
00-0025396,Ted Ginn,2016,16,95,5.9375,CAR,CAR,True,0.0,0.0,0.0
00-0026176,Jordy Nelson,2016,16,152,9.5,GB,,False,,,
00-0026182,Eddie Royal,2016,9,43,4.777777777777778,CHI,CHI,True,0.0,1.0,1.0
00-0026189,DeSean Jackson,2016,15,100,6.666666666666667,WAS,WAS,True,0.0,0.0,0.0
00-0026345,Pierre Garcon,2016,16,114,7.125,WAS,WAS,True,0.0,0.0,0.0
00-0026901,Mike Wallace,2016,16,116,7.25,BAL,MIN,True,1.0,0.0,1.0
00-0026986,Michael Crabtree,2016,16,145,9.0625,LV,LV,True,0.0,0.0,0.0
00-0026995,Jeremy Maclin,2016,12,76,6.333333333333333,KC,KC,True,0.0,0.0,0.0
00-0026998,Percy Harvin,2016,1,4,4.0,BUF,BUF,True,0.0,0.0,0.0
00-0027006,Kenny Britt,2016,15,111,7.4,LA,LA,True,0.0,1.0,1.0
00-0027150,Julian Edelman,2016,16,159,9.9375,NE,NE,True,0.0,0.0,0.0
00-0027265,Victor Cruz,2016,14,72,5.142857142857143,NYG,,False,,,
00-0027595,Bryan Walters,2016,10,34,3.4,JAX,JAX,True,0.0,0.0,0.0
00-0027681,Brandon LaFell,2016,16,107,6.6875,CIN,NE,True,1.0,0.0,1.0
00-0027685,Emmanuel Sanders,2016,15,137,9.133333333333333,DEN,DEN,True,0.0,1.0,1.0
00-0027690,Eric Decker,2016,3,21,7.0,NYJ,NYJ,True,0.0,0.0,0.0
00-0027793,Antonio Brown,2016,15,154,10.266666666666667,PIT,PIT,True,0.0,0.0,0.0
00-0027874,Demaryius Thomas,2016,16,144,9.0,DEN,DEN,True,0.0,1.0,1.0
00-0027891,Golden Tate,2016,16,135,8.4375,DET,DET,True,0.0,0.0,0.0
00-0027902,Dez Bryant,2016,13,96,7.384615384615385,DAL,DAL,True,0.0,1.0,1.0
00-0027918,Andrew Hawkins,2016,16,54,3.375,CLE,CLE,True,0.0,1.0,1.0
00-0027942,A.J. Green,2016,10,100,10.0,CIN,CIN,True,0.0,0.0,0.0
00-0027944,Julio Jones,2016,14,129,9.214285714285714,ATL,ATL,True,0.0,0.0,0.0
00-0027996,Torrey Smith,2016,12,49,4.083333333333333,SF,SF,True,0.0,1.0,1.0
00-0028002,Randall Cobb,2016,13,84,6.461538461538462,GB,GB,True,0.0,0.0,0.0
00-0028050,Greg Salas,2016,2,6,3.0,BUF,BUF,True,0.0,0.0,0.0
00-0028052,Cecil Shorts,2016,7,27,3.857142857142857,TB,HOU,True,1.0,0.0,1.0
00-0028091,Jeremy Kerley,2016,16,115,7.1875,SF,NYJ,True,1.0,0.0,1.0
00-0028237,Chris Hogan,2016,15,58,3.8666666666666667,NE,BUF,True,1.0,0.0,1.0
00-0028411,Dontrelle Inman,2016,16,97,6.0625,LAC,LAC,True,0.0,0.0,0.0
00-0028434,Doug Baldwin,2016,16,125,7.8125,SEA,SEA,True,0.0,0.0,0.0
00-0028497,Kamar Aiken,2016,16,50,3.125,BAL,BAL,True,0.0,0.0,0.0
00-0028825,Terrelle Pryor,2016,16,140,8.75,CLE,CLE,True,0.0,1.0,1.0
00-0029000,Cole Beasley,2016,16,98,6.125,DAL,DAL,True,0.0,1.0,1.0
00-0029137,Alshon Jeffery,2016,12,94,7.833333333333333,CHI,CHI,True,0.0,1.0,1.0
00-0029159,Jermaine Kearse,2016,16,89,5.5625,SEA,SEA,True,0.0,0.0,0.0
00-0029269,Travis Benjamin,2016,14,75,5.357142857142857,LAC,CLE,True,1.0,0.0,1.0
00-0029293,Marvin Jones,2016,15,103,6.866666666666666,DET,CIN,True,1.0,0.0,1.0
00-0029394,Brenton Bersin,2016,2,6,3.0,CAR,CAR,True,0.0,0.0,0.0
00-0029572,Jarius Wright,2016,4,14,3.5,MIN,MIN,True,0.0,1.0,1.0
00-0029580,Rishard Matthews,2016,16,108,6.75,TEN,MIA,True,1.0,0.0,1.0
00-0029608,T.Y. Hilton,2016,16,155,9.6875,IND,IND,True,0.0,0.0,0.0
00-0029632,Mohamed Sanu,2016,15,81,5.4,ATL,CIN,True,1.0,0.0,1.0
00-0029638,Michael Floyd,2016,14,76,5.428571428571429,ARI,ARI,True,0.0,0.0,0.0
00-0029640,Brian Quick,2016,16,77,4.8125,LA,LA,True,0.0,1.0,1.0
00-0029708,Kendall Wright,2016,11,43,3.909090909090909,TEN,TEN,True,0.0,0.0,0.0
00-0029848,Nick Williams,2016,2,7,3.5,ATL,ATL,True,0.0,0.0,0.0
00-0030035,Adam Thielen,2016,16,92,5.75,MIN,MIN,True,0.0,1.0,1.0
00-0030047,Marquess Wilson,2016,3,16,5.333333333333333,CHI,CHI,True,0.0,1.0,1.0
00-0030068,Marquise Goodwin,2016,14,68,4.857142857142857,BUF,BUF,True,0.0,0.0,0.0
00-0030085,Kenny Stills,2016,16,81,5.0625,MIA,MIA,True,0.0,0.0,0.0
00-0030147,Russell Shepard,2016,13,40,3.076923076923077,TB,TB,True,0.0,0.0,0.0
00-0030279,Keenan Allen,2016,1,7,7.0,LAC,LAC,True,0.0,0.0,0.0
00-0030300,Jaron Brown,2016,6,22,3.6666666666666665,ARI,ARI,True,0.0,0.0,0.0
00-0030431,Robert Woods,2016,13,76,5.846153846153846,BUF,BUF,True,0.0,0.0,0.0
00-0030450,Quinton Patton,2016,13,63,4.846153846153846,SF,SF,True,0.0,1.0,1.0
00-0030460,Markus Wheaton,2016,3,9,3.0,PIT,PIT,True,0.0,0.0,0.0
00-0030525,Tavon Austin,2016,15,106,7.066666666666666,LA,LA,True,0.0,1.0,1.0
00-0030542,Terrance Williams,2016,15,61,4.066666666666666,DAL,DAL,True,0.0,1.0,1.0
00-0030564,DeAndre Hopkins,2016,16,151,9.4375,HOU,HOU,True,0.0,1.0,1.0
00-0030663,Willie Snead,2016,15,104,6.933333333333334,NO,NO,True,0.0,0.0,0.0
00-0030669,Albert Wilson,2016,14,51,3.642857142857143,KC,KC,True,0.0,0.0,0.0
00-0030821,Allen Hurns,2016,11,76,6.909090909090909,JAX,JAX,True,0.0,0.0,0.0
00-0031023,Quincy Enunwa,2016,16,105,6.5625,NYJ,NYJ,True,0.0,0.0,0.0
00-0031051,John Brown,2016,15,73,4.866666666666666,ARI,ARI,True,0.0,0.0,0.0
00-0031118,Corey Brown,2016,16,53,3.3125,CAR,CAR,True,0.0,0.0,0.0
00-0031166,Seth Roberts,2016,16,77,4.8125,LV,LV,True,0.0,0.0,0.0
00-0031189,T.J. Jones,2016,3,14,4.666666666666667,DET,DET,True,0.0,0.0,0.0
00-0031228,Taylor Gabriel,2016,12,50,4.166666666666667,ATL,CLE,True,1.0,0.0,1.0
00-0031235,Odell Beckham Jr.,2016,16,169,10.5625,NYG,NYG,True,0.0,0.0,0.0
00-0031236,Brandin Cooks,2016,15,117,7.8,NO,NO,True,0.0,0.0,0.0
00-0031268,Walt Powell,2016,7,25,3.5714285714285716,BUF,BUF,True,0.0,0.0,0.0
00-0031310,Devin Street,2016,2,6,3.0,IND,DAL,True,1.0,0.0,1.0
00-0031325,Sammy Watkins,2016,8,52,6.5,BUF,BUF,True,0.0,0.0,0.0
00-0031339,Donte Moncrief,2016,9,56,6.222222222222222,IND,IND,True,0.0,0.0,0.0
00-0031359,Kelvin Benjamin,2016,16,118,7.375,CAR,,False,,,
00-0031381,Davante Adams,2016,16,121,7.5625,GB,GB,True,0.0,0.0,0.0
00-0031382,Jarvis Landry,2016,16,131,8.1875,MIA,MIA,True,0.0,0.0,0.0
00-0031408,Mike Evans,2016,16,173,10.8125,TB,TB,True,0.0,0.0,0.0
00-0031428,Allen Robinson,2016,16,151,9.4375,JAX,JAX,True,0.0,0.0,0.0
00-0031431,Marqise Lee,2016,16,105,6.5625,JAX,JAX,True,0.0,0.0,0.0
00-0031544,Amari Cooper,2016,16,132,8.25,LV,LV,True,0.0,0.0,0.0
00-0031545,Kevin White,2016,4,36,9.0,CHI,,False,,,
00-0031547,DeVante Parker,2016,15,87,5.8,MIA,MIA,True,0.0,0.0,0.0
00-0031549,Nelson Agholor,2016,15,69,4.6,PHI,PHI,True,0.0,1.0,1.0
00-0031560,Jaelen Strong,2016,6,24,4.0,HOU,HOU,True,0.0,1.0,1.0
00-0031588,Stefon Diggs,2016,13,112,8.615384615384615,MIN,MIN,True,0.0,1.0,1.0
00-0031782,Eli Rogers,2016,13,66,5.076923076923077,PIT,,False,,,
00-0031912,Cameron Meredith,2016,14,97,6.928571428571429,CHI,CHI,True,0.0,1.0,1.0
00-0031941,Jamison Crowder,2016,16,99,6.1875,WAS,WAS,True,0.0,0.0,0.0
00-0032009,Adam Humphries,2016,15,83,5.533333333333333,TB,TB,True,0.0,0.0,0.0
00-0032054,Breshad Perriman,2016,15,66,4.4,BAL,,False,,,
00-0032055,Devin Funchess,2016,14,58,4.142857142857143,CAR,CAR,True,0.0,0.0,0.0
00-0032112,J.J. Nelson,2016,14,74,5.285714285714286,ARI,ARI,True,0.0,0.0,0.0
00-0032128,Chris Conley,2016,16,69,4.3125,KC,KC,True,0.0,0.0,0.0
00-0032160,Tyrell Williams,2016,16,119,7.4375,LAC,LAC,True,0.0,0.0,0.0
00-0032166,Sammie Coates,2016,14,49,3.5,PIT,PIT,True,0.0,0.0,0.0
00-0032200,Ty Montgomery,2016,15,56,3.7333333333333334,GB,GB,True,0.0,0.0,0.0
00-0032208,Phillip Dorsett,2016,15,59,3.933333333333333,IND,IND,True,0.0,0.0,0.0
00-0032211,Tyler Lockett,2016,15,66,4.4,SEA,SEA,True,0.0,0.0,0.0
00-0032218,Dorial Green-Beckham,2016,14,74,5.285714285714286,PHI,TEN,True,1.0,0.0,1.0
00-0032365,DeMarcus Ayers,2016,2,13,6.5,PIT,,False,,,
00-0032385,Sterling Shepard,2016,16,105,6.5625,NYG,,False,,,
00-0032400,Malcolm Mitchell,2016,12,48,4.0,NE,,False,,,
00-0032626,Geronimo Allison,2016,7,22,3.142857142857143,GB,,False,,,
00-0032688,Robbie Chosen,2016,14,78,5.571428571428571,NYJ,,False,,,
00-0032739,Wendall Williams,2016,2,7,3.5,HOU,,False,,,
00-0032760,Josh Doctson,2016,2,6,3.0,WAS,,False,,,
00-0032765,Michael Thomas,2016,15,121,8.066666666666666,NO,,False,,,
00-0032778,Tajae Sharpe,2016,16,83,5.1875,TEN,,False,,,
00-0032795,Cody Core,2016,7,27,3.857142857142857,CIN,,False,,,
00-0032841,Paul Turner,2016,3,14,4.666666666666667,PHI,,False,,,
00-0032966,Corey Coleman,2016,10,73,7.3,CLE,,False,,,
00-0033009,Tyler Boyd,2016,16,81,5.0625,CIN,,False,,,
00-0033040,Tyreek Hill,2016,16,83,5.1875,KC,,False,,,
00-0033127,Will Fuller,2016,14,92,6.571428571428571,HOU,,False,,,
00-0022921,Larry Fitzgerald,2017,16,161,10.0625,ARI,ARI,True,0.0,0.0,0.0
00-0024334,Brandon Marshall,2017,5,33,6.6,NYG,NYJ,True,1.0,0.0,1.0
00-0025396,Ted Ginn,2017,15,70,4.666666666666667,NO,CAR,True,1.0,0.0,1.0
00-0026035,Danny Amendola,2017,15,86,5.733333333333333,NE,NE,True,0.0,0.0,0.0
00-0026176,Jordy Nelson,2017,14,88,6.285714285714286,GB,GB,True,0.0,1.0,1.0
00-0026189,DeSean Jackson,2017,14,90,6.428571428571429,TB,WAS,True,1.0,0.0,1.0
00-0026224,Harry Douglas,2017,1,3,3.0,TEN,TEN,True,0.0,0.0,0.0
00-0026345,Pierre Garcon,2017,8,67,8.375,SF,WAS,True,1.0,0.0,1.0
00-0026901,Mike Wallace,2017,15,92,6.133333333333334,BAL,BAL,True,0.0,0.0,0.0
00-0026986,Michael Crabtree,2017,13,101,7.769230769230769,LV,LV,True,0.0,0.0,0.0
00-0026995,Jeremy Maclin,2017,12,72,6.0,BAL,KC,True,1.0,0.0,1.0
00-0027006,Kenny Britt,2017,12,43,3.5833333333333335,CLE,LA,True,1.0,0.0,1.0
00-0027681,Brandon LaFell,2017,16,89,5.5625,CIN,CIN,True,0.0,0.0,0.0
00-0027685,Emmanuel Sanders,2017,12,92,7.666666666666667,DEN,DEN,True,0.0,0.0,0.0
00-0027690,Eric Decker,2017,16,83,5.1875,TEN,NYJ,True,1.0,0.0,1.0
00-0027793,Antonio Brown,2017,14,163,11.642857142857142,PIT,PIT,True,0.0,0.0,0.0
00-0027874,Demaryius Thomas,2017,16,140,8.75,DEN,DEN,True,0.0,0.0,0.0
00-0027891,Golden Tate,2017,16,120,7.5,DET,DET,True,0.0,0.0,0.0
00-0027902,Dez Bryant,2017,16,132,8.25,DAL,DAL,True,0.0,0.0,0.0
00-0027942,A.J. Green,2017,16,143,8.9375,CIN,CIN,True,0.0,0.0,0.0
00-0027944,Julio Jones,2017,16,148,9.25,ATL,ATL,True,0.0,0.0,0.0
00-0027996,Torrey Smith,2017,16,68,4.25,PHI,SF,True,1.0,0.0,1.0
00-0028002,Randall Cobb,2017,14,92,6.571428571428571,GB,GB,True,0.0,1.0,1.0
00-0028091,Jeremy Kerley,2017,8,27,3.375,NYJ,SF,True,1.0,0.0,1.0
00-0028116,Aldrick Robinson,2017,14,48,3.4285714285714284,SF,ATL,True,1.0,0.0,1.0
00-0028237,Chris Hogan,2017,9,59,6.555555555555555,NE,NE,True,0.0,0.0,0.0
00-0028411,Dontrelle Inman,2017,10,44,4.4,LAC,LAC,True,0.0,0.0,0.0
00-0028434,Doug Baldwin,2017,16,116,7.25,SEA,SEA,True,0.0,0.0,0.0
00-0028497,Kamar Aiken,2017,14,44,3.142857142857143,IND,BAL,True,1.0,0.0,1.0
00-0028825,Terrelle Pryor,2017,8,37,4.625,WAS,CLE,True,1.0,0.0,1.0
00-0029000,Cole Beasley,2017,15,63,4.2,DAL,DAL,True,0.0,0.0,0.0
