season,name,position,adp
2023,Browns D/ST,DST,127.29557761732852
2023,Cowboys D/ST,DST,79.38537906137184
2023,49ers D/ST,DST,94.08032490974729
2023,Jets D/ST,DST,164.51895306859205
2023,Chiefs D/ST,DST,148.02707581227438
2023,Ravens D/ST,DST,79.90884476534296
2023,Steelers D/ST,DST,153.64214801444044
2023,Saints D/ST,DST,75.99232851985559
2023,Dolphins D/ST,DST,154.3086642599278
2023,Bengals D/ST,DST,168.87906137184115
2023,Harrison Butker,K,121.42953020134229
2023,Jake Elliott,K,120.57807606263982
2023,Brandon Aubrey,K,93.98729654624852
2023,Justin Tucker,K,92.68814317673377
2023,Jake Moody,K,161.43946010321557
2023,Ka'imi Fairbairn,K,116.9069351230425
2023,Evan McPherson,K,118.50972608177848
2023,Younghoe Koo,K,163.6917225950783
2023,AJ Dillon,RB,165.45239035954168
2023,Alexander Mattison,RB,139.01659423152904
2023,Gabe Davis,WR,158.5713156854998
2023,Josh Downs,WR,160.7096009482418
2023,Tyler Conklin,TE,168.9101876675603
2023,Taysom Hill,TE,167.37176050044684
2023,Rico Dowdle,RB,168.55985776372975
2023,Dameon Pierce,RB,153.67167127617543
2023,Jameson Williams,WR,168.23706045041484
2023,Jared Goff,QB,159.77648636566832
2023,Geno Smith,QB,166.3661153330353
2023,Samaje Perine,RB,168.46779928881864
2023,Kenneth Gainwell,RB,167.52429869616753
2023,Jahan Dotson,WR,167.0782299486369
2023,Rondale Moore,WR,168.20821809561437
2023,Chigoziem Okonkwo,TE,165.0089365504915
2023,Bills D/ST,DST,160.7414259927798
2023,Jaguars D/ST,DST,124.63086642599278
2023,Cameron Dicker,K,83.64827312425565
2023,Dustin Hopkins,K,159.34630872483223
2023,Baker Mayfield,QB,166.07554760840412
2023,Michael Thomas,WR,164.31696428571428
2023,Tyler Boyd,WR,165.56830357142857
2023,Odell Beckham Jr.,WR,155.86473214285715
2023,Darius Slayton,WR,168.94745160015805
2023,Luke Musgrave,TE,167.5432635322007
2023,Bryce Young,QB,168.87895569620252
2023,Russell Wilson,QB,156.0952168082253
2023,Elijah Mitchell,RB,168.33899644409325
2023,Ezekiel Elliott,RB,165.94866071428572
2023,Elijah Moore,WR,162.00671671276174
2023,Braxton Berrios,WR,168.80837613591467
2023,JuJu Smith-Schuster,WR,168.34729355985777
2023,Treylon Burks,WR,165.5440537337021
2023,Lions D/ST,DST,167.02842960288808
2023,Cairo Santos,K,168.7288590604027
2023,Tanner Brown,K,168.93529178245336
2024,CeeDee Lamb,WR,6.301437371663244
2024,Alvin Kamara,RB,8.27618069815195
2024,Kyren Williams,RB,11.482135523613962
2024,Jonathan Taylor,RB,14.419507186858317
2024,Saquon Barkley,RB,3.35564681724846
2024,Malik Nabers,WR,16.126488706365503
2024,Justin Jefferson,WR,9.00841889117043
2024,Tyreek Hill,WR,14.270020533880903
2024,Nico Collins,WR,16.242915811088295
2024,Amon-Ra St. Brown,WR,10.573511293634496
2024,Marvin Harrison Jr.,WR,25.45975359342916
2024,Christian McCaffrey,RB,15.963039014373717
2024,Breece Hall,RB,23.147638603696098
2024,Bijan Robinson,RB,17.317043121149897
2024,A.J. Brown,WR,19.370636550308006
2024,De'Von Achane,RB,23.18151950718686
2024,Derrick Henry,RB,12.737371663244353
2024,Deebo Samuel Sr.,WR,33.30082135523614
2024,Drake London,WR,32.22977412731006
2024,Ja'Marr Chase,WR,10.958726899383983
2024,Chris Godwin,WR,48.857084188911706
2024,Cooper Kupp,WR,30.920944558521562
2024,DK Metcalf,WR,37.805133470225876
2024,Aaron Jones,RB,41.88870636550308
2024,Jayden Daniels,QB,30.388283658787255
2024,Josh Allen,QB,22.68530318602261
2024,Lamar Jackson,QB,18.521068859198355
2024,Puka Nacua,WR,30.90595482546201
2024,Kenneth Walker III,RB,42.6135523613963
2024,Jahmyr Gibbs,RB,23.270225872689938
2024,Tony Pollard,RB,55.92443531827515
2024,James Cook,RB,41.81088295687885
2024,Brian Robinson Jr.,RB,59.657905544147845
2024,Davante Adams,WR,52.29219712525667
2024,Mike Evans,WR,44.817864476386035
2024,Diontae Johnson,WR,71.15092402464066
2024,Jalen Hurts,QB,31.147995889003084
2024,Dak Prescott,QB,65.46906474820143
2024,Terry McLaurin,WR,50.44866529774127
2024,Garrett Wilson,WR,48.51129363449692
2024,DJ Moore,WR,64.1217659137577
2024,Stefon Diggs,WR,76.84476386036961
2024,DeVonta Smith,WR,78.14250513347022
2024,Joe Mixon,RB,36.49712525667351
2024,D'Andre Swift,RB,70.52135523613963
2024,J.K. Dobbins,RB,83.31170431211498
2024,James Conner,RB,78.43655030800821
2024,Chris Olave,WR,92.20205338809035
2024,George Pickens,WR,61.2347022587269
2024,Jayden Reed,WR,84.28685831622177
2024,Jaylen Waddle,WR,84.20041067761807
2024,Brandon Aiyuk,WR,103.65092402464066
2024,David Montgomery,RB,57.92607802874743
2024,Rhamondre Stevenson,RB,102.96837782340863
2024,Travis Etienne Jr.,RB,98.60390143737166
2024,Trey McBride,TE,49.95666461285685
2024,Zack Moss,RB,111.41088295687885
2024,Najee Harris,RB,101.84969199178644
2024,Jaxon Smith-Njigba,WR,85.34496919917865
2024,Jake Ferguson,TE,74.77654549188745
2024,George Kittle,TE,43.54117888683508
2024,Josh Jacobs,RB,62.218275154004104
2024,Justin Fields,QB,96.87091469681398
2024,Brock Purdy,QB,94.10894141829394
2024,Javonte Williams,RB,112.33593429158111
2024,Travis Kelce,TE,49.19346888478127
2024,Zay Flowers,WR,83.89794661190965
2024,Darnell Mooney,WR,110.38213552361397
2024,Rashid Shaheed,WR,118.77946611909651
2024,Dalton Kincaid,TE,95.13021154241117
2024,Dallas Goedert,TE,96.241528034504
2024,T.J. Hockenson,TE,96.81947011706716
2024,Kyler Murray,QB,100.4530318602261
2024,C.J. Stroud,QB,93.93710174717368
2024,Rachaad White,RB,107.69034907597536
2024,Devin Singletary,RB,119.80041067761807
2024,Clyde Edwards-Helaire,RB,123.02073921971252
2024,Rico Dowdle,RB,119.65852156057495
2024,Michael Pittman Jr.,WR,114.98418891170431
2024,Tee Higgins,WR,87.31437371663245
2024,Wan'Dale Robinson,WR,125.97515400410677
2024,Ladd McConkey,WR,112.77926078028747
