player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
5181,Kyle Pitts Sr.,TE,ATL,77.9,7.06,248,55,107,8.7,11
6175,Brian Thomas Jr.,WR,JAX,81.6,7.10,966,59,108,8.3,7
6502,Harold Fannin Jr.,TE,CLE,82.5,7.11,118,55,130,10.5,11
6530,RJ Harvey,RB,DEN,82.8,7.11,454,59,112,8.9,10
1664,Matthew Stafford,QB,LAR,83.5,7.12,445,56,119,11.1,11
6771,Jordyn Tyson,WR,NO,87.0,8.03,600,68,118,7.0,8
2316,Stefon Diggs,WR,WAS,87.2,8.03,373,54,179,12.6,7
5196,Kenny Gainwell,RB,TB,88.2,8.04,389,63,120,9.6,10
5564,Sam LaPorta,TE,DET,88.3,8.04,444,56,142,12.4,6
5721,Michael Wilson,WR,ARI,88.8,8.05,704,65,112,8.8,14
5186,Trevor Lawrence,QB,JAX,89.5,8.05,698,57,125,12.2,7
2507,Aaron Jones Sr.,RB,MIN,89.7,8.06,255,58,113,11.9,6
2465,Chris Godwin Jr.,WR,TB,91.5,8.08,631,68,114,8.9,10
4888,J.K. Dobbins,RB,DEN,91.8,8.08,657,64,120,10.4,10
5680,Josh Downs,WR,IND,92.2,8.08,581,70,118,8.5,13
1309,Denver Defense,DEF,DEN,93.9,8.10,219,68,114,9.7,10
3246,Deebo Samuel Sr.,WR,SF,95.5,8.11,285,69,120,10.0,8
5707,Jayden Reed,WR,GB,95.8,8.12,218,71,114,9.4,11
5674,Quentin Johnston,WR,LAC,96.3,8.12,501,74,118,8.3,7
2462,Patrick Mahomes,QB,KC,97.3,9.01,551,63,126,12.9,5
5626,Rachaad White,RB,WAS,99.3,9.03,521,72,130,10.5,7
6534,Kyle Monangai,RB,CHI,100.1,9.04,577,70,128,11.5,10
6568,Jaxson Dart,QB,NYG,101.6,9.06,369,67,130,13.2,8
1327,Seattle Defense,DEF,SEA,101.7,9.06,227,77,122,9.2,11
5636,Khalil Shakir,WR,BUF,102.7,9.07,164,83,125,7.3,7
5673,Jordan Addison,WR,MIN,103.6,9.08,322,82,121,8.1,6
2896,Dallas Goedert,TE,PHI,104.2,9.08,146,64,150,18.7,10
4887,Justin Herbert,QB,LAC,105.1,9.09,944,69,138,13.9,7
6172,Xavier Worthy,WR,KC,106.1,9.10,345,83,126,8.8,5
1989,Travis Kelce,TE,KC,107.2,9.11,156,57,150,19.3,5
2351,Jared Goff,QB,DET,107.2,9.11,366,74,132,12.6,6
6173,Caleb Williams,QB,CHI,107.3,9.11,884,70,133,14.4,10
1312,Houston Defense,DEF,HOU,107.4,9.11,633,82,136,9.6,8
6772,Makai Lemon,WR,PHI,108.0,9.12,499,84,136,9.1,10
5718,Tucker Kraft,TE,GB,108.7,10.01,809,54,172,21.6,11
6179,Jonathon Brooks,RB,CAR,110.0,10.02,1583,67,150,16.4,5
6595,Jacory Croskey-Merritt,RB,WAS,111.4,10.03,708,70,150,15.8,7
6199,Ricky Pearsall,WR,SF,112.0,10.04,86,93,126,7.0,8
5586,Romeo Doubs,WR,NE,115.0,10.07,267,89,150,9.9,11
2499,George Kittle,TE,SF,116.7,10.09,481,65,169,19.6,8
1317,Minnesota Defense,DEF,MIN,119.4,10.11,62,91,159,12.1,6
5582,John Metchie III,WR,CAR,119.6,10.12,50,110,142,6.2,5
6253,Bo Nix,QB,DEN,121.1,11.01,414,88,143,12.5,10
