player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
5672,Jahmyr Gibbs,RB,DET,1.5,1.02,1888,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5670,Bijan Robinson,RB,ATL,2.0,1.02,1143,1,6,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5714,Puka Nacua,WR,LAR,3.1,1.03,282,1,6,0.9,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5177,Ja'Marr Chase,WR,CIN,3.8,1.04,1999,1,8,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5671,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,1047,2,11,1.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5182,Amon-Ra St. Brown,WR,DET,6.3,1.06,1146,2,12,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
2434,Christian McCaffrey,RB,SF,6.6,1.07,1537,2,12,1.6,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
4864,Jonathan Taylor,RB,IND,7.4,1.07,1795,2,14,1.7,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5574,Drake London,WR,ATL,9.9,1.10,297,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5683,De'Von Achane,RB,MIA,10.4,1.10,816,5,18,1.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
4869,CeeDee Lamb,WR,DAL,10.7,1.11,1295,6,19,2.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
4876,Justin Jefferson,WR,MIN,11.6,1.12,1317,5,20,2.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5652,James Cook III,RB,BUF,12.7,2.01,2778,5,22,2.9,7,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5706,Chase Brown,RB,CIN,13.4,2.01,1773,6,22,2.6,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
5696,Rashee Rice,WR,KC,14.6,2.03,268,8,22,2.2,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
6500,Ashton Jeanty,RB,LV,15.0,2.03,1431,6,23,3.1,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
2350,Derrick Henry,RB,BAL,17.7,2.06,1033,10,25,2.6,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
3247,A.J. Brown,WR,NE,18.1,2.06,1435,9,29,3.3,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 7658, ""start_date"": ""2026-08-17"", ""end_date"": ""2026-08-24""}"
