adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.2,1.01,5,1,4,Christian McCaffrey,2434,RB,0.5,CAR,936
2.5,1.03,8,1,6,Saquon Barkley,2860,RB,0.7,NYG,960
3.4,1.03,14,1,11,Ezekiel Elliott,2343,RB,1.6,DAL,521
4.9,1.05,8,1,12,Alvin Kamara,2439,RB,1.3,NO,960
5.6,1.06,8,1,11,Michael Thomas,2357,WR,1.6,NO,811
6.2,1.06,5,1,11,Clyde Edwards-Helaire,4889,RB,1.7,KC,782
6.2,1.06,6,2,11,Dalvin Cook,2432,RB,1.5,MIN,873
7.4,1.07,9,3,12,Derrick Henry,2350,RB,1.7,TEN,900
9.1,1.09,13,4,17,Josh Jacobs,3255,RB,1.7,LV,648
10.4,1.10,11,5,21,Davante Adams,2125,WR,1.9,GB,832
11.5,1.11,7,5,22,Austin Ekeler,2625,RB,2.1,LAC,850
12.0,1.12,10,6,21,Miles Sanders,3252,RB,2.3,PHI,652
13.1,2.01,6,6,21,Joe Mixon,2438,RB,2.5,CIN,736
14.4,2.02,11,7,22,Julio Jones,1796,WR,2.8,ATL,856
14.8,2.03,14,7,24,Kenyan Drake,2360,RB,2.7,ARI,1008
15.8,2.04,5,7,25,Tyreek Hill,2390,WR,3.1,KC,944
16.3,2.04,11,8,24,Nick Chubb,2863,RB,3.1,CLE,910
17.5,2.06,11,9,28,Aaron Jones Sr.,2507,RB,2.9,GB,976
18.5,2.07,14,9,28,DeAndre Hopkins,1975,WR,3.4,ARI,931
18.7,2.07,5,4,34,Patrick Mahomes,2462,QB,5.4,KC,674
19.9,2.08,5,9,33,Travis Kelce,1989,TE,3.9,KC,877
21.5,2.10,10,13,33,Chris Godwin Jr.,2465,WR,3.0,TB,910
22.4,2.10,9,13,37,James Conner,2470,RB,3.4,PIT,852
22.7,2.11,13,8,34,Lamar Jackson,2888,QB,5.6,BAL,765
24.4,2.12,8,14,35,George Kittle,2499,TE,3.9,SF,816
25.8,3.02,6,17,35,Kenny Golladay,2488,WR,3.1,DET,820
26.4,3.02,11,15,37,Chris Carson,2518,RB,4.0,SEA,883
27.9,3.04,10,19,37,Mike Evans,2111,WR,3.2,TB,782
28.5,3.04,8,18,43,David Johnson,2297,RB,3.9,HOU,816
29.1,3.05,11,16,42,Todd Gurley,2280,RB,5.0,ATL,732
30.3,3.06,6,21,44,Adam Thielen,2431,WR,3.6,MIN,824
31.8,3.08,10,22,42,Allen Robinson II,2130,WR,3.7,CHI,652
32.6,3.09,13,20,44,Jonathan Taylor,4864,RB,4.6,IND,726
32.6,3.09,5,22,48,DJ Moore,2876,WR,3.8,CAR,712
34.5,3.10,5,21,49,LeVeon Bell,1983,RB,5.0,KC,643
35.4,3.11,10,22,51,Leonard Fournette,2433,RB,4.9,TB,565
35.7,3.12,11,23,48,Odell Beckham Jr.,2113,WR,4.6,CLE,855
36.9,4.01,9,26,48,JuJu Smith-Schuster,2442,WR,4.0,PIT,895
38.1,4.02,14,26,48,Amari Cooper,2277,WR,4.4,DAL,780
39.4,4.03,10,26,55,Melvin Gordon III,2282,RB,4.9,DEN,861
40.3,4.04,11,29,51,Cooper Kupp,2449,WR,4.3,LAR,805
40.9,4.05,11,29,55,Calvin Ridley,2866,WR,4.2,ATL,906
42.4,4.06,13,26,60,Mark Andrews,2872,TE,6.3,BAL,508
42.4,4.06,11,33,54,Robert Woods,1981,WR,3.6,LAR,795
42.5,4.06,13,29,58,Mark Ingram II,1800,RB,5.1,BAL,759
44.4,4.08,9,33,57,A.J. Brown,3247,WR,4.0,TEN,588
45.3,4.09,11,33,59,DK Metcalf,3239,WR,4.4,SEA,612
46.4,4.10,7,29,68,Devin Singletary,3267,RB,6.4,BUF,469
47.5,4.11,7,35,63,DJ Chark,2912,WR,4.7,JAX,754
49.4,5.01,8,33,69,Raheem Mostert,2737,RB,6.1,SF,776
49.9,5.02,11,38,67,Tyler Lockett,2304,WR,4.3,SEA,701
50.6,5.03,10,32,69,Zach Ertz,1978,TE,6.9,PHI,627
50.8,5.03,7,40,67,Terry McLaurin,3449,WR,3.9,WAS,667
52.8,5.05,11,37,68,Cam Akers,4881,RB,5.7,LAR,809
53.1,5.05,11,37,68,Kareem Hunt,2450,RB,6.0,CLE,835
53.5,5.06,7,41,72,Keenan Allen,1992,WR,4.7,LAC,845
54.7,5.07,14,34,74,Dak Prescott,2377,QB,7.6,DAL,444
56.5,5.08,10,42,72,Ronald Jones,2867,RB,5.5,TB,838
57.5,5.10,13,44,78,T.Y. Hilton,1935,WR,5.0,IND,685
58.1,5.10,10,43,72,Courtland Sutton,2862,WR,5.5,DEN,825
59.7,5.12,10,43,76,David Montgomery,3238,RB,6.4,CHI,504
60.0,5.12,13,45,77,Hollywood Brown,3249,WR,5.5,BAL,684
61.4,6.01,6,47,75,D'Andre Swift,4862,RB,5.5,DET,556
61.6,6.02,13,45,89,Darren Waller,2322,TE,6.4,LV,564
62.0,6.02,11,40,82,Russell Wilson,1904,QB,8.1,SEA,588
62.6,6.03,14,41,86,Kyler Murray,3299,QB,8.1,ARI,408
65.0,6.05,7,49,82,Stefon Diggs,2316,WR,5.8,BUF,885
66.7,6.07,6,51,86,DeVante Parker,2279,WR,5.8,MIA,754
67.0,6.07,13,53,83,J.K. Dobbins,4888,RB,5.2,BAL,498
69.3,6.09,8,52,92,Deshaun Watson,2444,QB,6.4,HOU,595
69.8,6.10,6,53,97,A.J. Green,1795,WR,6.4,CIN,791
70.4,6.10,10,46,96,Rob Gronkowski,1740,TE,9.3,TB,348
70.5,6.11,8,54,95,Will Fuller,2345,WR,6.1,HOU,854
72.2,6.12,14,54,96,Michael Gallup,2879,WR,6.7,DAL,833
72.7,7.01,11,54,93,James White,2154,RB,6.8,NE,585
74.6,7.03,13,52,93,Marlon Mack,2469,RB,8.3,IND,522
74.8,7.03,8,57,100,Evan Engram,2451,TE,6.8,NYG,446
77.2,7.05,11,59,97,Julian Edelman,1708,WR,6.7,NE,709
78.5,7.06,6,60,96,Tyler Boyd,2359,WR,7.0,CIN,873
79.0,7.07,7,62,97,Antonio Gibson,5008,RB,6.5,WAS,464
79.4,7.07,11,61,103,Hayden Hurst,2889,TE,6.9,ATL,410
80.0,7.08,10,61,98,Jordan Howard,2384,RB,7.2,PHI,502
80.1,7.08,8,56,105,Drew Brees,127,QB,9.2,NO,386
81.5,7.09,8,63,99,Brandin Cooks,2114,WR,7.1,HOU,751
83.7,7.12,7,64,99,Zack Moss,4877,RB,7.4,BUF,657
83.8,7.12,10,63,99,Phillip Lindsay,3032,RB,7.6,DEN,601
84.6,8.01,10,66,105,Tarik Cohen,2493,RB,6.8,CHI,595
84.8,8.01,11,62,111,Matt Ryan,1342,QB,8.7,ATL,433
85.5,8.01,11,65,104,Jarvis Landry,2132,WR,7.6,CLE,733
88.0,8.04,10,63,115,Tom Brady,119,QB,9.5,TB,381
89.1,8.05,8,67,110,Deebo Samuel Sr.,3246,WR,8.3,SF,608
89.4,8.05,9,70,106,Diontae Johnson,3419,WR,7.2,PIT,503
89.7,8.06,11,64,116,Tyler Higbee,2370,TE,9.7,LAR,370
90.5,8.07,6,71,112,Matt Breida,2525,RB,7.5,MIA,456
93.2,8.09,14,72,112,CeeDee Lamb,4869,WR,8.0,DAL,611
94.3,8.10,11,70,122,Aaron Rodgers,1004,QB,9.1,GB,376
94.9,8.11,8,76,108,Latavius Murray,2023,RB,7.2,NO,489
95.1,8.11,6,75,112,Marvin Jones Jr.,2061,WR,7.7,DET,665
96.4,8.12,8,77,111,Tevin Coleman,2289,RB,7.2,SF,389
96.7,9.01,6,77,111,Alexander Mattison,3458,RB,7.4,MIN,350
97.2,9.01,6,77,118,Kerryon Johnson,2868,RB,7.7,DET,525
98.0,9.02,7,69,137,Hunter Henry,2354,TE,10.9,LAC,406
100.0,9.04,8,79,119,Emmanuel Sanders,1762,WR,7.8,NO,549
101.1,9.05,14,81,120,Chase Edmonds,2980,RB,7.4,ARI,446
101.1,9.05,11,83,121,Damien Harris,3243,RB,6.7,NE,324
101.5,9.05,7,75,129,Josh Allen,2885,QB,10.0,BUF,484
102.6,9.07,13,83,119,Jamison Crowder,2331,WR,7.2,NYJ,596
104.5,9.09,13,84,130,Henry Ruggs III,4874,WR,7.6,LV,463
106.1,9.10,5,82,122,Mecole Hardman Jr.,3426,WR,9.1,KC,330
106.3,9.10,8,81,125,San Francisco Defense,1326,DEF,9.4,SF,334
107.4,9.11,11,82,127,Sony Michel,2865,RB,9.4,NE,342
107.9,9.12,10,83,127,Carson Wentz,2352,QB,9.4,PHI,438
