adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
87.2,8.03,11,57,124,Robert Tonyan,2796,TE,11.5,GB,712
89.6,8.06,13,71,112,Corey Davis,2435,WR,7.1,NYJ,1157
89.8,8.06,8,71,108,Deebo Samuel Sr.,3246,WR,6.9,SF,504
90.1,8.06,10,71,113,Leonard Fournette,2433,RB,7.3,TB,570
90.5,8.06,8,67,118,Marquez Callaway,5149,WR,8.9,NO,931
91.2,8.07,7,67,106,Devin Singletary,3267,RB,9.2,BUF,413
92.0,8.08,6,72,119,Jamaal Williams,2445,RB,7.5,DET,709
93.4,8.09,11,67,119,Sony Michel,2865,RB,9.9,LAR,827
93.9,8.10,10,67,124,Dallas Goedert,2896,TE,10.1,PHI,388
95.8,8.12,11,70,129,Tyler Higbee,2370,TE,9.7,LAR,831
96.1,8.12,9,71,124,Ryan Tannehill,1899,QB,9.6,TEN,900
96.2,8.12,14,74,117,James Conner,2470,RB,8.2,ARI,633
97.3,9.01,6,75,115,Tyler Boyd,2359,WR,8.6,CIN,821
99.2,9.03,6,78,119,Jaylen Waddle,5178,WR,7.8,MIA,855
100.0,9.04,5,81,118,Mecole Hardman Jr.,3426,WR,7.0,KC,365
100.2,9.04,10,73,127,Jalen Hurts,5025,QB,10.2,PHI,605
102.7,9.07,14,83,120,Tony Pollard,3435,RB,7.4,DAL,325
102.9,9.07,8,77,124,Brandin Cooks,2114,WR,9.9,HOU,547
102.9,9.07,13,81,128,Kenyan Drake,2360,RB,8.2,LV,577
104.4,9.08,13,83,120,Michael Pittman Jr.,4880,WR,8.1,IND,689
106.5,9.10,6,81,139,Alexander Mattison,3458,RB,9.5,MIN,333
107.5,9.12,6,89,130,Phillip Lindsay,3032,RB,7.1,MIA,417
108.5,9.12,9,80,136,Pittsburgh Defense,1324,DEF,10.6,PIT,598
108.6,10.01,11,77,132,LA Rams Defense,1328,DEF,12.0,LAR,369
109.0,10.01,10,90,129,Darnell Mooney,5119,WR,7.0,CHI,499
112.4,10.04,6,89,131,Joe Burrow,4882,QB,8.7,CIN,344
112.8,10.05,7,92,130,DJ Chark,2912,WR,7.9,JAX,521
114.3,10.06,6,71,162,Mike Gesicki,2906,TE,16.4,MIA,792
115.0,10.07,10,91,145,Tampa Bay Defense,1329,DEF,9.2,TB,415
115.0,10.07,8,93,144,David Johnson,2297,RB,9.6,HOU,307
116.2,10.08,11,90,138,Jakobi Meyers,3496,WR,9.9,NE,663
116.2,10.08,7,96,150,Mike Williams,2436,WR,7.7,LAC,477
116.8,10.09,7,89,147,J.D. McKissic,2534,RB,10.4,WAS,535
118.2,10.10,11,94,149,Jarvis Landry,2132,WR,9.0,CLE,486
118.2,10.10,8,92,147,Trey Lance,5197,QB,9.8,SF,532
120.3,10.12,6,79,172,Irv Smith Jr.,3460,TE,16.2,MIN,202
120.6,11.01,13,89,150,Nyheim Hines,2948,RB,11.9,IND,548
120.9,11.01,10,94,147,Giovani Bernard,1979,RB,10.3,TB,450
121.3,11.01,11,89,150,Rhamondre Stevenson,5210,RB,12.2,NE,570
123.1,11.03,7,95,147,Washington Defense,1331,DEF,10.6,WAS,579
123.9,11.04,13,95,149,Henry Ruggs III,4874,WR,11.0,LV,317
125.6,11.06,10,94,161,Justin Fields,5191,QB,12.0,CHI,795
126.0,11.06,7,95,150,Marvin Jones Jr.,2061,WR,11.6,JAX,587
127.6,11.08,5,100,154,Chuba Hubbard,4873,RB,10.5,CAR,294
128.8,11.09,11,84,169,James White,2154,RB,18.9,NE,345
129.2,11.09,6,100,153,Will Fuller,2345,WR,11.0,MIA,380
129.7,11.10,13,103,155,Baltimore Defense,1332,DEF,10.2,BAL,401
129.8,11.10,11,92,148,Matt Ryan,1342,QB,14.2,ATL,302
130.6,11.11,13,94,155,Latavius Murray,2023,RB,14.0,BAL,215
130.7,11.11,11,90,177,Jonnu Smith,2490,TE,15.6,NE,770
132.6,12.01,13,106,159,Elijah Moore,5187,WR,10.0,NYJ,379
133.8,12.02,11,106,152,Russell Gage Jr.,2992,WR,10.4,ATL,328
134.3,12.02,11,98,172,Baker Mayfield,2886,QB,13.7,CLE,280
135.4,12.03,13,91,166,Justin Tucker,1962,PK,16.8,BAL,922
135.4,12.03,14,106,156,Michael Gallup,2879,WR,11.0,DAL,284
137.3,12.05,8,106,167,Jameis Winston,2275,QB,11.8,NO,324
137.5,12.06,13,104,168,Indianapolis Defense,1313,DEF,12.8,IND,194
137.9,12.06,11,106,173,Rashaad Penny,2869,RB,12.0,SEA,161
137.9,12.06,8,106,171,San Francisco Defense,1326,DEF,11.9,SF,419
138.7,12.07,5,92,163,Harrison Butker,2514,PK,17.7,KC,548
139.0,12.07,13,94,173,Tevin Coleman,2289,RB,17.2,NYJ,189
139.6,12.08,11,97,175,Younghoe Koo,2527,PK,16.0,ATL,312
140.2,12.08,7,106,170,Curtis Samuel,2443,WR,12.9,WAS,310
140.6,12.09,14,109,180,Greg Zuerlein,1960,PK,12.0,DAL,179
140.9,12.09,13,102,171,Hollywood Brown,3249,WR,14.9,BAL,247
142.8,12.11,10,83,185,Rob Gronkowski,1740,TE,22.8,TB,586
143.2,12.11,9,103,171,Ben Roethlisberger,1006,QB,15.3,PIT,240
143.9,12.12,6,110,185,Jason Sanders,2954,PK,15.4,MIA,176
144.3,12.12,7,100,181,Gabe Davis,5018,WR,24.2,BUF,180
144.7,13.01,7,106,178,Trevor Lawrence,5186,QB,14.7,JAX,431
146.0,13.02,10,108,190,Damien Williams,2553,RB,23.8,CHI,78
146.4,13.02,14,104,177,Rondale Moore,5179,WR,16.1,ARI,242
146.5,13.02,10,110,188,Ryan Succop,1704,PK,16.5,TB,167
148.2,13.04,13,95,177,Bryan Edwards,4895,WR,20.3,LV,113
148.5,13.04,13,110,181,Rodrigo Blankenship,5038,PK,14.8,IND,97
