adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.4,1.01,8,1,5,Christian McCaffrey,2434,RB,0.7,SF,181
2.2,1.02,13,1,5,Breece Hall,5503,RB,0.9,NYJ,68
2.6,1.03,6,1,6,Tyreek Hill,2390,WR,0.9,MIA,144
3.7,1.04,14,1,6,CeeDee Lamb,4869,WR,1.3,DAL,321
4.9,1.05,11,1,9,Bijan Robinson,5670,RB,1.3,ATL,281
6.2,1.06,6,3,10,Amon-Ra St. Brown,5182,WR,1.2,DET,261
7.2,1.07,6,2,11,Ja'Marr Chase,5177,WR,1.8,CIN,162
8.0,1.08,6,3,14,Justin Jefferson,4876,WR,1.6,MIN,242
9.4,1.09,6,3,17,Jahmyr Gibbs,5672,RB,2.2,DET,151
9.8,1.10,13,4,15,Jonathan Taylor,4864,RB,2.0,IND,212
10.9,1.11,10,6,15,A.J. Brown,3247,WR,1.8,PHI,248
11.3,1.11,10,5,18,Saquon Barkley,2860,RB,2.3,PHI,243
12.1,1.12,13,7,18,Garrett Wilson,5548,WR,1.9,NYJ,311
14.5,2.02,14,8,19,Marvin Harrison Jr.,6193,WR,2.3,ARI,152
15.2,2.03,11,9,23,Puka Nacua,5714,WR,2.2,LAR,136
15.9,2.04,11,8,24,Kyren Williams,5623,RB,2.9,LAR,174
15.9,2.04,13,8,24,Derrick Henry,2350,RB,2.8,BAL,283
17.6,2.06,7,11,25,Travis Etienne Jr.,4863,RB,2.5,JAX,250
18.9,2.07,11,12,26,Cooper Kupp,2449,WR,2.7,LAR,189
19.8,2.08,5,12,27,Isiah Pacheco,5337,RB,2.9,KC,285
20.0,2.08,13,12,28,Davante Adams,2125,WR,2.8,NYJ,128
21.4,2.09,6,9,34,De'Von Achane,5683,RB,4.5,MIA,227
21.5,2.09,11,13,28,Drake London,5574,WR,3.1,ATL,174
23.0,2.11,8,16,30,Deebo Samuel Sr.,3246,WR,3.2,SF,138
23.6,2.12,11,14,33,Josh Jacobs,3255,RB,3.6,GB,229
24.4,2.12,5,12,34,Travis Kelce,1989,TE,4.6,KC,104
25.1,3.01,7,11,37,Josh Allen,2885,QB,5.2,BUF,116
26.2,3.02,8,17,33,Chris Olave,5544,WR,3.3,NO,194
29.0,3.05,10,24,37,Rachaad White,5626,RB,3.3,TB,108
29.1,3.05,6,19,40,Jaylen Waddle,5178,WR,3.7,MIA,295
29.4,3.05,6,19,43,Sam LaPorta,5564,TE,4.0,DET,148
30.3,3.06,7,19,41,James Cook III,5652,RB,4.1,BUF,244
30.8,3.07,5,14,44,Patrick Mahomes,2462,QB,6.2,KC,140
32.1,3.08,8,21,41,Nico Collins,5207,WR,4.0,HOU,301
32.3,3.08,8,22,42,Alvin Kamara,2439,RB,3.8,NO,196
33.5,3.09,10,21,44,Mike Evans,2111,WR,4.5,TB,241
35.0,3.11,8,25,47,Joe Mixon,2438,RB,4.3,HOU,200
35.6,3.12,11,24,46,Kenneth Walker III,5625,RB,4.1,SEA,261
37.3,4.01,10,23,47,Jalen Hurts,5025,QB,5.4,PHI,219
38.3,4.02,10,27,47,DeVonta Smith,4883,WR,4.1,PHI,167
38.3,4.02,8,26,50,Malik Nabers,6183,WR,4.6,NYG,221
40.7,4.05,11,25,55,DK Metcalf,3239,WR,5.7,SEA,333
41.2,4.05,13,28,54,Mark Andrews,2872,TE,4.9,BAL,118
41.8,4.06,8,29,51,Stefon Diggs,2316,WR,4.8,HOU,83
43.7,4.08,10,31,56,DJ Moore,2876,WR,4.6,CHI,263
44.2,4.08,13,31,55,Lamar Jackson,2888,QB,4.9,BAL,169
45.2,4.09,13,31,57,Michael Pittman Jr.,4880,WR,5.4,IND,167
46.0,4.10,6,31,56,Aaron Jones Sr.,2507,RB,5.7,MIN,153
47.6,4.12,14,34,61,James Conner,2470,RB,5.0,ARI,194
48.1,4.12,8,34,60,Brandon Aiyuk,4891,WR,5.3,SF,306
49.2,5.01,7,40,58,Amari Cooper,2277,WR,3.7,BUF,75
49.9,5.02,8,32,67,C.J. Stroud,5676,QB,6.6,HOU,155
50.4,5.02,14,36,63,Trey McBride,5656,TE,5.5,ARI,292
51.8,5.04,6,42,61,Tee Higgins,4870,WR,4.5,CIN,148
54.6,5.07,6,39,68,David Montgomery,3238,RB,5.7,DET,200
55.2,5.07,13,43,63,Anthony Richardson Sr.,5679,QB,4.3,IND,85
55.6,5.08,7,44,69,Christian Kirk,2870,WR,4.3,JAX,78
56.5,5.09,10,39,73,D'Andre Swift,4862,RB,6.5,CHI,235
56.8,5.09,13,47,65,Zay Flowers,5675,WR,4.2,BAL,141
57.5,5.09,8,46,70,Tank Dell,5711,WR,4.4,HOU,148
59.1,5.11,7,43,77,Dalton Kincaid,5688,TE,6.0,BUF,283
59.7,5.12,6,40,81,Joe Burrow,4882,QB,7.5,CIN,65
59.8,5.12,9,44,72,George Pickens,5576,WR,5.8,PIT,164
62.0,6.02,11,46,74,Rhamondre Stevenson,5210,RB,5.8,NE,174
63.5,6.04,10,49,76,Keenan Allen,1992,WR,5.7,CHI,56
64.1,6.04,6,48,79,Raheem Mostert,2737,RB,6.2,MIA,229
64.2,6.04,5,39,85,Rashee Rice,5696,WR,9.6,KC,454
65.0,6.05,11,46,82,Nick Chubb,2863,RB,7.1,CLE,58
65.1,6.05,11,49,74,Jayden Reed,5707,WR,5.9,GB,82
66.7,6.07,8,45,84,George Kittle,2499,TE,8.1,SF,172
67.1,6.07,9,52,80,Najee Harris,4872,RB,5.7,PIT,155
67.8,6.08,13,52,81,Zamir White,5513,RB,6.1,LV,186
68.4,6.08,10,54,86,Chris Godwin Jr.,2465,WR,6.3,TB,94
69.8,6.10,14,51,84,Dak Prescott,2377,QB,7.2,DAL,131
70.2,6.10,7,50,86,Terry McLaurin,3449,WR,7.4,WAS,343
72.8,7.01,11,52,88,Kyle Pitts Sr.,5181,TE,7.8,ATL,189
73.2,7.01,11,52,90,Jordan Love,4892,QB,8.3,GB,131
74.4,7.02,6,53,93,Zack Moss,4877,RB,8.0,CIN,83
74.7,7.03,9,59,87,Calvin Ridley,2866,WR,5.8,TEN,177
76.1,7.04,14,54,94,Kyler Murray,3299,QB,8.2,ARI,276
77.5,7.05,10,61,91,Javonte Williams,5185,RB,6.3,DEN,258
79.5,7.07,7,55,96,Evan Engram,2451,TE,9.1,JAX,208
79.6,7.08,9,64,89,Jaylen Warren,5443,RB,5.7,PIT,69
81.7,7.10,9,62,97,Tony Pollard,3435,RB,7.4,TEN,183
81.9,7.10,5,63,95,Xavier Worthy,6172,WR,7.1,KC,132
82.2,7.10,5,72,92,Hollywood Brown,3249,WR,4.8,KC,44
84.2,7.12,11,64,121,Christian Watson,5360,WR,7.7,GB,153
85.4,8.01,5,70,100,Jonathon Brooks,6179,RB,5.8,CAR,151
87.9,8.04,8,72,104,Devin Singletary,3267,RB,6.1,NYG,114
88.0,8.04,7,70,97,Austin Ekeler,2625,RB,6.7,WAS,113
88.1,8.04,7,70,101,Keon Coleman,6189,WR,6.7,BUF,136
88.6,8.05,6,65,107,Tua Tagovailoa,4890,QB,8.9,MIA,121
89.2,8.05,14,65,110,Jake Ferguson,5561,TE,9.1,DAL,167
90.5,8.06,11,62,106,Jaxon Smith-Njigba,5671,WR,10.8,SEA,147
91.4,8.07,9,76,115,Tyjae Spears,5692,RB,5.6,TEN,99
91.9,8.08,6,72,107,Chase Brown,5706,RB,7.4,CIN,167
92.1,8.08,13,72,117,Diontae Johnson,3419,WR,7.7,BAL,274
94.3,8.10,6,60,121,Jared Goff,2351,QB,13.1,DET,84
96.2,8.12,7,74,110,Ezekiel Elliott,2343,RB,8.3,LAC,42
97.7,9.02,10,79,112,Rome Odunze,6194,WR,7.0,CHI,134
97.9,9.02,7,77,120,Brian Robinson Jr.,5605,RB,7.9,WAS,256
98.4,9.02,7,87,112,Ladd McConkey,6281,WR,6.0,LAC,104
98.5,9.02,11,75,115,Jerome Ford,5617,RB,8.9,CLE,241
99.2,9.03,7,67,126,Jayden Daniels,5854,QB,12.1,WAS,220
100.6,9.05,7,85,119,Gus Edwards,3081,RB,6.5,LAC,78
101.1,9.05,11,76,115,David Njoku,2448,TE,9.4,CLE,83
103.0,9.07,11,84,118,Romeo Doubs,5586,WR,7.1,GB,61
104.5,9.08,5,89,118,DeAndre Hopkins,1975,WR,5.9,KC,101
105.5,9.10,10,75,124,Dallas Goedert,2896,TE,11.5,PHI,70
105.7,9.10,8,82,128,Brock Purdy,5648,QB,10.4,SF,96
106.6,9.11,11,87,116,Tyler Lockett,2304,WR,7.3,SEA,24
107.8,9.12,6,86,131,Jameson Williams,5643,WR,8.1,DET,87
108.5,10.01,14,96,122,Trey Benson,5990,RB,5.7,ARI,96
108.8,10.01,5,91,122,Chuba Hubbard,4873,RB,6.6,CAR,123
110.3,10.02,11,91,145,Blake Corum,5965,RB,7.2,LAR,181
110.8,10.03,10,89,137,Courtland Sutton,2862,WR,8.2,DEN,185
114.2,10.06,7,92,145,Brian Thomas Jr.,6175,WR,8.5,JAX,229
114.6,10.07,7,81,139,Justin Herbert,4887,QB,12.7,LAC,43
116.1,10.08,9,98,144,Mike Williams,2436,WR,8.1,PIT,50
116.2,10.08,7,96,129,J.K. Dobbins,4888,RB,7.6,LAC,122
