adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.3,1.01,13,1,4,Jonathan Taylor,4864,RB,0.6,IND,368
2.4,1.02,8,1,5,Christian McCaffrey,2434,RB,0.9,SF,336
2.7,1.03,7,1,7,Austin Ekeler,2625,RB,0.9,LAC,119
4.3,1.04,9,1,9,Derrick Henry,2350,RB,1.4,TEN,277
4.6,1.05,6,1,9,Justin Jefferson,4876,WR,1.4,MIN,480
5.7,1.06,11,1,12,Cooper Kupp,2449,WR,1.8,LAR,391
7.1,1.07,9,2,14,Najee Harris,4872,RB,2.1,PIT,253
7.5,1.08,6,3,13,Dalvin Cook,2432,RB,1.7,MIN,452
8.7,1.09,6,3,15,Ja'Marr Chase,5177,WR,1.8,CIN,408
10.1,1.10,6,5,16,Joe Mixon,2438,RB,1.8,CIN,288
10.9,1.11,8,5,17,Alvin Kamara,2439,RB,2.0,NO,340
12.0,1.12,13,5,19,Davante Adams,2125,WR,2.5,LV,278
12.8,2.01,6,6,19,D'Andre Swift,4862,RB,2.4,DET,370
13.6,2.02,7,8,19,Stefon Diggs,2316,WR,2.0,BUF,388
14.9,2.03,11,8,22,Aaron Jones Sr.,2507,RB,2.4,GB,330
15.5,2.04,8,9,23,Saquon Barkley,2860,RB,2.3,NYG,422
16.5,2.05,5,8,24,Travis Kelce,1989,TE,3.2,KC,290
17.5,2.05,14,10,25,CeeDee Lamb,4869,WR,2.6,DAL,314
18.8,2.07,11,11,26,Nick Chubb,2863,RB,2.9,CLE,294
19.6,2.08,8,12,29,Deebo Samuel Sr.,3246,WR,2.9,SF,297
20.2,2.08,10,11,28,Javonte Williams,5185,RB,3.3,DEN,379
20.4,2.08,7,6,31,Josh Allen,2885,QB,5.3,BUF,175
21.9,2.10,10,13,33,Leonard Fournette,2433,RB,3.0,TB,380
22.7,2.11,6,13,32,Tyreek Hill,2390,WR,3.4,MIA,414
24.9,3.01,13,16,33,Michael Pittman Jr.,4880,WR,3.2,IND,325
25.5,3.01,13,15,37,Mark Andrews,2872,TE,3.8,BAL,388
26.5,3.02,10,18,34,Mike Evans,2111,WR,3.2,TB,249
27.7,3.04,14,18,39,Ezekiel Elliott,2343,RB,3.7,DAL,271
28.4,3.04,14,19,39,James Conner,2470,RB,3.3,ARI,375
29.5,3.05,7,21,40,Keenan Allen,1992,WR,3.3,LAC,363
30.4,3.06,10,21,39,A.J. Brown,3247,WR,3.6,PHI,386
31.2,3.07,11,20,42,Kyle Pitts Sr.,5181,TE,4.1,ATL,444
32.5,3.08,6,24,42,Tee Higgins,4870,WR,3.5,CIN,235
33.1,3.09,11,21,45,Cam Akers,4881,RB,4.6,LAR,242
33.2,3.09,7,22,48,Justin Herbert,4887,QB,4.3,LAC,237
33.6,3.10,7,23,48,Travis Etienne Jr.,4863,RB,4.1,JAX,504
35.9,3.12,5,27,46,DJ Moore,2876,WR,3.1,CAR,395
38.0,4.02,7,28,48,Terry McLaurin,3449,WR,3.6,WAS,172
38.3,4.02,5,18,53,Patrick Mahomes,2462,QB,7.7,KC,259
38.8,4.03,13,29,52,J.K. Dobbins,4888,RB,3.9,BAL,148
39.3,4.03,10,27,59,David Montgomery,3238,RB,4.7,CHI,268
39.6,4.04,7,29,50,Mike Williams,2436,WR,4.0,LAC,469
42.4,4.06,8,28,57,Elijah Mitchell,5214,RB,5.2,SF,260
43.4,4.07,9,32,56,Diontae Johnson,3419,WR,4.3,PIT,220
44.2,4.08,8,30,59,George Kittle,2499,TE,5.4,SF,272
44.4,4.08,13,32,58,Breece Hall,5503,RB,4.7,NYJ,260
45.3,4.09,10,31,60,Courtland Sutton,2862,WR,5.3,DEN,654
46.1,4.10,6,29,58,Joe Burrow,4882,QB,6.3,CIN,101
46.8,4.11,13,31,60,Josh Jacobs,3255,RB,5.9,LV,205
47.7,4.12,6,33,69,Jaylen Waddle,5178,WR,5.5,MIA,242
48.7,5.01,11,34,62,AJ Dillon,4886,RB,5.6,GB,396
50.4,5.02,13,33,68,Darren Waller,2322,TE,6.4,LV,274
51.3,5.03,13,34,67,Lamar Jackson,2888,QB,6.3,BAL,312
51.4,5.03,11,37,65,DK Metcalf,3239,WR,5.4,SEA,197
52.3,5.04,8,38,67,Michael Thomas,2357,WR,5.3,NO,279
53.5,5.05,11,38,70,Allen Robinson II,2130,WR,5.9,LAR,474
54.3,5.06,5,41,66,Clyde Edwards-Helaire,4889,RB,4.8,KC,250
56.3,5.08,10,39,72,Jalen Hurts,5025,QB,6.3,PHI,325
56.5,5.08,10,42,74,Chris Godwin Jr.,2465,WR,5.5,TB,268
56.7,5.09,8,42,73,Brandin Cooks,2114,WR,5.6,HOU,341
59.8,5.12,11,43,76,Damien Harris,3243,RB,6.3,NE,125
61.6,6.02,14,46,75,Kyler Murray,3299,QB,5.9,ARI,242
61.7,6.02,10,46,79,Jerry Jeudy,4861,WR,6.0,DEN,282
61.7,6.02,10,47,76,Miles Sanders,3252,RB,5.6,PHI,115
62.6,6.03,14,43,81,Dalton Schultz,2977,TE,7.4,DAL,287
62.9,6.03,7,44,89,Gabe Davis,5018,WR,7.0,BUF,414
63.3,6.03,11,46,82,Rashaad Penny,2869,RB,6.4,SEA,227
63.8,6.04,6,50,79,Adam Thielen,2431,WR,5.3,MIN,290
68.1,6.08,10,54,83,Darnell Mooney,5119,WR,5.4,CHI,188
68.7,6.09,14,51,86,Hollywood Brown,3249,WR,6.7,ARI,251
68.9,6.09,11,50,89,Kareem Hunt,2450,RB,7.0,CLE,232
69.6,6.10,10,49,86,Chase Edmonds,2980,RB,7.9,DEN,416
70.5,6.11,8,42,90,Dameon Pierce,5632,RB,10.7,HOU,783
70.8,6.11,14,53,88,Tony Pollard,3435,RB,6.7,DAL,233
71.2,6.11,13,51,87,Hunter Renfrow,3428,WR,7.4,LV,157
72.5,6.12,10,51,99,Russell Wilson,1904,QB,8.0,DEN,281
73.4,7.01,6,53,94,Amon-Ra St. Brown,5182,WR,7.7,DET,509
74.4,7.02,7,55,89,Devin Singletary,3267,RB,7.2,BUF,129
75.2,7.03,10,54,91,Dallas Goedert,2896,TE,8.0,PHI,219
75.9,7.04,5,56,92,JuJu Smith-Schuster,2442,WR,7.3,KC,437
76.0,7.04,11,55,91,Rhamondre Stevenson,5210,RB,7.9,NE,356
80.2,7.08,11,55,103,Aaron Rodgers,1004,QB,9.6,GB,140
81.0,7.09,13,62,96,Rashod Bateman,5180,WR,7.1,BAL,311
83.6,7.12,14,63,103,Dak Prescott,2377,QB,7.6,DAL,153
84.2,7.12,11,65,100,Amari Cooper,2277,WR,7.1,CLE,126
85.4,8.01,5,69,103,Melvin Gordon III,2282,RB,6.2,KC,169
86.6,8.03,10,70,105,DeVonta Smith,4883,WR,6.2,PHI,199
86.8,8.03,10,64,108,Tom Brady,119,QB,8.6,TB,265
87.9,8.04,13,71,106,Elijah Moore,5187,WR,6.4,NYJ,163
89.0,8.05,14,63,113,Zach Ertz,1978,TE,9.9,ARI,184
89.5,8.06,11,68,112,Allen Lazard,3077,WR,8.1,GB,327
90.0,8.06,14,68,116,DeAndre Hopkins,1975,WR,8.1,ARI,413
90.0,8.06,8,74,106,Brandon Aiyuk,4891,WR,6.1,SF,276
90.3,8.06,11,70,110,Matthew Stafford,1664,QB,7.8,LAR,168
91.4,8.07,11,72,108,Cordarrelle Patterson,1976,RB,7.2,ATL,197
92.0,8.08,7,71,120,James Cook III,5652,RB,7.8,BUF,223
92.9,8.09,11,71,111,Kenneth Walker III,5625,RB,8.3,SEA,172
93.9,8.10,7,72,109,Nyheim Hines,2948,RB,8.3,BUF,178
96.2,8.12,7,77,118,Christian Kirk,2870,WR,7.1,JAX,313
97.7,9.02,8,70,125,Trey Lance,5197,QB,10.3,SF,253
100.0,9.04,9,72,128,Pat Freiermuth,5193,TE,10.6,PIT,117
101.5,9.06,13,77,119,James Robinson,5162,RB,9.3,NYJ,167
101.9,9.06,6,79,117,Raheem Mostert,2737,RB,8.6,MIA,119
102.2,9.06,11,77,126,Drake London,5574,WR,9.4,ATL,252
102.5,9.06,9,80,150,Robert Woods,1981,WR,8.4,TEN,183
102.7,9.07,5,81,122,Kadarius Toney,5188,WR,8.1,KC,191
103.1,9.07,13,82,127,Derek Carr,2118,QB,8.6,LV,270
103.6,9.08,10,73,142,Cole Kmet,4902,TE,11.4,CHI,201
105.8,9.10,10,85,123,Kenny Gainwell,5196,RB,8.2,PHI,98
107.6,9.12,11,86,122,Tyler Allgeier,5655,RB,8.0,ATL,111
108.6,10.01,6,82,147,Kirk Cousins,1902,QB,10.1,MIN,256
110.2,10.02,7,90,128,J.D. McKissic,2534,RB,7.9,WAS,88
110.4,10.02,8,91,133,Chris Olave,5544,WR,7.3,NO,297
111.5,10.03,7,71,158,Dawson Knox,3409,TE,15.2,BUF,210
111.9,10.04,7,88,132,Darrell Henderson Jr.,3253,RB,8.8,JAX,311
112.5,10.04,11,92,137,Tyler Lockett,2304,WR,7.7,SEA,140
112.7,10.05,7,95,149,Brian Robinson Jr.,5605,RB,7.9,WAS,93
113.3,10.05,13,92,136,Michael Carter,5194,RB,7.9,NYJ,148
114.7,10.07,7,77,148,Antonio Gibson,5008,RB,14.3,WAS,447
117.2,10.09,7,71,148,Buffalo Defense,1303,DEF,17.4,BUF,336
118.0,10.10,5,94,140,Isiah Pacheco,5337,RB,9.0,KC,142
118.1,10.10,5,93,150,Skyy Moore,5587,WR,9.4,KC,153
118.2,10.10,14,92,149,Michael Gallup,2879,WR,9.7,DAL,178
120.2,10.12,6,75,178,T.J. Hockenson,3307,TE,17.2,MIN,371
120.9,11.01,10,91,150,Julio Jones,1796,WR,11.5,TB,166
121.2,11.01,6,93,150,Tua Tagovailoa,4890,QB,10.6,MIA,101
121.7,11.02,6,99,148,Jamaal Williams,2445,RB,10.1,DET,77
123.0,11.03,6,95,148,Tyler Boyd,2359,WR,10.8,CIN,92
123.3,11.03,10,98,149,Rachaad White,5626,RB,9.6,TB,89
123.6,11.04,9,90,150,George Pickens,5576,WR,12.7,PIT,296
128.9,11.09,6,99,148,Alexander Mattison,3458,RB,11.3,MIN,215
