adp,adp_formatted,bye,high,low,name,player_id,position,stdev,team,times_drafted
1.5,1.01,11,1,5,Todd Gurley,2280,RB,0.7,LAR,684
2.8,1.03,14,1,7,David Johnson,2297,RB,0.9,ARI,595
3.0,1.03,9,1,8,LeVeon Bell,1983,RB,1.5,PIT,729
4.7,1.05,9,1,9,Antonio Brown,1886,WR,1.3,PIT,696
5.3,1.05,14,1,12,Ezekiel Elliott,2343,RB,2.3,DAL,918
6.1,1.06,8,2,11,Alvin Kamara,2439,RB,1.4,NO,736
6.5,1.07,8,2,12,Saquon Barkley,2860,RB,1.7,NYG,684
8.8,1.09,8,3,15,DeAndre Hopkins,1975,WR,2.1,HOU,612
9.1,1.09,7,4,17,Melvin Gordon III,2282,RB,1.8,LAC,678
9.4,1.09,7,4,17,Leonard Fournette,2433,RB,2.0,JAX,728
11.2,1.11,8,6,17,Odell Beckham Jr.,2113,WR,1.9,NYG,760
11.4,1.11,5,6,19,Kareem Hunt,2450,RB,2.0,KC,806
12.7,2.01,5,6,20,Christian McCaffrey,2434,RB,2.3,CAR,807
14.2,2.02,11,8,21,Julio Jones,1796,WR,2.2,ATL,769
15.6,2.04,6,9,23,Dalvin Cook,2432,RB,2.3,MIN,710
16.0,2.04,8,10,22,Michael Thomas,2357,WR,2.0,NO,744
17.2,2.05,7,10,24,Keenan Allen,1992,WR,2.7,LAC,707
18.2,2.06,11,12,24,Davante Adams,2125,WR,2.2,GB,738
19.1,2.07,11,12,26,Devonta Freeman,2144,RB,2.5,ATL,683
20.0,2.08,10,13,28,Jordan Howard,2384,RB,2.6,CHI,709
21.0,2.09,11,12,31,Rob Gronkowski,1740,TE,3.2,NE,670
21.3,2.09,6,15,29,A.J. Green,1795,WR,2.1,CIN,790
23.3,2.11,6,15,33,Joe Mixon,2438,RB,3.2,CIN,631
23.7,2.12,5,16,32,Tyreek Hill,2390,WR,2.9,KC,635
25.5,3.02,10,17,35,Mike Evans,2111,WR,3.0,TB,595
26.0,3.02,6,19,36,Stefon Diggs,2316,WR,2.7,MIN,660
27.4,3.03,13,20,36,T.Y. Hilton,1935,WR,2.7,IND,610
28.5,3.04,5,19,40,Travis Kelce,1989,TE,3.6,KC,556
29.0,3.05,10,18,47,Royce Freeman,2875,RB,4.2,DEN,659
29.9,3.06,7,19,45,LeSean McCoy,1645,RB,4.2,BUF,598
31.4,3.07,11,13,48,Aaron Rodgers,1004,QB,7.0,GB,585
31.4,3.07,14,21,43,Amari Cooper,2277,WR,3.6,DAL,699
31.5,3.07,13,21,44,Alex Collins,2391,RB,3.8,BAL,734
32.8,3.09,6,21,47,Kenyan Drake,2360,RB,4.5,MIA,814
33.5,3.09,6,23,44,Adam Thielen,2431,WR,3.9,MIN,738
34.3,3.10,8,1,176,Jerick McKinnon,2140,RB,24.9,SF,182
34.9,3.11,14,23,47,Larry Fitzgerald,374,WR,4.5,ARI,775
37.6,4.02,11,26,48,Doug Baldwin,1927,WR,4.3,SEA,662
38.0,4.02,8,26,50,Lamar Miller,1908,RB,4.3,HOU,751
39.1,4.03,10,26,52,Zach Ertz,1978,TE,4.9,PHI,528
39.4,4.03,11,28,52,Jarvis Landry,2132,WR,4.3,CLE,718
41.2,4.05,9,29,64,JuJu Smith-Schuster,2442,WR,4.4,PIT,750
42.1,4.06,11,31,57,Chris Hogan,2076,WR,4.0,NE,686
42.1,4.06,9,28,58,Derrick Henry,2350,RB,5.2,TEN,686
44.1,4.08,11,31,57,Josh Gordon,1951,WR,4.9,NE,522
45.9,4.10,8,30,64,Mark Ingram II,1800,RB,5.8,NO,495
46.5,4.10,8,28,60,Deshaun Watson,2444,QB,7.1,HOU,378
46.6,4.11,10,31,69,Jay Ajayi,2284,RB,5.9,PHI,643
46.7,4.11,10,35,63,Golden Tate,1730,WR,4.3,PHI,624
47.0,4.11,8,35,58,Demaryius Thomas,1735,WR,4.5,HOU,517
48.9,5.01,8,35,63,Marquise Goodwin,1993,WR,5.0,SF,666
49.3,5.01,11,32,67,Jimmy Graham,1747,TE,6.5,GB,454
50.3,5.02,11,24,78,Tom Brady,119,QB,10.0,NE,383
52.5,5.04,11,40,70,Brandin Cooks,2114,WR,4.7,LAR,623
52.6,5.05,13,37,73,Marshawn Lynch,740,RB,5.8,LV,568
53.9,5.06,7,38,70,Carlos Hyde,2129,RB,5.8,JAX,715
55.2,5.07,10,41,73,Allen Robinson II,2130,WR,5.3,CHI,694
55.5,5.08,9,39,76,Dion Lewis,1860,RB,6.2,TEN,635
57.5,5.09,5,41,75,Greg Olsen,890,TE,6.3,CAR,432
57.6,5.10,10,44,77,Emmanuel Sanders,1762,WR,5.2,DEN,713
59.7,5.12,11,42,82,Jamaal Williams,2445,RB,6.7,GB,810
61.0,6.01,11,41,90,Russell Wilson,1904,QB,7.6,SEA,383
61.1,6.01,9,44,82,Corey Davis,2435,WR,6.3,TEN,538
62.3,6.02,6,45,79,Marvin Jones Jr.,2061,WR,6.3,DET,562
62.5,6.02,6,45,80,Kerryon Johnson,2868,RB,6.6,DET,538
64.0,6.04,11,46,82,Rex Burkhead,2029,RB,6.6,NE,584
64.6,6.05,10,46,83,Trey Burton,2197,TE,7.0,CHI,440
65.5,6.05,11,49,86,Julian Edelman,1708,WR,6.3,NE,701
66.7,6.07,11,47,86,Chris Carson,2518,RB,7.3,SEA,590
66.9,6.07,8,48,89,Drew Brees,127,QB,7.1,NO,393
69.0,6.09,10,50,96,Peyton Barber,2703,RB,7.3,TB,692
70.4,6.10,13,52,92,Michael Crabtree,1646,WR,6.7,BAL,592
70.5,6.10,8,50,96,Evan Engram,2451,TE,7.7,NYG,415
71.0,6.11,5,48,91,Cam Newton,1794,QB,8.7,CAR,380
73.0,7.01,8,55,96,Will Fuller,2345,WR,6.8,HOU,517
74.1,7.02,7,53,99,Chris Thompson,2793,RB,8.0,WAS,566
76.1,7.04,6,55,99,Kyle Rudolph,1799,TE,7.8,MIN,435
76.5,7.04,11,57,95,Tevin Coleman,2289,RB,7.5,ATL,582
77.6,7.06,9,59,119,Delanie Walker,1201,TE,6.9,TEN,451
77.8,7.06,11,56,98,Cooper Kupp,2449,WR,8.1,LAR,659
79.5,7.07,7,60,100,Jamison Crowder,2331,WR,7.5,WAS,543
81.1,7.09,7,59,101,Adrian Peterson,925,RB,8.5,WAS,633
81.7,7.10,6,57,108,Kirk Cousins,1902,QB,9.4,MIN,312
82.8,7.11,10,61,103,Alshon Jeffery,1918,WR,8.2,PHI,528
83.5,7.11,11,63,100,Sony Michel,2865,RB,7.8,NE,491
84.5,8.01,10,58,111,Carson Wentz,2352,QB,9.8,PHI,193
84.8,8.01,13,63,105,Robbie Chosen,2523,WR,8.2,NYJ,597
85.2,8.01,10,61,103,Tarik Cohen,2493,RB,9.3,CHI,510
87.1,8.03,11,65,102,Rashaad Penny,2869,RB,8.2,SEA,411
87.4,8.03,5,65,106,Devin Funchess,2303,WR,8.5,CAR,560
87.6,8.04,13,66,115,Andrew Luck,1897,QB,8.8,IND,318
88.3,8.04,7,65,142,Jordan Reed,1995,TE,10.6,WAS,376
89.6,8.06,13,69,105,Isaiah Crowell,2219,RB,7.9,NYJ,363
90.9,8.07,11,67,109,Randall Cobb,1806,WR,8.9,GB,403
92.8,8.09,10,69,112,Nelson Agholor,2288,WR,8.9,PHI,568
93.5,8.10,11,72,113,Duke Johnson,2285,RB,8.2,CLE,271
93.8,8.10,5,69,115,Sammy Watkins,2109,WR,9.2,KC,412
94.3,8.10,13,74,113,Marlon Mack,2469,RB,7.5,IND,361
94.5,8.10,7,69,110,Jacksonville Defense,1314,DEF,9.6,JAX,416
96.7,9.01,8,68,128,Jimmy Garoppolo,2131,QB,10.9,SF,314
97.7,9.02,11,76,114,Aaron Jones Sr.,2507,RB,8.1,GB,359
98.2,9.02,13,72,118,Jordy Nelson,1350,WR,9.9,LV,475
98.4,9.02,11,61,136,David Njoku,2448,TE,14.0,CLE,468
99.5,9.04,11,78,118,James White,2154,RB,8.2,NE,334
100.3,9.04,6,71,125,Matthew Stafford,1664,QB,11.2,DET,494
102.7,9.07,7,81,127,Mike Williams,2436,WR,8.0,LAC,469
103.5,9.08,11,79,121,LA Rams Defense,1328,DEF,9.2,LAR,330
103.7,9.08,11,77,122,Robert Woods,1981,WR,10.2,LAR,406
106.1,9.10,8,80,124,Sterling Shepard,2349,WR,10.0,NYG,394
107.3,9.11,7,83,127,Philip Rivers,995,QB,9.3,LAC,574
108.1,9.12,11,77,131,Matt Ryan,1342,QB,11.6,ATL,444
108.1,9.12,6,86,130,Kenny Stills,2011,WR,8.4,MIA,448
108.2,9.12,8,82,128,Pierre Garcon,1707,WR,9.8,SF,326
109.3,10.01,6,82,126,Minnesota Defense,1317,DEF,10.1,MIN,234
111.4,10.03,10,82,138,Ronald Jones,2867,RB,11.0,TB,234
113.1,10.05,5,90,133,Kelvin Benjamin,2116,WR,8.9,KC,309
113.9,10.06,7,91,133,Keelan Cole Sr.,2760,WR,8.5,JAX,458
114.3,10.06,13,86,143,Bilal Powell,1867,RB,10.9,NYJ,325
114.5,10.07,9,85,133,Ben Roethlisberger,1006,QB,11.3,PIT,477
116.1,10.08,13,74,149,Jack Doyle,2430,TE,15.9,IND,631
118.1,10.10,5,89,137,Patrick Mahomes,2462,QB,11.1,KC,460
118.4,10.10,10,101,145,Philadelphia Defense,1323,DEF,6.3,PHI,187
119.3,10.11,11,95,137,Calvin Ridley,2866,WR,9.3,ATL,304
119.5,10.11,7,101,137,LA Chargers Defense,1325,DEF,7.0,LAC,201
119.8,10.12,8,58,189,Alfred Morris,1961,RB,23.5,SF,712
123.1,11.03,6,94,148,Latavius Murray,2023,RB,11.0,MIN,313
123.3,11.03,11,90,150,CJ Anderson,2071,RB,12.4,LAR,228
123.4,11.03,13,99,141,John Brown,2138,WR,9.1,BAL,324
123.9,11.04,11,93,146,Jared Goff,2351,QB,11.8,LAR,315
125.6,11.06,8,62,180,Matt Breida,2525,RB,24.4,SF,829
126.4,11.06,11,94,150,Nick Chubb,2863,RB,12.2,CLE,326
127.6,11.08,14,104,143,Allen Hurns,2251,WR,8.9,DAL,234
128.3,11.08,13,100,163,Baltimore Defense,1332,DEF,10.6,BAL,161
128.4,11.08,10,98,165,Corey Clement,2655,RB,11.5,PHI,396
129.2,11.09,14,108,144,Michael Gallup,2879,WR,8.1,DAL,277
129.2,11.09,13,96,157,Ty Montgomery II,2317,RB,12.6,BAL,281
129.7,11.10,8,102,155,Houston Defense,1312,DEF,10.4,HOU,171
129.8,11.10,5,103,155,DJ Moore,2876,WR,10.2,CAR,197
131.1,11.11,11,109,151,Tyler Lockett,2304,WR,8.2,SEA,328
131.9,11.12,6,103,161,Kenny Golladay,2488,WR,11.0,DET,226
133.0,12.01,8,88,170,George Kittle,2499,TE,17.0,SF,733
134.5,12.03,7,107,169,Alex Smith,1076,QB,10.3,WAS,314
136.0,12.04,9,106,171,Marcus Mariota,2276,QB,11.2,TEN,191
138.1,12.06,10,103,178,Denver Defense,1309,DEF,13.2,DEN,165
138.4,12.06,10,110,168,Chris Godwin Jr.,2465,WR,10.6,TB,255
140.9,12.09,6,105,175,Giovani Bernard,1979,RB,13.5,CIN,374
141.1,12.09,13,110,178,Derek Carr,2118,QB,11.8,LV,219
141.5,12.10,10,113,174,Anthony Miller,2878,WR,10.7,CHI,180
142.2,12.10,11,113,170,Geronimo Allison,2691,WR,11.1,GB,263
143.1,12.11,13,109,178,Jordan Wilkins,2951,RB,13.0,IND,396
143.2,12.11,11,91,159,Greg Zuerlein,1960,PK,19.8,LAR,686
145.0,13.01,8,111,170,Cameron Meredith,2428,WR,12.7,NO,169
147.0,13.03,6,93,180,Tyler Eifert,1974,TE,20.8,CIN,591
147.4,13.03,8,111,180,New Orleans Defense,1319,DEF,13.8,NO,178
148.5,13.05,11,108,162,Stephen Gostkowski,438,PK,15.3,NE,321
151.3,13.07,10,96,180,O.J. Howard,2446,TE,21.1,TB,280
151.7,13.08,10,121,179,Jameis Winston,2275,QB,12.2,TB,149
152.0,13.08,6,119,177,John Ross,2437,WR,12.6,CIN,296
152.7,13.09,7,119,178,Dede Westbrook,2466,WR,12.9,JAX,238
152.9,13.09,11,100,186,Austin Hooper,2361,TE,21.3,ATL,67
153.9,13.10,6,109,180,LeGarrette Blount,1781,RB,16.9,DET,312
153.9,13.10,13,133,163,Justin Tucker,1962,PK,7.9,BAL,233
154.1,13.10,14,97,180,Ricky Seals-Jones,2667,TE,21.8,ARI,87
154.8,13.11,6,120,178,DeVante Parker,2279,WR,13.3,MIA,191
155.6,13.12,10,116,187,Devontae Booker,2378,RB,14.9,DEN,238
156.0,13.12,13,104,189,Eric Ebron,2112,TE,19.9,IND,113
156.8,14.01,11,78,203,Tyrod Taylor,1880,QB,30.1,CLE,85
157.1,14.01,9,113,180,James Conner,2470,RB,16.6,PIT,353
157.2,14.01,10,118,184,Chicago Defense,1305,DEF,14.7,CHI,420
157.2,14.01,8,120,179,Eli Manning,749,QB,13.9,NYG,230
157.6,14.02,6,123,180,Danny Amendola,1720,WR,13.2,MIA,205
158.6,14.03,14,121,180,Dak Prescott,2377,QB,14.4,DAL,202
158.6,14.03,13,112,188,Doug Martin,1907,RB,17.7,LV,80
159.6,14.04,6,124,182,Theo Riddick,2033,RB,13.6,DET,181
