log_adp,m
0.1823215567939546,19.40125646412411
1.589235205116581,19.40125646412411
1.6094379124341003,18.801468895250412
1.824549292051046,18.801468895250412
1.840549633397487,18.25
1.8718021769015913,18.25
1.9459101490553132,16.783941579810566
2.5416019934645457,16.783941579810566
2.5494451709255714,16.113404977375566
2.617395832834079,16.113404977375566
2.624668592163159,15.798529411764708
2.667228206581955,15.764732142857142
2.681021528714291,15.764732142857142
2.6946271807700692,15.48991409805029
2.9652730660692823,15.48991409805029
2.9856819377004897,14.434106455309395
3.3141860046725258,14.434106455309395
3.3214324131932926,13.416324058711414
3.6375861597263857,13.416324058711414
3.655839600035736,13.006055194805196
3.696351468952637,13.006055194805196
3.713572066704308,12.035856922066072
3.8732821771117156,12.035856922066072
3.8753590210565547,11.360280038588861
4.135166556742356,11.360280038588861
4.139955073474153,11.261538461538462
4.144720769547168,10.925918745824406
4.37197629882038,10.925918745824406
4.377014092850337,9.51747964997965
4.418840607796598,9.51747964997965
4.422448549172797,9.4762971493062
4.641502115235482,9.4762971493062
4.646312129319266,8.801446416016189
4.785823685681349,8.801446416016189
4.786658062033468,8.514685960281549
4.839451481712757,8.514685960281549
4.841032509710076,8.371889717425432
4.860587297852597,8.371889717425432
4.861361591348501,7.491790151433535
5.080161356744866,7.491790151433535
5.083885755835849,7.481169871794871
5.159055299214529,7.481169871794871
