spec,n_obs,n_players,n_player_seasons,n_team_seasons,estimator,s2P,s2S,s2T,s2G,n_teammate_pairs,icc_P,icc_S,icc_T,icc_G,rho_max,converged,resid_skew
headline_2021_2025_excl,1426,28,97,92,MoM_covmatch,6.66579,7.69698,-1.67791,63.35553,1502.0,0.08766,0.10122,-0.02207,0.83318,0.40616,,
headline_2021_2025_excl,1426,28,97,92,REML_MixedLM,7.06301,5.7842,0.0,63.50024,,0.09251,0.07576,0.0,0.83173,0.42593,True,0.79073
sens_a_2014_2025_seasonFE,1702,28,118,112,MoM_covmatch,8.31037,6.08177,0.02703,65.66705,1532.0,0.10377,0.07594,0.00034,0.81995,0.45457,,
sens_a_2014_2025_seasonFE,1702,28,118,112,REML_MixedLM,9.37023,6.6895,0.0,65.57812,,0.11478,0.08194,0.0,0.80328,0.47046,True,0.77412
sens_b_log1p_2021_2025,1426,28,97,92,MoM_covmatch,0.02615,0.06339,-0.00899,0.35943,1502.0,0.05944,0.14408,-0.02043,0.81692,0.25717,,
sens_b_log1p_2021_2025,1426,28,97,92,REML_MixedLM,0.03638,0.05393,0.0,0.35671,,0.08138,0.12065,0.0,0.79797,0.32686,True,-1.48714
sens_c_no_exclusions,1438,28,98,92,MoM_covmatch,6.48206,9.34196,-2.17975,63.51288,1534.0,0.08401,0.12108,-0.02825,0.82316,0.37295,,
sens_c_no_exclusions,1438,28,98,92,REML_MixedLM,6.9819,7.19345,0.0,63.46727,,0.08992,0.09265,0.0,0.81743,0.38986,True,0.78245
