pos,block,item,n,mean_gain,dm_t,dm_p,mde80,mean_delta_mu,mean_abs_delta_mu,rmse_incumbent,rmse_arm,n_treated
WR,D-A candidate 6 decomposition,all rows,638,-0.21831336588353834,-1.624589446173763,0.13869640247176224,0.42270249633841256,0.1682636431864698,0.42688416435930426,,,
WR,D-A candidate 6 decomposition,rows candidate 6 changes,250,-0.5541544499514501,-1.642629885645154,0.13487466801931194,1.0611803994723614,0.3822949973196593,0.9698808214243394,,,
WR,D-A candidate 6 decomposition,  changed & last season partial (<12g),68,-0.8663331293253954,-0.837350034280103,0.4240727328940126,3.2544379442028677,0.45232498956946127,1.918915266239674,,,
WR,D-A candidate 6 decomposition,  changed & last season full (>=12g),182,-0.26854684116436167,-2.8484397776247237,0.01913783003113536,0.2965590085240152,0.3561299452702828,0.6152965233614673,,,
WR,D-A candidate 6 decomposition,rows candidate 6 leaves alone,388,0.0,,,0.0,0.0,0.0,,,
WR,D-A §P interaction re-estimated,coef on (theta*-m) | G_last >= 12,458,1.0979173603239032,,,,,,,,
WR,D-A §P interaction re-estimated,coef on (theta*-m) | G_last < 12,110,-0.02573575727985568,,,,,,,,
WR,D-B recentred (level bias removed),a2_median,638,-0.6966090456304618,-3.09734841797053,0.012777012418780799,0.7074522998996209,-1.2114337006074636,,3.401054144912574,3.5025176780808143,
WR,D-B recentred (level bias removed),a3_trim20,638,-0.2748299537725961,-4.422337154052263,0.0016655367427515862,0.19548360070676493,-0.8659838878794324,,3.401054144912574,3.4413880792420146,
WR,D-B recentred (level bias removed),a4_huber,638,-0.13662742584269805,-5.1130037661797205,0.0006339295080801009,0.08405429078371758,-0.5249785056806415,,3.401054144912574,3.4212996803000304,
WR,D-B recentred (level bias removed),a5_p60,638,-0.688445084785369,-3.697666139985938,0.004938379509089044,0.5856521229545283,0.8965592571390153,,3.401054144912574,3.5027294374210416,
WR,D-B recentred (level bias removed),a6_stable,638,-0.19161550437887073,-1.6353069337737147,0.13641435048995498,0.36857806289461337,0.1682636431864698,,3.401054144912574,3.428648302547736,
WR,D-C shrinkage correction (NOT ADOPTABLE),D1 market-anchor rows whose last season < 12g,638,0.26035494388280367,1.7366276447125173,0.11646668899058903,0.47158201471496713,,,3.401054144912574,3.3620775633166358,110.0
WR,D-C shrinkage correction (NOT ADOPTABLE),D2 shrink in proportion to games played,638,0.19709800676236966,1.839265497122817,0.09902715639088401,0.33708228021555764,,,3.401054144912574,3.3718062676119422,110.0
RB,D-A candidate 6 decomposition,all rows,573,-0.5127853513792238,-2.294723345305963,0.04740691556894321,0.7029159386586983,0.46453232150530893,0.7447094355164171,,,
RB,D-A candidate 6 decomposition,rows candidate 6 changes,238,-1.1373573628738547,-2.3735457715644466,0.04166613396083958,1.5072921837931819,0.9544382572104878,1.5300962771744873,,,
RB,D-A candidate 6 decomposition,  changed & last season partial (<12g),72,-2.7668681713132135,-2.4391826665472167,0.037414763540941774,3.5681430478957705,1.3273117480823737,2.83598295145911,,,
RB,D-A candidate 6 decomposition,  changed & last season full (>=12g),166,-0.3614161147107694,-1.5942304866259553,0.14534866974606636,0.7131067012511836,0.7927099961094286,0.9636875991715184,,,
RB,D-A candidate 6 decomposition,rows candidate 6 leaves alone,335,0.0,,,0.0,0.0,0.0,,,
RB,D-A §P interaction re-estimated,coef on (theta*-m) | G_last >= 12,359,0.5141072181880108,,,,,,,,
RB,D-A §P interaction re-estimated,coef on (theta*-m) | G_last < 12,130,-0.06377660637374245,,,,,,,,
RB,D-B recentred (level bias removed),a2_median,573,-0.22736717893185618,-1.3120530170231408,0.2219787031320227,0.5450978935862804,-1.4349287342835224,,3.790927307456422,3.819434481846018,
RB,D-B recentred (level bias removed),a3_trim20,573,-0.07939139602736504,-0.9273087894841456,0.3779635210778226,0.2693067117455118,-0.9815704305840124,,3.790927307456422,3.800939382699806,
RB,D-B recentred (level bias removed),a4_huber,573,-0.03033000826862035,-0.6372109266282764,0.5398563686281006,0.14972262375960788,-0.6091153044487718,,3.790927307456422,3.7947571476463793,
RB,D-B recentred (level bias removed),a5_p60,573,-0.32293128101163704,-2.230991547080617,0.05261154601358999,0.4553132672502628,0.4959097115242486,,3.790927307456422,3.8314449386202996,
RB,D-B recentred (level bias removed),a6_stable,573,-0.39801733946589524,-1.91383365336206,0.08792042088881698,0.6541779778610615,0.464532321505309,,3.790927307456422,3.8437362129881785,
RB,D-C shrinkage correction (NOT ADOPTABLE),D1 market-anchor rows whose last season < 12g,573,0.3698195320600912,1.887824686605503,0.09165414331877218,0.6162065331997407,,,3.790927307456422,3.7436870120824897,130.0
RB,D-C shrinkage correction (NOT ADOPTABLE),D2 shrink in proportion to games played,573,0.23498696831751958,2.4451408558132894,0.037050874979039757,0.3022999049674317,,,3.790927307456422,3.760603244886298,130.0
