pick,round,position,n,raw_best,myopic_marginal,rollout_gain,rollout_se
5,1,QB,40,6.915265489597877,6.915265489597877,-2.118353209868511,0.46148331666048054
5,1,RB,40,12.174425542669505,12.174425542669505,-0.18260228986862917,0.09969359970280085
5,1,TE,40,4.126355574149943,4.126355574149943,-1.7446267432651947,0.47376729109963145
5,1,WR,40,11.931003864131965,11.931003864131965,1.8248736491919793,0.4548487108982314
16,2,QB,40,6.915265489597877,6.915265489597877,-1.2754045068979845,0.4599182530016918
16,2,RB,40,9.856652396082103,9.856652396082103,0.0,0.0
16,2,TE,40,4.126355574149943,4.126355574149943,-1.1545047962647927,0.531765839299473
16,2,WR,40,9.496972576259228,9.496972576259228,-1.6443317877639578,0.48348654995962603
25,3,QB,40,6.680195988859536,6.680195988859536,1.564628522630877,0.4497011826592137
25,3,RB,40,9.75368567084096,9.75368567084096,0.0,0.0
25,3,TE,40,4.126355574149943,4.126355574149943,1.3358834076314754,0.471503738479316
25,3,WR,40,9.453989014052683,9.453989014052683,0.10665164294603624,0.36720816014577273
36,4,QB,40,5.739917985906172,5.739917985906172,0.5982666665578595,0.5364985386087625
36,4,RB,40,7.845322146666765,7.845322146666765,-0.2720161715106714,0.19946862667572018
36,4,TE,40,3.9551560998344306,3.9551560998344306,0.6096221144322799,0.5154414698642198
36,4,WR,40,7.71653737004308,7.71653737004308,-0.021320116122073608,0.39749064567125864
45,5,QB,40,4.640905232583637,4.640905232583637,-1.0245984845618616,0.3526906888397165
45,5,RB,40,6.0748873467344335,6.0748873467344335,-1.8572839593812602,0.334093826394134
45,5,TE,40,2.3002278481178076,2.3002278481178076,-0.2850845892996444,0.46079930379579553
45,5,WR,40,6.828778286963923,6.828778286963923,-0.24289168088362717,0.21952688892794697
56,6,QB,40,4.1712892275377955,4.076212465482433,-0.18390469132693746,0.28141021911806213
56,6,RB,40,5.382880636092173,5.382880636092173,-0.8640021075024202,0.3634723636956994
56,6,TE,40,1.8436959166097733,1.8436959166097733,0.295305296434203,0.41690707903757585
56,6,WR,40,5.515186339896326,5.515186339896326,0.31810810586671534,0.2158420875874881
