tier,n,tau2_iso,tau2_ols,mean_resid_iso
rookie,5,19.217753593852652,21.51144087000457,-1.8672094826686227
soph,41,9.913134309162583,10.03327324583079,0.1850521543570294
vet,275,11.241773216668511,11.811866578697893,0.0063596693989270295
