spec,b_t1,b_t2,b_heavy,marginal_200_350,marginal_lo,marginal_hi,marginal_p,b_prev_r
as pre-registered: Δr ~ t + t² + heavy,-0.45815417170371114,0.03212902528634949,-0.09116754880080925,-0.5133343477439927,-0.6181403958761797,-0.4156348527047289,0.0,
+ control for prior r,-0.0167767764925468,0.006897758561659506,-0.029868510457060033,0.0018728329378106916,-0.10477390294098361,0.1170088596185908,0.98,-0.8199372249912749
level: r_s ~ t + t² + heavy,0.08015215438833928,0.001356832055388351,-0.016406900698265052,0.11501519534119775,0.019474949525860367,0.21903749265707656,0.03,
level + prior r,-0.016776776492546316,0.006897758561659392,-0.029868510457060054,0.0018728329378104557,-0.09563363966605354,0.12416747986042387,0.965,0.18006277500872445
placebo: next-season touches,0.07307239288071982,,,,0.020372320879559865,0.12529359972213822,,
