frame,window,pos,bin,hitdef,tier,outcome_def,n,k,rate,wilson_lo,wilson_hi,n_per_season
12team,season 2017,RB,R5-6,top36_T,top36,total,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2017,RB,R5-6,top36_P,top36,ppg_ge4,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2017,RB,R5-6,value_T,value,total,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2017,RB,R5-6,value_P,value,ppg_ge4,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2018,RB,R5-6,top12_T,top12,total,8,0,0.0,0.0,0.3244156195108769,8.0
12team,season 2018,RB,R5-6,top12_P,top12,ppg_ge4,8,0,0.0,0.0,0.3244156195108769,8.0
12team,season 2018,RB,R5-6,top24_T,top24,total,8,1,0.125,0.02241690886329617,0.4708948057698615,8.0
12team,season 2018,RB,R5-6,top24_P,top24,ppg_ge4,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2018,RB,R5-6,top36_T,top36,total,8,4,0.5,0.21521252682444186,0.7847874731755582,8.0
12team,season 2018,RB,R5-6,top36_P,top36,ppg_ge4,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2018,RB,R5-6,value_T,value,total,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2018,RB,R5-6,value_P,value,ppg_ge4,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2019,RB,R5-6,top12_T,top12,total,8,1,0.125,0.02241690886329617,0.4708948057698615,8.0
12team,season 2019,RB,R5-6,top12_P,top12,ppg_ge4,8,1,0.125,0.02241690886329617,0.4708948057698615,8.0
12team,season 2019,RB,R5-6,top24_T,top24,total,8,4,0.5,0.21521252682444186,0.7847874731755582,8.0
12team,season 2019,RB,R5-6,top24_P,top24,ppg_ge4,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2019,RB,R5-6,top36_T,top36,total,8,6,0.75,0.40926987910258916,0.9285223111419724,8.0
12team,season 2019,RB,R5-6,top36_P,top36,ppg_ge4,8,5,0.625,0.30573785458380187,0.863158240538479,8.0
12team,season 2019,RB,R5-6,value_T,value,total,8,5,0.625,0.30573785458380187,0.863158240538479,8.0
12team,season 2019,RB,R5-6,value_P,value,ppg_ge4,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2020,RB,R5-6,top12_T,top12,total,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2020,RB,R5-6,top12_P,top12,ppg_ge4,7,1,0.14285714285714285,0.02567895594897479,0.51313450331903,7.0
12team,season 2020,RB,R5-6,top24_T,top24,total,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844,7.0
12team,season 2020,RB,R5-6,top24_P,top24,ppg_ge4,7,4,0.5714285714285714,0.2504542304090258,0.8417830777373732,7.0
12team,season 2020,RB,R5-6,top36_T,top36,total,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844,7.0
12team,season 2020,RB,R5-6,top36_P,top36,ppg_ge4,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253,7.0
12team,season 2020,RB,R5-6,value_T,value,total,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,7.0
12team,season 2020,RB,R5-6,value_P,value,ppg_ge4,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2021,RB,R5-6,top12_T,top12,total,7,0,0.0,0.0,0.35433884297520657,7.0
12team,season 2021,RB,R5-6,top12_P,top12,ppg_ge4,5,0,0.0,0.0,0.43449149475208104,5.0
12team,season 2021,RB,R5-6,top24_T,top24,total,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2021,RB,R5-6,top24_P,top24,ppg_ge4,5,2,0.4,0.1176182311592533,0.769280067791163,5.0
12team,season 2021,RB,R5-6,top36_T,top36,total,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,7.0
12team,season 2021,RB,R5-6,top36_P,top36,ppg_ge4,5,4,0.8,0.3755282641185388,0.9637768390302125,5.0
12team,season 2021,RB,R5-6,value_T,value,total,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2021,RB,R5-6,value_P,value,ppg_ge4,5,1,0.2,0.03622316096978745,0.6244717358814613,5.0
12team,season 2022,RB,R5-6,top12_T,top12,total,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2022,RB,R5-6,top12_P,top12,ppg_ge4,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,9.0
12team,season 2022,RB,R5-6,top24_T,top24,total,9,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,9.0
12team,season 2022,RB,R5-6,top24_P,top24,ppg_ge4,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2022,RB,R5-6,top36_T,top36,total,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,9.0
12team,season 2022,RB,R5-6,top36_P,top36,ppg_ge4,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,9.0
12team,season 2022,RB,R5-6,value_T,value,total,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,9.0
12team,season 2022,RB,R5-6,value_P,value,ppg_ge4,9,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,9.0
12team,season 2023,RB,R5-6,top12_T,top12,total,8,2,0.25,0.07147768885802763,0.5907301208974108,8.0
12team,season 2023,RB,R5-6,top12_P,top12,ppg_ge4,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,7.0
12team,season 2023,RB,R5-6,top24_T,top24,total,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
12team,season 2023,RB,R5-6,top24_P,top24,ppg_ge4,7,3,0.42857142857142855,0.15821692226262685,0.7495457695909742,7.0
12team,season 2023,RB,R5-6,top36_T,top36,total,8,3,0.375,0.13684175946152105,0.6942621454161981,8.0
