log_adp,m
2.8273136219290276,21.825714285714284
2.928523523860541,21.825714285714284
2.9601050959108397,21.807816088935574
3.2809112157876537,21.807816088935574
3.292126286607793,20.98941176470588
3.299533727885655,20.467268032212885
3.720862499966987,20.467268032212885
3.730501128804756,20.081856209150327
3.8522730010223722,20.081856209150327
3.8877303128591016,19.516798543728473
4.238444906195857,19.516798543728473
4.239886867512759,17.634423450195044
4.779963476361254,17.634423450195044
4.793308128103486,17.580871794871797
4.797442073635214,17.580871794871797
4.808111029984782,15.920930567961449
4.888090941338162,15.920930567961449
4.8895969657192,15.693481275118744
4.991792206294776,15.693481275118744
4.993828175779875,15.56658179584737
5.094976442530006,15.56658179584737
5.095588999976419,15.311827668246783
5.178970608915471,15.311827668246783
