pos,arm,n,rmse_mu,rmse_arm,d_rmse,label,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,spearman,spearman_mu,gain_vs_mucal,p_vs_mucal,rmse_theta_mu,rmse_theta_arm,eq7_gain,eq7_p,eq7_mde,block
WR,ridge_P0,568,3.776007070631069,3.539213633655354,-0.23679343697571476,ablation: all,1.756691754060371,2.406530964864637,0.039472920361575195,2.2961604030305396,7,10,0.7650562006651791,0.5622676919640119,0.542041250309014,0.4700795188729446,0.2243131373126601,3.403603515941307,3.385537856435894,0.11980170697267904,0.6139031903785104,0.7211582611900783,all
WR,ridge_P1,568,3.776007070631069,3.5096957958369277,-0.2663112747941412,ablation: all,1.9629380823320097,2.8774187179925934,0.01825463947570866,2.145861317587401,9,10,0.914755332156762,0.5850889191786794,0.542041250309014,0.6763258471445829,0.1157675524198272,3.403603515941307,3.3799137626749673,0.15880599829465464,0.48123232136196836,0.6799258062539864,all
RB,ridge_P0,489,4.490909578515818,4.149394439284451,-0.3415151392313671,ablation: all,2.9203707428389016,3.964322411776925,0.0032827237703300155,2.317219293957879,9,10,1.2602910524928446,0.4976234902499129,0.49473399193971657,0.15905948063868863,0.8254948889055406,3.7842142879145224,3.71938033148286,0.48029850910258587,0.02323413651867701,0.5534607927911691,all
RB,ridge_P1,489,4.490909578515818,4.073255438914109,-0.4176541396017086,ablation: all,3.5325511449807507,5.614383143825192,0.00032817892832475327,1.9791765020526233,10,10,1.7848590771551236,0.5176537090731745,0.49473399193971657,0.7712398827805373,0.2759908578120713,3.7842142879145224,3.7049800428237774,0.5840599463446333,0.009144047131748882,0.5557391058243918,all
WR,ridge_P0,568,3.776007070631069,4.205318253404239,0.42931118277317015,ablation: -opportunity,-3.330968861085085,-2.330545404928878,0.044707180055608337,4.495842816262224,3,10,-0.7408997594480855,0.2397519423003358,0.542041250309014,-4.617581096272511,0.0007367626769564058,3.403603515941307,3.5044473451381157,-0.6848179555070455,0.19581201266716314,1.5416409493607954,-opportunity
WR,ridge_P1,568,3.776007070631069,3.584844125812202,-0.19116294481886698,ablation: -opportunity,1.4589146866421532,2.087991462800171,0.06639927551608446,2.197856291690861,9,10,0.6637898447490289,0.5674701968184165,0.542041250309014,0.17230245145472614,0.6397899608487664,3.403603515941307,3.398912079883196,0.0381859392290414,0.8756722662387053,0.7462016938903263,-opportunity
RB,ridge_P0,489,4.490909578515818,4.542374380009227,0.051464801493409595,ablation: -opportunity,-0.47260155352908206,-0.45237856938803095,0.6617029611430181,3.2861791573897765,4,10,-0.14381490810271924,0.35211365049743615,0.49473399193971657,-3.2339128157292953,0.0021674731632788232,3.7842142879145224,3.794503786902152,-0.07956454628390311,0.7775670082044088,0.8597363964074125,-opportunity
RB,ridge_P1,489,4.490909578515818,4.060341533709204,-0.4305680448066136,ablation: -opportunity,3.644573960378562,5.99760080244735,0.00020309609849641593,1.911469297665097,10,10,1.9066871567492563,0.5264817938804439,0.49473399193971657,0.8832626981783482,0.14905259849446598,3.7842142879145224,3.7111328020068433,0.5407388640593191,0.0034854944546087647,0.4333800404397805,-opportunity
WR,ridge_P0,568,3.776007070631069,3.5420148101744133,-0.23399226045665555,ablation: -efficiency,1.731663454655126,2.479696933889524,0.03500884417350782,2.1966608066799123,7,10,0.7883162704907569,0.5657677773443168,0.542041250309014,0.44505121946769927,0.23618279439226258,3.403603515941307,3.3862320422931704,0.11356651270340774,0.635537951786256,0.728345270674256,-efficiency
WR,ridge_P1,568,3.776007070631069,3.509119875126145,-0.2668871955049239,ablation: -efficiency,1.9606307601276682,3.1015939855724204,0.012689775423496159,1.988423928901708,9,10,0.9860225134237893,0.5851539312694588,0.542041250309014,0.6740185249402414,0.09995353864966637,3.403603515941307,3.382185702336311,0.14152254578162662,0.5143655614518772,0.6558582324291958,-efficiency
RB,ridge_P0,489,4.490909578515818,4.160536473105193,-0.3303731054106249,ablation: -efficiency,2.82903283833159,3.8735509724597716,0.0037682922765471883,2.297348218988203,9,10,1.2314340572965257,0.49181699321727457,0.49473399193971657,0.06772157613137715,0.9305451452971669,3.7842142879145224,3.7227983150846247,0.45511553392173365,0.030378699544594504,0.5578744744078802,-efficiency
RB,ridge_P1,489,4.490909578515818,4.057945301876958,-0.4329642766388595,ablation: -efficiency,3.655847002282274,6.026883875567301,0.00019594105454533105,1.9080656060699333,10,10,1.915996489141832,0.5080013786106138,0.49473399193971657,0.894535740082061,0.20654878432799995,3.7842142879145224,3.700261530248919,0.6188104941224428,0.006600075904632036,0.5542782229838518,-efficiency
WR,ridge_P0,568,3.776007070631069,3.544517012539581,-0.23149005809148804,ablation: -environment,1.7185162741241318,2.1491968926942198,0.06011514984041078,2.5152175805113566,7,10,0.6832475597497806,0.5608135409753564,0.542041250309014,0.4319040389367048,0.34432608384254726,3.403603515941307,3.3788831715486203,0.16401071210309198,0.5432271682980585,0.816558270216499,-environment
WR,ridge_P1,568,3.776007070631069,3.506850594238557,-0.26915647639251183,ablation: -environment,1.9834155797682347,2.779268671516343,0.02142636719419785,2.244818863018689,8,10,0.8835526164017814,0.5821686966658763,0.542041250309014,0.6968033445808076,0.12556980845231483,3.403603515941307,3.376167119279225,0.18365796201699608,0.44946882837123214,0.730655665823857,-environment
