tag,game_noise,strategy,E_lineup_ppg,sd_outcome,se_level,delta_vs_S0,se_paired,t,p_beats_S0,mix,nsim,delta_rb
dRB=0.0,False,S2_board_dRB,60.09414745771232,4.177475712602486,0.14769607023116613,0.0,0.0,0.0,0.0,"QB1.0,RB2.0,TE1.0,WR10.0",800,0.0
dRB=0.5,False,S2_board_dRB,60.54827026425492,4.289280417705553,0.15164896348851317,0.4541228065426101,0.12264249956815958,3.7028176051665325,0.37125,"QB1.0,RB2.0,TE1.0,WR10.0",800,0.5
dRB=1.0,False,S2_board_dRB,61.12487155527063,4.281810602405611,0.15138486563587317,1.0307240975583185,0.12903154854268775,7.988155681300857,0.5075,"QB1.0,RB2.3,TE1.0,WR9.7",800,1.0
dRB=1.29,False,S2_board_dRB,61.87309452464861,4.247971460087364,0.15018847128573473,1.778947066936289,0.13083638700231415,13.596730295715245,0.665,"QB1.0,RB3.2,TE1.0,WR8.8",800,1.29
dRB=1.345,False,S2_board_dRB,60.740903619606314,4.158552218195452,0.14702702367021817,0.646756161894001,0.14265023333520485,4.533859824639958,0.55375,"QB1.0,RB4.1,TE1.0,WR7.9",800,1.345
dRB=1.4,False,S2_board_dRB,62.11241512104513,4.213256216564199,0.1489611020804461,2.018267663332821,0.15264260576988392,13.222177734409597,0.67125,"QB1.0,RB4.8,TE1.0,WR7.2",800,1.4
dRB=1.75,False,S2_board_dRB,60.397635252387055,4.49575595429063,0.15894897609193512,0.30348779467474407,0.17541517957101083,1.730111358760075,0.5375,"QB1.0,RB7.1,TE1.0,WR4.9",800,1.75
dRB=2.0,False,S2_board_dRB,58.856908154169005,5.021824589151459,0.17754831104591723,-1.2372393035433111,0.1937758824106882,-6.384898307009687,0.42625,"QB1.0,RB8.5,TE1.0,WR3.5",800,2.0
dRB=2.5,False,S2_board_dRB,56.00795066654673,4.946130541215836,0.1748721223163803,-4.086196791165577,0.19776918400073343,-20.661443347768593,0.24625,"QB1.0,RB9.6,TE1.0,WR2.4",800,2.5
dRB=3.0,False,S2_board_dRB,53.788589651676865,4.696308135273226,0.1660395664496624,-6.3055578060354405,0.1914904808515385,-32.92883164737627,0.1275,"QB1.0,RB10.0,TE1.0,WR2.0",800,3.0
