pos,arm,variant,n,rmse_base,rmse_adj,mean_ratio,min_ratio,max_ratio,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,eq7_gain,eq7_p,eq7_mde,rmse_theta_base,rmse_theta_adj
WR,mu_hat,A1 x f3(age)/f3(age-1),568,3.776007070631069,3.618562766714243,0.9907666179064796,0.6930222473842876,1.1075921913459665,1.1764206787314424,3.3940253204170965,0.007948224516931758,1.0902991827628643,9,10,1.0789888659279214,0.1939685656118898,0.08344449223534732,0.3134671420480481,3.403603515941307,3.375630334784321
WR,mu_cal,A1 x f3(age)/f3(age-1),568,3.605936575031075,3.5465610028772283,0.9907666179064796,0.6930222473842876,1.1075921913459665,0.4422591390758111,1.646610569723846,0.13404432792366172,0.8448586055002132,7,10,0.5234711893760778,0.05480416483279654,0.5609311290589385,0.28554238933245035,3.3967477948494955,3.3892784950315344
WR,ridge_P0,A1 x f3(age)/f3(age-1),568,3.5324934385473026,3.615240673868418,0.9907666179064796,0.6930222473842876,1.1075921913459665,-0.5763966884097209,-2.3114140109155406,0.046129616427880084,0.7844077036914624,3,10,-0.7348177302404972,-0.08583410090170014,0.3344091486580534,0.2647292009518252,3.3837557035376933,3.3969543185184388
WR,ridge_P1,A1 x f3(age)/f3(age-1),568,3.5071566073418254,3.591242852836706,0.9907666179064796,0.6930222473842876,1.1075921913459665,-0.5818872894450906,-2.3809754404734536,0.04116182766117083,0.7687445851292536,1,10,-0.7569318870028261,-0.08655099137370974,0.32986758902248847,0.26430633702166123,3.3799889930408704,3.3932963473596662
WR,hier_P1,A1 x f3(age)/f3(age-1),568,3.489339804939282,3.5965874097569546,0.9907666179064796,0.6930222473842876,1.1075921913459665,-0.7451940732138703,-3.024362183096057,0.014377362088044575,0.7750571158542476,1,10,-0.9614698813422763,-0.09965040330271017,0.24872718304345073,0.25417476163750713,3.375924249405445,3.391194259708584
RB,mu_hat,A1 x f3(age)/f3(age-1),489,4.490909578515818,4.341450185840052,0.9773026941465575,0.8924498863964324,1.0986274421640205,1.3114977448118428,3.7783138250478583,0.004360309989786737,1.0918617082254913,9,10,1.2011573763707741,0.3549311314654696,0.010102984460170343,0.3442209283637851,3.7842142879145224,3.7368010828733356
RB,mu_cal,A1 x f3(age)/f3(age-1),489,4.170787806571864,4.077395820470204,0.9773026941465575,0.8924498863964324,1.0986274421640205,0.7519718324653393,1.71282270581898,0.12089745023901999,1.3809796415091713,8,10,0.5445205779019048,0.2014308142907673,0.1428598109071057,0.3946662915955094,3.742032096229915,3.714505239282984
RB,ridge_P0,A1 x f3(age)/f3(age-1),489,4.154197978477145,4.1819825182496935,0.9773026941465575,0.8924498863964324,1.0986274421640205,-0.2543677888899091,-0.5860984965667116,0.572212806425809,1.3651790728158115,3,10,-0.18632558464674626,0.04455427748214598,0.7281027917684996,0.3907308569808315,3.7198042060616547,3.7131977239804783
RB,ridge_P1,A1 x f3(age)/f3(age-1),489,4.071196511093788,4.118799308335423,0.9773026941465575,0.8924498863964324,1.0986274421640205,-0.4099102220202271,-1.0555641962378557,0.3186779175137831,1.2215245853572334,3,10,-0.33557263352202554,0.027705325667225878,0.8158679597755187,0.36344354242721816,3.7018181729621125,3.6975185877770445
RB,hier_P1,A1 x f3(age)/f3(age-1),489,4.0557732937995015,4.096234472735387,0.9773026941465575,0.8924498863964324,1.0986274421640205,-0.3489588900120024,-0.822173382502315,0.43221986862908035,1.3350851611732324,3,10,-0.26137575351773656,0.03717286614602757,0.7630754311615878,0.37629536298070043,3.7069171925539353,3.7013368782369245
