target,predictor,rmse,mean_spearman,dm_t_vs_market,dm_p_vs_market,n
ppg,(i) ADP-only m_hat,3.9046509567151593,0.5234067895266565,,,286
ppg,(ii) blind theta*,3.837792436494228,0.5230107763815194,0.7656999198992223,0.4634617968011888,286
ppsw,(i-SV) ADP-only refit on ppsw,4.69342054140231,0.43111216425531645,,,286
ppsw,(iii) SV = theta* x E[G]/M,4.6577791653871685,0.4212100135681894,0.39928914936147797,0.6989893130263264,286
ppsw_all300,(iii) SV,5.184101960628549,,-0.00928986771782647,0.9927905292734348,300
