metric,strat,mean_diff,se,t,p,ci_lo,ci_hi,mde,seasons_positive,bh_thresh,reject,family
pts14,S5,-31.256773000000003,22.00990891099214,-1.420122778626758,0.18927205982371076,-81.04318695666423,18.529640956664224,61.671764768599985,3,0.02,False,1
pts14,S2,-12.452064999999994,10.301754591050038,-1.2087324435798639,0.2575627535573213,-35.75463388495518,10.850503884955192,28.865516364122207,4,0.04,False,1
pts14,S3,-11.530331,11.98817189034531,-0.9618089484757861,0.3612728552597413,-38.64757581596109,15.58691381596109,33.59085763674756,3,0.06000000000000001,False,1
pts14,S4,3.28952000000001,6.713161135730487,0.49001058271813164,0.6358494390316594,-11.895650489022351,18.47469048902237,18.810277502316826,4,0.08,False,1
pts14,S1,-5.7229630000000125,12.158381235758686,-0.47070106530040046,0.6490531694151453,-33.22522135528616,21.779295355286138,34.06778422259584,6,0.1,False,1
pts17,S4,-7.995487000000002,4.394475245641218,-1.8194406733615227,0.10219388316999822,-17.93579000564044,1.9448160056404342,12.313319638286695,2,0.02,False,0
pts17,S5,-9.228990000000001,7.667704520585023,-1.2036183678209678,0.25943899998460274,-26.573337625563326,8.115357625563322,21.484908066679235,6,0.04,False,0
pts17,S3,-2.8163859999999996,5.366354370914143,-0.5248229627295814,0.6123872089660001,-14.955079587007791,9.322307587007792,15.03652494730143,4,0.06000000000000001,False,0
pts17,S2,-1.450136,4.7012785468646,-0.3084556648886784,0.7647557925407951,-12.084428073007727,9.184156073007726,13.17298248831461,5,0.08,False,0
pts17,S1,0.35802600000000095,4.3262807010934665,0.08275607264907937,0.9358568512748104,-9.42802094587342,10.144072945873422,12.122238524463894,6,0.1,False,0
pts_all,S5,-40.485763000000006,26.31140457706628,-1.5387153840995806,0.15825628102191325,-100.00216015332393,19.030634153323923,73.72455562493973,3,0.02,False,0
pts_all,S2,-13.902200999999994,13.465014223227907,-1.0324683486793438,0.3287983881571448,-44.36006317294152,16.555661172941534,37.7289698534846,3,0.04,False,0
pts_all,S3,-14.346716999999998,15.515191129965926,-0.9246883831350846,0.3792537118286885,-49.442079335982925,20.74864533598293,43.47356554616452,4,0.06000000000000001,False,0
pts_all,S4,-4.705966999999991,9.508846514783432,-0.49490408670322006,0.632524510404403,-26.214977816440115,16.803043816440134,26.643787934423177,3,0.08,False,0
pts_all,S1,-5.364937000000013,15.141778076832988,-0.35431354050871994,0.7312636001871016,-39.61563900979623,28.88576500979621,42.42726217128603,6,0.1,False,0
pts_static,S5,-34.22279299999999,27.688616323456586,-1.235987837030626,0.24774899039876597,-96.85444312365878,28.408857123658805,77.58350293832535,3,0.02,False,0
pts_static,S3,-16.83521,18.130028345039246,-0.9285815598080113,0.3773380021187447,-57.84533411647878,24.174914116478778,50.80033942279997,5,0.04,False,0
pts_static,S2,-12.349489000000002,14.97821944609345,-0.8244964659815383,0.43096592824978996,-46.23022138706338,21.53124338706338,41.968970887953844,4,0.06000000000000001,False,0
pts_static,S1,-13.704888999999998,18.13035588175897,-0.7559084382777366,0.46902596839299604,-54.71575400453878,27.30597600453879,50.80125718068864,5,0.08,False,0
pts_static,S4,-2.4966890000000035,10.052323626534143,-0.2483693415331094,0.8094231086011052,-25.235045043220236,20.24166704322023,28.166610801548668,4,0.1,False,0
