resource,who,n,mean,sd,q5,q10,q25,q50,q75,q90,q95,P(T>0.5),P(T>0.75),P(T<0.25)
carries,EX-ANTE backup,137,0.32054616270140707,0.36449432777810536,-0.337701300250507,-0.13226445069045578,0.06666666666666665,0.30857142857142855,0.5710344827586208,0.7646018413826523,0.884820179594783,0.29927007299270075,0.12408759124087591,0.41605839416058393
carries,EX-POST inheritor,137,0.5940216993610853,0.28132845697520065,0.18702230211389856,0.2682208841541866,0.4048582995951417,0.5710344827586208,0.756880733944954,0.977627935207314,1.16605222734255,0.583941605839416,0.26277372262773724,0.08029197080291971
carries,rest of the room,137,0.5648553280094673,0.4035608008288703,0.05089352594970573,0.10527625032731082,0.24655647382920112,0.5027624309392265,0.8160919540229885,1.0601248399487837,1.1764685004436557,,,
carries,team RB volume change,137,-0.11459850928912571,0.2734420599452766,-0.501628943147389,-0.4356089743589743,-0.2809917355371903,-0.13242009132420093,0.005434782608695768,0.24600000000000008,0.42543907705198014,,,
targets,EX-ANTE backup,137,0.4631310580217271,1.1485737776144285,-0.6721804511278194,-0.40333333333333327,-0.027397260273972605,0.3311688311688311,0.8857142857142857,1.3718931475029037,1.9226495726495718,0.40145985401459855,0.30656934306569344,0.43795620437956206
targets,EX-POST inheritor,137,0.7763212461161385,1.153319425616892,-0.15404479578392627,0.025347348072973317,0.2500000000000001,0.5806451612903225,1.0229885057471264,1.496,1.968205128205125,0.5547445255474452,0.36496350364963503,0.24817518248175183
targets,rest of the room,137,0.8198627389174294,1.813367789652986,-0.33188888888888873,-0.1482142857142858,0.15217391304347827,0.49295774647887325,1.0714285714285714,1.7119658119658119,2.1320512820512802,,,
targets,team RB volume change,137,0.28299379693915655,2.437813772382383,-1.008928571428571,-0.742051282051282,-0.4407894736842105,-0.005847953216374248,0.48611111111111033,1.1936293436293437,1.7048840048840042,,,
inside-10 carries (2018+),EX-ANTE backup,101,0.43898871969446657,0.6896737208708797,-0.31578947368421056,-0.24999999999999997,-0.0625,0.33928571428571425,0.7555555555555556,1.1339285714285716,1.619047619047619,0.43564356435643564,0.25742574257425743,0.43564356435643564
inside-10 carries (2018+),EX-POST inheritor,101,0.7041042263304834,0.699893559717709,-0.21428571428571427,-0.07142857142857142,0.2857142857142857,0.6153846153846153,1.0,1.619047619047619,2.0,0.6138613861386139,0.36633663366336633,0.21782178217821782
inside-10 carries (2018+),rest of the room,101,0.6160454245086191,1.1659261455262946,-0.09523809523809523,-0.0625,0.0,0.3703703703703703,0.7818181818181819,1.2249999999999999,1.8249999999999997,,,
inside-10 carries (2018+),team RB volume change,101,0.055034144203085784,1.3324995015199999,-1.0303030303030303,-0.911764705882353,-0.6250000000000001,-0.16049382716049385,0.3666666666666667,1.0,1.6190476190476188,,,
