from_pick,to_pick,position,best_marginal_now,delta1,delta2,mean_gap_top4,E_drain,drain_rate,p_ge1,W_cost_of_waiting,W_identity,W_identity_naive,residual,se_W
5,16,QB,6.915265489597878,2.350695007383375,0.09850000000000111,0.8654237518458446,0.011666666666666667,0.0010606060606060607,0.011666666666666667,0.02742477508614094,0.0274247750861398,0.027424775086139375,1.141448047192739e-15,0.007289736154248827
5,16,RB,12.227471367966988,1.3904331235709728,0.5075613675531694,0.5214390880548126,6.678333333333334,0.6071212121212122,1.0,2.341974601345422,2.438659282115713,2.4406202138549027,-0.09668468077029102,0.004239980965217997
5,16,TE,4.126355574149942,0.6693538324420774,1.6133058250980556,0.8094539033113627,0.0016666666666666668,0.00015151515151515152,0.0016666666666666668,0.0,0.0011155897207367775,0.0011155897207367957,-0.0011155897207367775,2.5650192292743577e-17
5,16,WR,11.929451104857888,1.6947360364285426,0.6964143360132425,0.8754239581295185,3.308333333333333,0.3007575757575757,1.0,2.432478528598663,2.90782791658462,2.9208021052197166,-0.4753493879859567,1.026007691709743e-16
16,25,QB,6.880005064487126,2.316912082272625,0.10696750000000108,0.8588094271689075,0.08333333333333333,0.009259259259259259,0.08333333333333333,0.19589125061528367,0.19589125061528456,0.19307600685605208,-8.881784197001252e-16,0.020214363981208
16,25,RB,9.84915465582919,0.07511272601987805,0.22178518459676458,0.4674121214670859,3.48,0.38666666666666666,1.0,0.08358319559663485,1.6564210992845472,1.5233498931017937,-1.5728379036879123,0.0007368006661219936
16,25,TE,4.126355574149942,0.6693538324420774,1.6133058250980556,0.8094539033113627,0.6133333333333333,0.06814814814814814,0.6133333333333333,0.0,0.41053701723113806,0.4105370172311407,-0.41053701723113806,2.5650192292743577e-17
16,25,WR,9.496972576259225,1.0033107698707902,0.32431536254929244,0.4373438526690976,3.8233333333333333,0.4248148148148148,1.0,0.015793794989930277,1.711282083443507,1.6933153716201466,-1.6954882884535767,0.004599796219844074
25,36,QB,6.631223176205716,2.078554777324554,0.16671041666666792,0.8121416919482948,0.5141666666666667,0.046742424242424245,0.5016666666666667,1.1374005035686503,1.17486609118554,1.0448255268328182,-0.03746558761688967,0.033228985691012285
25,36,RB,9.752701390782025,1.769779951064365,0.1311263777516261,0.5350788813845957,2.355,0.21409090909090908,0.9958333333333333,0.15099225757798607,1.89791177910236,1.900337944509694,-1.746919521524374,0.014807197487758274
25,36,TE,4.126355574149942,1.9599984925205176,0.32266116501962167,0.8519544241446955,0.3566666666666667,0.032424242424242425,0.3275,0.334790083105891,0.4719646260568161,0.6513104569468752,-0.13717454295092513,0.023321508482196118
25,36,WR,9.43379283388621,1.6909422741381614,0.11168203433633468,0.6141653597530837,6.774166666666667,0.6158333333333333,1.0,1.758604506545769,2.975289890576614,2.973460750418261,-1.216685384030845,0.0038750318968347815
36,45,QB,5.479946118427329,0.9872714695461794,0.4470654166666706,0.5988015588043547,0.5383333333333333,0.059814814814814814,0.4675,0.7031237979806741,0.7822350648688375,0.4932557028139185,-0.07911126688816339,0.020582038316594917
36,45,RB,7.868501949981177,0.26107289751022233,0.7291514865105103,0.5388076069372953,2.8341666666666665,0.3149074074074074,0.9966666666666667,1.116542301818047,1.6341989314413463,1.5310682732096352,-0.5176566296232994,0.025163369803414288
36,45,TE,3.7801521927563497,1.9364562761465414,0.14566128324505892,0.7761301412962976,0.6683333333333333,0.07425925925925926,0.6458333333333334,1.4209556368187544,1.4513910989192742,1.2539053905509885,-0.03043546210051984,0.02756403725618236
36,45,WR,7.673649861221984,0.9516927162727408,0.2661136285538832,0.4382158030609968,3.9591666666666665,0.4399074074074074,1.0,0.6713312251840726,1.7375644046015508,1.7475520454324949,-1.0662331794174782,0.022144720486725458
45,56,QB,4.729994578644626,0.42978242976349557,0.5569372927578957,0.4627624847442632,1.2608333333333333,0.11462121212121211,0.8233333333333334,0.4207113506378537,0.5991638301470571,0.5881357284671599,-0.1784524795092034,0.010923257835942207
45,56,RB,6.281014784871246,0.5287406121203966,0.3183454562319912,0.28583227952063694,3.2108333333333334,0.29189393939393943,0.9975,0.7989118101509387,1.0244628406001763,1.021375435117718,-0.22555103044923763,0.008957766147440887
45,56,TE,2.2374547075354525,0.4224134695968404,0.7756317943427793,0.3921815857174428,0.49,0.04454545454545455,0.41833333333333333,0.4045919872871331,0.42387218973457436,0.22857060070937127,-0.019280202447441275,0.0036971530398687796
