position,era,age,hazard,in_support
WR,1999-2007,21.0,0.09945848547826633,False
WR,1999-2007,21.05,0.09878965519025264,False
WR,1999-2007,21.1,0.09813082402954124,False
WR,1999-2007,21.150000000000002,0.09748294980282918,False
WR,1999-2007,21.200000000000003,0.09684696692648688,False
WR,1999-2007,21.250000000000004,0.09622378742235799,False
WR,1999-2007,21.300000000000004,0.09561430200064762,False
WR,1999-2007,21.350000000000005,0.09501938122714097,False
WR,1999-2007,21.400000000000006,0.09443987677219268,False
WR,1999-2007,21.450000000000006,0.0938766227391437,False
WR,1999-2007,21.500000000000007,0.09333043707006244,False
WR,1999-2007,21.550000000000008,0.0928021230269734,False
WR,1999-2007,21.60000000000001,0.09229247074701796,False
WR,1999-2007,21.65000000000001,0.09180225887030131,False
WR,1999-2007,21.70000000000001,0.09133225623950517,False
WR,1999-2007,21.75000000000001,0.09088322367069343,True
WR,1999-2007,21.80000000000001,0.09045591579510674,True
WR,1999-2007,21.850000000000012,0.09005108297212817,True
WR,1999-2007,21.900000000000013,0.08966947327400965,True
WR,1999-2007,21.950000000000014,0.08931183454337557,True
WR,1999-2007,22.000000000000014,0.08897891652496528,True
WR,1999-2007,22.050000000000015,0.08867147307354128,True
WR,1999-2007,22.100000000000016,0.08839026444037565,True
WR,1999-2007,22.150000000000016,0.08813605964123096,True
WR,1999-2007,22.200000000000017,0.087909638909277,True
WR,1999-2007,22.250000000000018,0.08771179623693029,True
WR,1999-2007,22.30000000000002,0.08754334201116987,True
WR,1999-2007,22.35000000000002,0.08740510574746937,True
WR,1999-2007,22.40000000000002,0.08729793892809914,True
WR,1999-2007,22.45000000000002,0.087222717951181,True
WR,1999-2007,22.50000000000002,0.08718034719753878,True
WR,1999-2007,22.550000000000022,0.08717176222306566,True
WR,1999-2007,22.600000000000023,0.08719793308503745,True
WR,1999-2007,22.650000000000023,0.0872598678115287,True
WR,1999-2007,22.700000000000024,0.08735861602384737,True
WR,1999-2007,22.750000000000025,0.08749527272268268,True
