sample,group,age,f_hat,se,lo,hi
top30_only,all,27.5,15.9006,1.5644,12.8343,18.9668
top30_only,all,27.6,15.8851,1.5931,12.7626,19.0076
top30_only,all,27.7,15.8688,1.6119,12.7095,19.0282
top30_only,all,27.8,15.8517,1.6315,12.654,19.0494
top30_only,all,27.9,15.8338,1.6536,12.5928,19.0747
top30_only,all,28.0,15.815,1.6656,12.5505,19.0796
top30_only,all,28.1,15.7955,1.6883,12.4863,19.1046
top30_only,all,28.2,15.7751,1.7163,12.4113,19.139
top30_only,all,28.3,15.7541,1.7434,12.337,19.1711
top30_only,all,28.4,15.7322,1.743,12.316,19.1485
top30_only,all,28.5,15.7097,1.7767,12.2273,19.1921
top30_only,all,28.6,15.6864,1.7915,12.1752,19.1977
top30_only,all,28.7,15.6625,1.8023,12.13,19.195
top30_only,all,28.8,15.6379,1.8223,12.0662,19.2096
top30_only,all,28.9,15.6126,1.8374,12.0114,19.2139
top30_only,all,29.0,15.5867,1.8655,11.9304,19.2431
top30_only,all,29.1,15.5602,1.8651,11.9046,19.2158
top30_only,all,29.2,15.5331,1.8795,11.8493,19.2169
top30_only,all,29.3,15.5054,1.9068,11.7681,19.2427
top30_only,all,29.4,15.4771,1.9318,11.6908,19.2634
top30_only,all,29.5,15.4483,1.9573,11.612,19.2846
top30_only,all,29.6,15.4189,1.9685,11.5607,19.2771
top30_only,all,29.7,15.389,2.0016,11.4659,19.312
top30_only,all,29.8,15.3586,2.0115,11.416,19.3012
top30_only,all,29.9,15.3277,2.0425,11.3243,19.3311
top30_only,all,30.0,15.2963,2.0606,11.2576,19.3351
top30_only,all,30.1,15.2645,2.1111,11.1268,19.4023
top30_only,all,30.2,15.2323,2.1143,11.0882,19.3764
top30_only,all,30.3,15.1996,2.1433,10.9987,19.4006
top30_only,all,30.4,15.1666,2.1756,10.9025,19.4307
top30_only,all,30.5,15.1331,2.1917,10.8374,19.4288
top30_only,all,30.6,15.0993,2.2317,10.7252,19.4734
top30_only,all,30.7,15.0651,2.2665,10.6228,19.5075
top30_only,all,30.8,15.0306,2.2803,10.5612,19.5
top30_only,all,30.9,14.9958,2.2951,10.4974,19.4942
top30_only,all,31.0,14.9607,2.331,10.392,19.5294
top30_only,all,31.1,14.9253,2.3582,10.3032,19.5473
top30_only,all,31.2,14.8896,2.3894,10.2063,19.5729
top30_only,all,31.3,14.8537,2.4249,10.1009,19.6064
top30_only,all,31.4,14.8175,2.4568,10.0021,19.6329
top30_only,all,31.5,14.7811,2.4707,9.9386,19.6236
top30_only,all,31.6,14.7445,2.4941,9.856,19.6331
top30_only,all,31.7,14.7078,2.5298,9.7494,19.6661
top30_only,all,31.8,14.6709,2.566,9.6414,19.7003
top30_only,all,31.9,14.6338,2.5876,9.5621,19.7055
top30_only,all,32.0,14.5966,2.6276,9.4464,19.7467
top30_only,low_adot,21.0,6.5104,1.9693,2.6504,10.3703
top30_only,low_adot,21.1,6.9683,1.961,3.1247,10.8118
top30_only,low_adot,21.2,7.4254,1.9545,3.5946,11.2562
top30_only,low_adot,21.3,7.8808,1.9532,4.0525,11.7091
top30_only,low_adot,21.4,8.3333,1.9553,4.501,12.1657
top30_only,low_adot,21.5,8.782,1.9666,4.9276,12.6365
top30_only,low_adot,21.6,9.2258,1.9766,5.3516,13.1
top30_only,low_adot,21.7,9.6636,1.9899,5.7634,13.5637
top30_only,low_adot,21.8,10.0943,2.0137,6.1475,14.0412
top30_only,low_adot,21.9,10.5171,2.031,6.5363,14.4979
top30_only,low_adot,22.0,10.9307,2.0616,6.89,14.9713
top30_only,low_adot,22.1,11.3341,2.0884,7.2409,15.4274
top30_only,low_adot,22.2,11.7264,2.1059,7.5988,15.854
top30_only,low_adot,22.3,12.1065,2.1544,7.8838,16.3291
top30_only,low_adot,22.4,12.4732,2.1786,8.2031,16.7434
top30_only,low_adot,22.5,12.8256,2.2201,8.4743,17.177
top30_only,low_adot,22.6,13.1627,2.2544,8.7441,17.5813
top30_only,low_adot,22.7,13.4833,2.296,8.9831,17.9835
top30_only,low_adot,22.8,13.7865,2.3347,9.2104,18.3625
top30_only,low_adot,22.9,14.0711,2.3798,9.4067,18.7355
top30_only,low_adot,23.0,14.3362,2.4342,9.5652,19.1072
top30_only,low_adot,23.1,14.5807,2.4684,9.7427,19.4187
top30_only,low_adot,23.2,14.8035,2.4852,9.9324,19.6746
top30_only,low_adot,23.3,15.0037,2.5379,10.0294,19.9781
top30_only,low_adot,23.4,15.1817,2.5979,10.0898,20.2735
top30_only,low_adot,23.5,15.3385,2.6436,10.157,20.5199
top30_only,low_adot,23.6,15.4752,2.6679,10.2462,20.7043
top30_only,low_adot,23.7,15.5932,2.7166,10.2686,20.9177
top30_only,low_adot,23.8,15.6934,2.7425,10.3181,21.0687
top30_only,low_adot,23.9,15.7772,2.8063,10.2769,21.2774
top30_only,low_adot,24.0,15.8455,2.8471,10.2652,21.4258
top30_only,low_adot,24.1,15.8996,2.9003,10.2151,21.5841
top30_only,low_adot,24.2,15.9407,2.9436,10.1713,21.7101
top30_only,low_adot,24.3,15.9699,2.9894,10.1107,21.8291
top30_only,low_adot,24.4,15.9883,3.0175,10.0739,21.9026
top30_only,low_adot,24.5,15.9971,3.0628,9.994,22.0002
top30_only,low_adot,24.6,15.9975,3.1275,9.8677,22.1273
top30_only,low_adot,24.7,15.9906,3.1696,9.7782,22.2031
top30_only,low_adot,24.8,15.9776,3.2084,9.6892,22.266
top30_only,low_adot,24.9,15.9596,3.2752,9.5403,22.379
top30_only,low_adot,25.0,15.9379,3.3347,9.4019,22.4739
top30_only,low_adot,25.1,15.9134,3.3841,9.2806,22.5463
top30_only,low_adot,25.2,15.8875,3.4299,9.1649,22.6101
top30_only,low_adot,25.3,15.861,3.4739,9.0522,22.6698
top30_only,low_adot,25.4,15.8341,3.5324,8.9105,22.7576
top30_only,low_adot,25.5,15.8067,3.5698,8.8098,22.8036
top30_only,low_adot,25.6,15.7789,3.6426,8.6393,22.9185
top30_only,low_adot,25.7,15.7507,3.7092,8.4807,23.0206
top30_only,low_adot,25.8,15.7221,3.7381,8.3953,23.0488
top30_only,low_adot,25.9,15.693,3.7979,8.2491,23.1369
top30_only,low_adot,26.0,15.6636,3.8478,8.1219,23.2052
top30_only,low_adot,26.1,15.6338,3.9008,7.9883,23.2792
top30_only,low_adot,26.2,15.6035,3.9888,7.7855,23.4216
top30_only,low_adot,26.3,15.5729,4.0071,7.7191,23.4268
top30_only,low_adot,26.4,15.542,4.0946,7.5166,23.5674
top30_only,low_adot,26.5,15.5106,4.1502,7.3761,23.6451
top30_only,low_adot,26.6,15.4789,4.1725,7.3009,23.657
top30_only,low_adot,26.7,15.4468,4.2312,7.1536,23.7401
top30_only,low_adot,26.8,15.4144,4.3099,6.967,23.8619
top30_only,low_adot,26.9,15.3816,4.3421,6.8712,23.8921
top30_only,low_adot,27.0,15.3485,4.4107,6.7035,23.9936
top30_only,low_adot,27.1,15.3151,4.4691,6.5557,24.0745
top30_only,low_adot,27.2,15.2813,4.5485,6.3662,24.1964
top30_only,low_adot,27.3,15.2472,4.6187,6.1946,24.2998
top30_only,low_adot,27.4,15.2128,4.6257,6.1464,24.2792
top30_only,low_adot,27.5,15.1781,4.6847,5.996,24.3601
top30_only,low_adot,27.6,15.143,4.7573,5.8187,24.4674
top30_only,low_adot,27.7,15.1077,4.8292,5.6425,24.5729
top30_only,low_adot,27.8,15.0721,4.8469,5.5722,24.5719
top30_only,low_adot,27.9,15.0362,4.9117,5.4093,24.663
top30_only,low_adot,28.0,15.0,4.9706,5.2575,24.7424
top30_only,low_adot,28.1,14.9635,5.0261,5.1123,24.8146
top30_only,low_adot,28.2,14.9267,5.0955,4.9396,24.9138
top30_only,low_adot,28.3,14.8897,5.1436,4.8082,24.9712
top30_only,low_adot,28.4,14.8525,5.2034,4.6538,25.0511
top30_only,low_adot,28.5,14.8149,5.2254,4.5732,25.0566
top30_only,low_adot,28.6,14.7772,5.2935,4.402,25.1523
top30_only,low_adot,28.7,14.7392,5.3884,4.1778,25.3005
top30_only,low_adot,28.8,14.7009,5.4415,4.0356,25.3663
top30_only,low_adot,28.9,14.6624,5.5088,3.8652,25.4597
top30_only,low_adot,29.0,14.6237,5.5749,3.6969,25.5505
top30_only,low_adot,29.1,14.5848,5.6122,3.585,25.5847
top30_only,low_adot,29.2,14.5457,5.6734,3.4258,25.6656
top30_only,low_adot,29.3,14.5064,5.7404,3.2551,25.7576
top30_only,low_adot,29.4,14.4668,5.7976,3.1035,25.8301
top30_only,low_adot,29.5,14.4271,5.8561,2.9491,25.9051
top30_only,low_adot,29.6,14.3872,5.8865,2.8497,25.9247
top30_only,low_adot,29.7,14.3471,5.9732,2.6397,26.0545
top30_only,low_adot,29.8,14.3068,6.0324,2.4833,26.1303
top30_only,low_adot,29.9,14.2664,6.1091,2.2925,26.2402
top30_only,low_adot,30.0,14.2258,6.158,2.156,26.2955
top30_only,low_adot,30.1,14.185,6.2398,1.9549,26.4151
top30_only,low_adot,30.2,14.1441,6.2927,1.8105,26.4777
top30_only,low_adot,30.3,14.103,6.3534,1.6504,26.5557
top30_only,low_adot,30.4,14.0618,6.4025,1.5129,26.6107
top30_only,low_adot,30.5,14.0205,6.4865,1.3069,26.7341
top30_only,low_adot,30.6,13.979,6.5595,1.1223,26.8357
top30_only,low_adot,30.7,13.9374,6.6225,0.9573,26.9175
top30_only,low_adot,30.8,13.8957,6.6823,0.7985,26.9929
top30_only,low_adot,30.9,13.8539,6.7525,0.619,27.0888
top30_only,low_adot,31.0,13.812,6.8294,0.4263,27.1977
top30_only,low_adot,31.1,13.7699,6.8921,0.2615,27.2784
top30_only,low_adot,31.2,13.7278,6.9608,0.0846,27.371
top30_only,low_adot,31.3,13.6856,7.024,-0.0815,27.4528
top30_only,low_adot,31.4,13.6433,7.0889,-0.2508,27.5375
top30_only,low_adot,31.5,13.601,7.1588,-0.4302,27.6321
top30_only,low_adot,31.6,13.5585,7.2341,-0.6203,27.7373
top30_only,low_adot,31.7,13.516,7.3037,-0.7991,27.8312
top30_only,low_adot,31.8,13.4735,7.3803,-0.9918,27.9388
top30_only,low_adot,31.9,13.4309,7.4507,-1.1726,28.0343
top30_only,low_adot,32.0,13.3882,7.521,-1.353,28.1294
top30_only,high_adot,21.0,12.7207,2.1064,8.5922,16.8492
top30_only,high_adot,21.1,12.7925,2.1133,8.6504,16.9345
top30_only,high_adot,21.2,12.8642,2.0656,8.8155,16.9128
top30_only,high_adot,21.3,12.9358,2.0772,8.8644,17.0071
top30_only,high_adot,21.4,13.0072,2.0251,9.0381,16.9763
top30_only,high_adot,21.5,13.0783,2.0179,9.1232,17.0334
top30_only,high_adot,21.6,13.1492,2.0436,9.1437,17.1547
top30_only,high_adot,21.7,13.2197,1.9987,9.3023,17.1371
top30_only,high_adot,21.8,13.2897,2.0642,9.2438,17.3356
top30_only,high_adot,21.9,13.3592,2.0889,9.265,17.4534
top30_only,high_adot,22.0,13.4282,2.0951,9.3217,17.5346
top30_only,high_adot,22.1,13.4965,2.1061,9.3685,17.6244
top30_only,high_adot,22.2,13.5641,2.1478,9.3543,17.7738
top30_only,high_adot,22.3,13.6309,2.192,9.3346,17.9272
top30_only,high_adot,22.4,13.6968,2.1825,9.4191,17.9746
top30_only,high_adot,22.5,13.7619,2.2686,9.3154,18.2085
top30_only,high_adot,22.6,13.826,2.2824,9.3525,18.2995
top30_only,high_adot,22.7,13.8891,2.3211,9.3397,18.4385
top30_only,high_adot,22.8,13.951,2.3614,9.3227,18.5793
top30_only,high_adot,22.9,14.0118,2.3918,9.3239,18.6997
top30_only,high_adot,23.0,14.0713,2.4164,9.3353,18.8074
top30_only,high_adot,23.1,14.1296,2.4755,9.2775,18.9816
top30_only,high_adot,23.2,14.1864,2.5351,9.2177,19.1552
top30_only,high_adot,23.3,14.2418,2.5703,9.2041,19.2796
top30_only,high_adot,23.4,14.2958,2.6078,9.1845,19.4071
top30_only,high_adot,23.5,14.3482,2.7173,9.0222,19.6741
top30_only,high_adot,23.6,14.399,2.709,9.0894,19.7087
top30_only,high_adot,23.7,14.4483,2.7878,8.9841,19.9124
top30_only,high_adot,23.8,14.4958,2.805,8.9979,19.9937
top30_only,high_adot,23.9,14.5417,2.835,8.9851,20.0983
top30_only,high_adot,24.0,14.5859,2.9,8.9019,20.2698
top30_only,high_adot,24.1,14.6283,2.9475,8.8512,20.4053
top30_only,high_adot,24.2,14.6688,3.0024,8.7841,20.5536
top30_only,high_adot,24.3,14.7075,3.0678,8.6947,20.7203
top30_only,high_adot,24.4,14.7443,3.0523,8.7619,20.7268
top30_only,high_adot,24.5,14.7792,3.14,8.6249,20.9335
top30_only,high_adot,24.6,14.8121,3.1782,8.5829,21.0413
top30_only,high_adot,24.7,14.843,3.232,8.5082,21.1778
top30_only,high_adot,24.8,14.8718,3.2463,8.5091,21.2345
top30_only,high_adot,24.9,14.8985,3.359,8.3149,21.4822
top30_only,high_adot,25.0,14.9231,3.3925,8.2739,21.5723
top30_only,high_adot,25.1,14.9455,3.4148,8.2525,21.6385
top30_only,high_adot,25.2,14.9657,3.4808,8.1433,21.7881
top30_only,high_adot,25.3,14.9836,3.5527,8.0203,21.9468
top30_only,high_adot,25.4,14.9993,3.5701,8.0018,21.9967
top30_only,high_adot,25.5,15.0128,3.632,7.8941,22.1315
top30_only,high_adot,25.6,15.0241,3.717,7.7389,22.3093
top30_only,high_adot,25.7,15.0333,3.7683,7.6473,22.4192
top30_only,high_adot,25.8,15.0404,3.7726,7.6461,22.4347
top30_only,high_adot,25.9,15.0454,3.8661,7.4678,22.6229
top30_only,high_adot,26.0,15.0483,3.936,7.3338,22.7629
top30_only,high_adot,26.1,15.0493,3.9734,7.2614,22.8372
top30_only,high_adot,26.2,15.0482,4.0179,7.1731,22.9233
top30_only,high_adot,26.3,15.0452,4.0804,7.0477,23.0428
top30_only,high_adot,26.4,15.0403,4.1449,6.9163,23.1643
top30_only,high_adot,26.5,15.0335,4.1379,6.9231,23.1438
top30_only,high_adot,26.6,15.0248,4.1726,6.8465,23.203
top30_only,high_adot,26.7,15.0142,4.2403,6.7032,23.3253
top30_only,high_adot,26.8,15.0019,4.3272,6.5205,23.4833
top30_only,high_adot,26.9,14.9878,4.3585,6.4451,23.5305
top30_only,high_adot,27.0,14.972,4.435,6.2794,23.6645
top30_only,high_adot,27.1,14.9544,4.5003,6.1338,23.775
top30_only,high_adot,27.2,14.9351,4.5676,5.9826,23.8876
top30_only,high_adot,27.3,14.9142,4.6096,5.8793,23.9491
top30_only,high_adot,27.4,14.8917,4.5999,5.8759,23.9074
top30_only,high_adot,27.5,14.8676,4.7321,5.5927,24.1424
top30_only,high_adot,27.6,14.8419,4.7633,5.5057,24.178
top30_only,high_adot,27.7,14.8146,4.808,5.3909,24.2383
top30_only,high_adot,27.8,14.7859,4.9172,5.1482,24.4236
top30_only,high_adot,27.9,14.7557,4.9704,5.0138,24.4976
top30_only,high_adot,28.0,14.7241,4.9695,4.9839,24.4642
top30_only,high_adot,28.1,14.691,5.0442,4.8044,24.5776
top30_only,high_adot,28.2,14.6565,5.0843,4.6913,24.6218
top30_only,high_adot,28.3,14.6207,5.1718,4.4841,24.7574
top30_only,high_adot,28.4,14.5836,5.2166,4.3591,24.8082
top30_only,high_adot,28.5,14.5452,5.3292,4.1001,24.9904
top30_only,high_adot,28.6,14.5055,5.3476,4.0242,24.9868
top30_only,high_adot,28.7,14.4646,5.3917,3.8968,25.0324
top30_only,high_adot,28.8,14.4225,5.4787,3.6842,25.1608
top30_only,high_adot,28.9,14.3792,5.5327,3.5351,25.2233
top30_only,high_adot,29.0,14.3348,5.576,3.4058,25.2638
top30_only,high_adot,29.1,14.2892,5.6409,3.2331,25.3454
top30_only,high_adot,29.2,14.2426,5.647,3.1745,25.3108
top30_only,high_adot,29.3,14.1949,5.734,2.9563,25.4336
top30_only,high_adot,29.4,14.1463,5.774,2.8292,25.4633
top30_only,high_adot,29.5,14.0966,5.8236,2.6824,25.5108
top30_only,high_adot,29.6,14.0459,5.8673,2.5459,25.5459
top30_only,high_adot,29.7,13.9943,5.9483,2.3356,25.6531
top30_only,high_adot,29.8,13.9419,6.0114,2.1596,25.7241
top30_only,high_adot,29.9,13.8885,6.0717,1.9879,25.7891
top30_only,high_adot,30.0,13.8343,6.1081,1.8624,25.8062
top30_only,high_adot,30.1,13.7793,6.1484,1.7285,25.8302
top30_only,high_adot,30.2,13.7235,6.2257,1.5211,25.926
top30_only,high_adot,30.3,13.667,6.3015,1.3161,26.0179
top30_only,high_adot,30.4,13.6097,6.3892,1.0868,26.1326
top30_only,high_adot,30.5,13.5518,6.4205,0.9676,26.136
top30_only,high_adot,30.6,13.4932,6.4984,0.7563,26.2301
top30_only,high_adot,30.7,13.434,6.5399,0.6157,26.2522
top30_only,high_adot,30.8,13.3741,6.597,0.4441,26.3042
top30_only,high_adot,30.9,13.3137,6.6463,0.287,26.3404
top30_only,high_adot,31.0,13.2528,6.7252,0.0713,26.4343
top30_only,high_adot,31.1,13.1913,6.776,-0.0896,26.4723
top30_only,high_adot,31.2,13.1294,6.8266,-0.2506,26.5095
top30_only,high_adot,31.3,13.067,6.9011,-0.4591,26.5932
top30_only,high_adot,31.4,13.0042,6.9635,-0.6441,26.6526
top30_only,high_adot,31.5,12.9411,7.0274,-0.8327,26.7148
top30_only,high_adot,31.6,12.8775,7.1015,-1.0413,26.7964
top30_only,high_adot,31.7,12.8137,7.1456,-1.1917,26.819
top30_only,high_adot,31.8,12.7495,7.1914,-1.3456,26.8445
top30_only,high_adot,31.9,12.6851,7.2589,-1.5424,26.9126
top30_only,high_adot,32.0,12.6204,7.3455,-1.7769,27.0176
