predictor,rmse,mean_spearman,dm_t_vs_adp,dm_p_vs_adp,dm_t_vs_blind,dm_p_vs_blind
(i) ADP-only m_hat,3.5636073592015305,0.4610233032977848,,,-2.684113224540752,0.02503678839267556
(ii) blind theta*,3.4631159036313717,0.46667958122408926,2.684113224540752,0.02503678839267556,,
(v) age-detrended theta*_a,3.461840864060927,0.4705888842172869,1.890295218391194,0.09129316713986087,-0.02166281456973452,0.9831896043128736
(vi) usage posterior,3.595335049859754,0.4033552174562855,-0.4192803387724938,0.6848415457837349,-1.4992804673040097,0.1680337228547075
(v+vi) usage + age-detrend,3.60817396407891,0.39376595391191394,-0.6612214329909429,0.5250341403118988,-1.7452437931097171,0.11490013302700415
