pos,n,rmse_base_structonly,rmse_full,mean_gain,dm_t,dm_p,mde80,folds_improved,n_folds,obs_over_mde,eq7_gain,eq7_p,eq7_mde
WR,568,3.547843911411487,3.5096957958369277,0.2492104767742827,0.8755595234647418,0.40403108125958986,0.8953209246672836,5,10,0.27834765156068875,0.07643260018547995,0.37984512699315176,0.26034237020032164
RB,489,4.0340788761854585,4.069071791119681,-0.29467414441086975,-1.3028729621646913,0.22496492562959075,0.7114396644389609,3,10,-0.41419414623620804,0.012355827098952273,0.8689712761983188,0.22897827713577223
