pos,panel,arm,label,n,rmse_incumbent,rmse_arm,d_rmse,folds_improved,mean_gain,sd_folds,dm_t,dm_p,mde80,obs_over_mde,spearman_arm,spearman_incumbent,bh_reject,bh_thresh,bh_reject_pooled14,bh_thresh_pooled14
WR,wide (all board rows),a2_median,2 median (game),638,3.401054144912574,3.497894999690183,0.09684085477760895,2,-0.6702866264094883,1.1309235210202861,-1.874249129324044,0.09366177525902496,1.124945159624364,-0.595839379968804,0.5897448947210872,0.6123738112891938,False,0.028571428571428574,False,0.03571428571428571
WR,wide (all board rows),a3_trim20,3 trimmed mean 20% (game),638,3.401054144912574,3.434162442759791,0.03310829784721703,3,-0.22873863398927724,0.5689542113596104,-1.271341450401068,0.23547898099351988,0.5659465686410551,-0.4041700165061907,0.6013326140546134,0.6123738112891938,False,0.05714285714285715,False,0.05
WR,wide (all board rows),a4_huber,4 Huber c=1.345 (game),638,3.401054144912574,3.41371676908658,0.012662624174005987,4,-0.08661054477675514,0.2803765820063184,-0.9768525920484109,0.35416690890551894,0.2788944371017054,-0.31054956017344504,0.6064730095318939,0.6123738112891938,False,0.07142857142857142,False,0.05714285714285715
WR,wide (all board rows),a5_p60,5 p60 (game),638,3.401054144912574,3.5355655934995296,0.1345114485869554,0,-0.9166820913722777,0.6107599030360004,-4.746223981982848,0.0010497316278750349,0.6075312643538785,-1.5088640620778377,0.5881026221613009,0.6123738112891938,True,0.014285714285714287,True,0.0071428571428571435
WR,wide (all board rows),a6_stable,6 seasons with G>=12 only,638,3.401054144912574,3.4326160614813976,0.031561916568823456,2,-0.2183133658835386,0.4249488887642559,-1.624589446173766,0.13869640247176163,0.42270249633841234,-0.5164704911247049,0.6055156084413976,0.6123738112891938,False,0.042857142857142864,False,0.042857142857142864
WR,wide (all board rows),a7_slope,7 slope-adjusted level,638,3.401054144912574,3.392432535663873,-0.008621609248701034,6,0.05922133822117529,0.5762358214138085,0.3249959615537548,0.7526115696094139,0.573189686175079,0.10331891806421359,0.6127696415398037,0.6123738112891938,False,0.08571428571428573,False,0.07857142857142858
WR,wide (all board rows),a8_usage,8 usage-implied mean,638,3.401054144912574,3.399789445874757,-0.0012646990378173406,5,-0.006424543113141468,0.9284741198965043,-0.021881265969740216,0.9830201154138852,0.9235659596784779,-0.006956236363863012,0.6168104704893327,0.6123738112891938,False,0.1,False,0.1
WR,top-30 stratum (§7-comparable),a2_median,2 median (game),290,3.433157172094699,3.5093640058767397,0.07620683378204074,2,-0.5213282477073761,0.9712155027521973,-1.6974447655212048,0.12384132242968109,0.9660814002590979,-0.5396318028352047,0.4139414608359723,0.46109373375287194,False,,False,
WR,top-30 stratum (§7-comparable),a3_trim20,3 trimmed mean 20% (game),290,3.433157172094699,3.4703172441766488,0.037160072081949824,3,-0.24806460971647662,0.6646961173719584,-1.1801621118027845,0.2681871051014294,0.6611823575692347,-0.37518334673728937,0.43179041793656536,0.46109373375287194,False,,False,
WR,top-30 stratum (§7-comparable),a4_huber,4 Huber c=1.345 (game),290,3.433157172094699,3.4567457617535484,0.023588589658849468,4,-0.1573113011846951,0.40273287173861255,-1.2352158175736168,0.24802269236267102,0.4006039190654036,-0.3926853774962997,0.4413345330276626,0.46109373375287194,False,,False,
WR,top-30 stratum (§7-comparable),a5_p60,5 p60 (game),290,3.433157172094699,3.5674579419943013,0.13430076989960238,2,-0.946319952665988,1.0777756165886656,-2.776576496654362,0.02152086989695349,1.0720782090983105,-0.8826967516314937,0.4224036453375623,0.46109373375287194,False,,False,
WR,top-30 stratum (§7-comparable),a6_stable,6 seasons with G>=12 only,290,3.433157172094699,3.4701384178693644,0.03698124577466544,1,-0.25888735547644676,0.23124921952282174,-3.54022254610223,0.006311901618311501,0.23002677487370424,-1.1254661793984129,0.4381103714927459,0.46109373375287194,False,,False,
