pos,gsis_id,season,mean_t,mean_t1,p25_t,p25_t1,p90_t,p90_t1,iqr_t,iqr_t1,sd_t,sd_t1,bust_t,bust_t1,boom_t,boom_t1
QB,00-0026498,2019,20.82,17.325333333333333,14.36,14.82,27.888,22.872,11.170000000000002,7.57,6.869992721975767,5.38861480566291,0.1015940519722344,0.1373090594000063,0.5251855850769206,0.3489735410140784
QB,00-0026498,2020,17.325333333333333,19.396470588235296,14.82,15.46,22.872,26.008,7.57,8.739999999999998,5.38861480566291,6.329811353010916,0.1373090594000063,0.10818012297617802,0.3489735410140784,0.4313463942909023
QB,00-0026498,2021,19.396470588235296,12.042222222222223,15.46,10.16,26.008,17.68,8.739999999999998,4.6,6.329811353010916,4.14530390254375,0.10818012297617802,0.17844713555958103,0.4313463942909023,0.13158984637026755
QB,00-0026498,2022,12.042222222222223,16.206666666666667,10.16,12.91,17.68,23.2,4.6,6.709999999999997,4.14530390254375,4.63933903338252,0.17844713555958103,0.08975193189388156,0.13158984637026755,0.2929877082828364
QB,00-0026498,2023,16.206666666666667,13.411249999999999,12.91,7.81,23.2,22.78,6.709999999999997,10.435000000000002,4.63933903338252,7.185232888825989,0.08975193189388156,0.22151555854353905,0.2929877082828364,0.1909007142366954
QB,00-0026498,2024,13.411249999999999,20.61058823529412,7.81,13.6,22.78,27.387999999999998,10.435000000000002,13.24,7.185232888825989,6.979441659785755,0.22151555854353905,0.12717192516664996,0.1909007142366954,0.3638247520247018
TE,00-0030506,2019,15.89375,20.850666666666665,11.600000000000001,16.6,22.95,27.304000000000002,9.125,8.799999999999997,5.6130168655842585,6.613055773745347,0.03552776085053291,0.04549113964333073,0.6941075037521844,0.6485556460393955
TE,00-0030506,2020,20.850666666666665,16.425,16.6,11.625,27.304000000000002,24.75,8.799999999999997,7.449999999999999,6.613055773745347,9.202064985643169,0.04549113964333073,0.07298836012973403,0.6485556460393955,0.6013514615579568
TE,00-0030506,2021,16.425,18.605882352941176,11.625,11.3,24.75,29.060000000000002,7.449999999999999,9.3,9.202064985643169,7.921921372703349,0.07298836012973403,0.06706402149680056,0.6013514615579568,0.5910776947357628
TE,00-0030506,2022,18.605882352941176,14.626666666666667,11.3,10.600000000000001,29.060000000000002,22.18,9.3,7.049999999999997,7.921921372703349,8.003433786878754,0.06706402149680056,0.0450022625233318,0.5910776947357628,0.563336656331854
TE,00-0030506,2023,14.626666666666667,12.2125,10.600000000000001,6.625,22.18,22.2,7.049999999999997,10.475000000000001,8.003433786878754,7.396744779518443,0.0450022625233318,0.11094925837336345,0.563336656331854,0.447432691995037
