name,position,team,adp_aug18,stdev,times_drafted,adp_jul13,adp_aug08,d_jul_aug18,d_aug08_aug18
Courtland Sutton,WR,DEN,61.2,6.6,530,74.5,59.8,-13.299999999999997,1.4000000000000057
Jaylen Warren,RB,PIT,63.1,6.2,189,66.0,67.2,-2.8999999999999986,-4.100000000000001
Tyler Warren,TE,IND,64.2,9.4,1397,54.9,65.8,9.300000000000004,-1.5999999999999943
DK Metcalf,WR,PIT,64.9,7.3,672,56.2,65.1,8.700000000000003,-0.19999999999998863
Dak Prescott,QB,DAL,65.4,8.7,408,61.6,67.3,3.8000000000000043,-1.8999999999999915
Marvin Harrison Jr.,WR,ARI,65.4,7.6,897,66.1,63.9,-0.6999999999999886,1.500000000000007
Parker Washington,WR,JAX,65.7,8.1,1425,72.4,75.4,-6.700000000000003,-9.700000000000003
Tony Pollard,RB,TEN,67.2,7.5,297,73.3,63.5,-6.099999999999994,3.700000000000003
Rhamondre Stevenson,RB,NE,71.3,7.1,446,70.7,72.2,0.5999999999999943,-0.9000000000000057
Brian Thomas Jr.,WR,JAX,72.6,8.4,1060,83.5,83.0,-10.900000000000006,-10.400000000000006
Jayden Daniels,QB,WAS,72.6,9.9,545,87.2,71.3,-14.600000000000009,1.2999999999999972
Michael Pittman Jr.,WR,PIT,74.0,7.6,707,70.8,72.2,3.200000000000003,1.7999999999999972
Carnell Tate,WR,TEN,74.0,8.6,1322,62.6,76.4,11.399999999999999,-2.4000000000000057
Chuba Hubbard,RB,CAR,75.4,8.6,256,80.9,74.7,-5.5,0.7000000000000028
Rico Dowdle,RB,PIT,75.4,9.1,388,77.9,71.3,-2.5,4.1000000000000085
Kyle Pitts Sr.,TE,ATL,77.2,8.3,328,86.8,78.5,-9.599999999999994,-1.2999999999999972
Harold Fannin Jr.,TE,CLE,78.2,8.0,176,69.1,81.5,9.100000000000009,-3.299999999999997
Michael Wilson,WR,ARI,79.1,8.7,958,80.9,87.8,-1.8000000000000114,-8.700000000000003
Jalen Hurts,QB,PHI,79.6,11.1,614,94.9,74.6,-15.300000000000011,5.0
