year,name,gsis_id,adp,tier,age,rookie_season,games,ppg,m_hat,tau2,sig2,mu_hat,n_eff,B,theta_star,mu_hat_a,theta_star_a,cohort,exp_bucket,era
2015,Antonio Brown,00-0027793,2.5,vet,27.143052703627653,2010,16,24.3875,19.208027544351076,10.207894543163514,43.03219153227476,24.30625,1.0,0.8082667535755016,20.185526286766923,24.553164853433664,20.232868073206188,career_start<2014,exp3-5,2015-16
2015,Julio Jones,00-0027944,6.2,vet,26.559890485968516,2011,16,23.06875,18.32110140626091,10.207894543163514,43.03219153227476,19.826666666666664,1.0,0.8082667535755016,18.609768321342454,20.04840284520098,18.6522825187026,career_start<2014,exp3-5,2015-16
2015,Dez Bryant,00-0027902,7.6,vet,26.822724161533195,2010,9,9.9,18.32110140626091,10.207894543163514,43.03219153227476,19.75,1.0,0.8082667535755016,18.59506877244991,19.988949716012073,18.640883377233116,career_start<2014,exp3-5,2015-16
2015,Demaryius Thomas,00-0027874,9.1,vet,27.685147159479808,2010,16,16.7125,18.32110140626091,10.207894543163514,43.03219153227476,21.30625,1.0,0.8082667535755016,18.893453637198036,21.534491057498272,18.93721503611954,career_start<2014,exp3-5,2015-16
2015,Odell Beckham Jr.,00-0031235,11.4,soph,22.819986310746064,2014,15,21.28666666666667,16.389810606060603,6.484973361545562,39.27178074071456,24.75,1.0,0.8582728716496688,17.57467624132853,24.32754113502231,17.5148023595491,career_start>=2014,exp0-2,2015-16
2015,Calvin Johnson,00-0025389,13.1,vet,29.921971252566735,2007,15,17.233333333333334,16.389810606060603,10.207894543163514,43.03219153227476,18.75,1.0,0.8082667535755016,16.842337380737273,18.72943385741187,16.83839416745242,career_start<2014,exp6-8,2015-16
2015,Randall Cobb,00-0028002,15.9,vet,25.026694045174537,2011,16,12.68125,16.389810606060603,10.207894543163514,43.03219153227476,18.4625,1.0,0.8082667535755016,16.787214072390228,18.409003773062576,16.776957067128055,career_start<2014,exp3-5,2015-16
2015,A.J. Green,00-0027942,16.7,vet,27.085557837097877,2011,16,17.10625,16.389810606060603,10.207894543163514,43.03219153227476,17.108333333333334,1.0,0.8082667535755016,16.52757530119039,17.35494164598367,16.574858313570104,career_start<2014,exp3-5,2015-16
2015,Brandin Cooks,00-0031236,20.6,soph,21.932922655715263,2014,16,15.85,15.413628962268668,6.484973361545562,39.27178074071456,13.930000000000001,1.0,0.8582728716496688,15.203358489908949,13.502442227939454,15.142761954670942,career_start>=2014,exp0-2,2015-16
2015,T.Y. Hilton,00-0029608,22.8,vet,25.796030116358654,2012,16,13.2125,15.413628962268668,10.207894543163514,43.03219153227476,17.233333333333334,1.0,0.8082667535755016,15.762526788865745,17.351082620681186,15.78510324199312,career_start<2014,exp3-5,2015-16
2015,Jordan Matthews,00-0031299,24.4,soph,23.12662559890486,2014,16,14.41875,15.413628962268668,6.484973361545562,39.27178074071456,13.479999999999999,1.0,0.8582728716496688,15.1395812821513,13.089305077751552,15.084209212759971,career_start>=2014,exp0-2,2015-16
2015,Alshon Jeffery,00-0029137,26.1,vet,25.544147843942504,2012,9,17.633333333333333,15.048424877329804,10.207894543163514,43.03219153227476,16.35,1.0,0.8082667535755016,15.297980101064725,16.416128254834195,15.310659086044472,career_start<2014,exp3-5,2015-16
