predictor,rmse,mean_spearman,dm_t_vs_adp,dm_p_vs_adp,dm_t_vs_blind,dm_p_vs_blind
(i) ADP-only m_hat,3.563607359201531,0.4610233032977848,,,-2.684113224540754,0.025036788392675476
(ii) blind theta*,3.4631159036313717,0.46667958122408926,2.684113224540754,0.025036788392675476,,
(vii) context-adjusted theta*_c,3.4724374334714803,0.4549234853856798,2.7187942196958437,0.023654459402119077,-0.8092527106933107,0.43923929268553663
