log_adp,m
0.1823215567939546,20.486666666666668
0.3364722366212129,20.3425
0.9162907318741551,20.3425
0.9555114450274363,19.556530987394957
1.547562508716013,19.556530987394957
1.7227665977411035,18.379251629089865
1.9740810260220096,18.379251629089865
2.028148247292285,17.943725961538462
2.4159137783010487,17.943725961538462
2.4336133554004498,16.94065359477124
2.4849066497880004,16.94065359477124
2.4932054526026954,16.461948529411764
2.5257286443082556,16.461948529411764
2.5572273113676265,16.42261932202348
2.917770732084279,16.42261932202348
2.9391619220655967,15.39774859415863
3.261935314328648,15.39774859415863
3.265759410767051,14.881502854988153
3.481240089335692,14.881502854988153
3.484312288372662,14.626785714285713
3.5115454388310208,14.626785714285713
3.5409593240373143,14.318447404719464
3.735285826928092,14.318447404719464
3.7400477406883357,13.894337842606387
3.9473901492654373,13.894337842606387
3.949318790171843,13.173062271062273
3.979681653901961,13.173062271062273
3.9871304779149512,12.691904761904762
4.00369019395397,12.691904761904762
4.01096295328305,12.543744208908237
4.207673247529104,12.543744208908237
4.220977213155467,11.833267719934385
4.286341384539473,11.833267719934385
4.31748811353631,8.65625
