player_id,name,season,n_games,adot,target_share,yac_per_rec,td_per_target,slot,ppg,cluster,is_top30_recent
00-0028434,Doug Baldwin,2014,16,9.2143,0.2159,5.1212,0.0306,1,10.4562,2,False
00-0028434,Doug Baldwin,2015,16,9.6117,0.2106,5.641,0.1359,1,16.8062,2,False
00-0028434,Doug Baldwin,2016,16,8.88,0.2205,5.0213,0.056,1,15.85,2,False
00-0028434,Doug Baldwin,2017,16,12.7241,0.209,3.6533,0.069,1,13.9562,2,False
00-0028434,Doug Baldwin,2018,11,11.5775,0.244,3.1837,0.0704,1,12.7909,2,False
00-0028497,Kamar Aiken,2015,15,12.1587,0.201,2.8133,0.0397,0,13.16,1,False
00-0028497,Kamar Aiken,2016,14,11.0,0.0808,3.5714,0.0208,0,4.7357,1,False
00-0028497,Kamar Aiken,2017,10,9.7561,0.1231,3.0769,0.0,0,2.52,1,False
00-0028825,Terrelle Pryor,2016,16,14.0571,0.2469,2.9351,0.0286,0,13.34,1,False
00-0029000,Cole Beasley,2014,13,6.4468,0.1187,6.8,0.0851,1,7.4538,2,False
00-0029000,Cole Beasley,2015,14,4.7671,0.1543,6.3137,0.0685,1,9.4143,2,False
00-0029000,Cole Beasley,2016,16,6.0816,0.2029,5.6933,0.051,1,11.8125,2,False
00-0029000,Cole Beasley,2017,14,6.2903,0.1393,3.5143,0.0645,1,6.4286,2,False
00-0029000,Cole Beasley,2018,16,7.4023,0.1651,3.2769,0.0345,1,9.3875,2,False
00-0029000,Cole Beasley,2019,15,7.9623,0.2241,4.9254,0.0566,1,12.32,2,False
00-0029000,Cole Beasley,2020,15,7.7757,0.1918,4.3293,0.0374,1,13.8333,2,False
00-0029000,Cole Beasley,2021,16,5.625,0.1842,3.7195,0.0089,1,9.9562,2,False
00-0029137,Alshon Jeffery,2014,16,10.9793,0.2381,5.4824,0.069,0,16.35,1,False
00-0029137,Alshon Jeffery,2015,9,14.5851,0.3092,3.2778,0.0426,0,17.6333,1,False
00-0029137,Alshon Jeffery,2016,12,13.5106,0.2212,3.8269,0.0213,0,12.175,1,False
00-0029137,Alshon Jeffery,2017,16,13.7833,0.2128,3.5614,0.075,0,12.2438,1,False
00-0029137,Alshon Jeffery,2018,13,11.0109,0.1921,4.1846,0.0652,0,14.2538,1,False
00-0029137,Alshon Jeffery,2019,9,11.0,0.2274,2.6977,0.0548,0,13.5778,1,False
00-0029159,Jermaine Kearse,2014,14,12.1765,0.1713,5.7297,0.0147,0,7.0057,0,False
00-0029159,Jermaine Kearse,2015,14,11.7727,0.1531,4.6531,0.0758,0,10.5357,0,False
00-0029159,Jermaine Kearse,2016,16,11.6966,0.157,3.3659,0.0112,0,6.125,1,False
00-0029159,Jermaine Kearse,2017,16,9.4412,0.2,4.5385,0.049,0,11.0,1,False
00-0029159,Jermaine Kearse,2018,13,9.3026,0.1708,3.3784,0.0132,0,6.1615,1,False
00-0029262,Rueben Randle,2014,16,11.9764,0.2092,3.2676,0.0236,0,11.425,1,False
00-0029262,Rueben Randle,2015,16,10.9333,0.1445,3.5263,0.0889,0,11.5438,0,False
00-0029269,Travis Benjamin,2014,13,18.2791,0.0973,2.0667,0.0698,0,4.3923,0,False
00-0029269,Travis Benjamin,2015,16,12.408,0.2053,4.7206,0.04,0,12.4875,1,False
00-0029269,Travis Benjamin,2016,13,13.473,0.1591,5.2391,0.0541,0,10.2231,0,False
00-0029269,Travis Benjamin,2017,13,15.2742,0.1281,5.3438,0.0484,0,8.3769,0,False
00-0029293,Marvin Jones,2015,16,12.9126,0.204,4.4462,0.0388,0,10.8688,1,False
00-0029293,Marvin Jones,2016,15,13.9029,0.1866,4.3091,0.0388,0,11.4867,1,False
00-0029293,Marvin Jones,2017,16,15.1776,0.1877,3.1967,0.0841,0,14.0688,0,False
00-0029293,Marvin Jones,2018,9,14.5806,0.184,3.0571,0.0806,0,12.8667,1,False
00-0029293,Marvin Jones,2019,13,13.033,0.192,1.7097,0.0989,0,14.9154,0,False
00-0029293,Marvin Jones,2020,16,12.7043,0.1976,2.5789,0.0783,0,14.2375,1,False
00-0029293,Marvin Jones,2021,17,11.9833,0.1987,1.6438,0.0333,0,10.6,1,False
00-0029293,Marvin Jones,2022,14,13.3165,0.1552,1.9111,0.038,0,8.1214,1,False
00-0029319,Josh Bellamy,2015,9,10.7576,0.115,3.2222,0.0606,0,5.7556,1,False
00-0029319,Josh Bellamy,2016,8,16.4286,0.1277,2.6667,0.0286,0,6.5,0,False
00-0029319,Josh Bellamy,2017,9,12.4783,0.1503,4.8333,0.0217,0,7.5778,1,False
00-0029388,Deonte Thompson,2017,13,14.4776,0.1533,2.7222,0.0299,0,7.6231,1,False
00-0029388,Deonte Thompson,2018,9,13.4074,0.0993,2.2,0.0,0,3.3111,1,False
00-0029415,Keshawn Martin,2015,8,10.1667,0.1268,3.3043,0.0556,1,7.7125,2,False
00-0029435,Damaris Johnson,2014,14,5.5745,0.1085,5.9667,0.0213,0,4.9571,0,False
00-0029572,Jarius Wright,2014,13,10.0333,0.1422,7.7857,0.0333,0,9.2231,0,False
00-0029572,Jarius Wright,2015,15,9.52,0.1211,5.1471,0.0,0,5.2733,1,False
00-0029572,Jarius Wright,2017,8,8.8095,0.0798,3.3333,0.0476,0,4.5875,1,False
00-0029572,Jarius Wright,2018,14,6.1754,0.1109,4.7805,0.0175,0,6.7214,1,False
00-0029572,Jarius Wright,2019,14,10.7857,0.1002,3.2692,0.0,0,3.7929,1,False
00-0029580,Rishard Matthews,2015,10,11.5167,0.1667,5.4884,0.0667,0,13.36,0,False
00-0029580,Rishard Matthews,2016,16,13.213,0.2143,3.1231,0.0833,0,13.2188,1,False
00-0029580,Rishard Matthews,2017,14,11.7586,0.1942,5.2264,0.046,0,11.1571,1,False
00-0029608,T.Y. Hilton,2014,15,13.8244,0.2123,4.5122,0.0534,0,17.2333,1,False
00-0029608,T.Y. Hilton,2015,16,12.8657,0.2165,5.5217,0.0373,0,13.2125,1,False
00-0029608,T.Y. Hilton,2016,16,12.2452,0.2654,3.7582,0.0387,0,17.1125,1,False
00-0029608,T.Y. Hilton,2017,16,12.7523,0.2238,5.3333,0.0367,0,10.975,1,False
00-0029608,T.Y. Hilton,2018,14,11.1833,0.2214,5.9868,0.05,0,17.0714,1,False
00-0029608,T.Y. Hilton,2019,10,10.25,0.229,4.7333,0.0735,0,12.51,1,False
00-0029608,T.Y. Hilton,2020,15,12.5376,0.1831,3.4643,0.0538,0,10.9467,1,False
00-0029608,T.Y. Hilton,2021,9,13.0833,0.1309,2.5909,0.0833,0,7.9111,0,False
00-0029614,Chris Givens,2015,12,13.5472,0.1027,2.6316,0.0189,0,4.9167,1,False
00-0029632,Mohamed Sanu,2014,15,10.7732,0.2086,5.8182,0.0515,1,11.7773,2,False
00-0029632,Mohamed Sanu,2015,14,7.0638,0.1033,6.2812,0.0,1,6.3571,2,False
00-0029632,Mohamed Sanu,2016,15,7.9259,0.1598,4.8644,0.0494,1,9.92,2,False
00-0029632,Mohamed Sanu,2017,15,7.7708,0.1939,3.6567,0.0521,1,11.6227,2,False
00-0029632,Mohamed Sanu,2018,16,8.0213,0.1524,6.0758,0.0426,1,11.4,2,False
00-0029632,Mohamed Sanu,2019,14,7.5114,0.1574,3.2931,0.0227,1,8.7,2,False
00-0029638,Michael Floyd,2014,16,17.6465,0.1743,2.4468,0.0606,0,10.3312,0,False
00-0029638,Michael Floyd,2015,13,15.7931,0.1832,4.0392,0.069,0,13.0846,0,False
00-0029638,Michael Floyd,2016,14,14.6053,0.1372,1.8649,0.0658,0,8.2714,0,False
00-0029638,Michael Floyd,2018,8,14.4545,0.0991,2.9,0.0455,0,3.5,1,False
00-0029640,Brian Quick,2016,15,11.6711,0.1502,4.425,0.0395,0,7.5733,1,False
00-0029664,Josh Gordon,2018,12,14.2817,0.1557,6.439,0.0563,0,11.5583,0,False
