pos,tier,env,estimate,p,bh_thresh,bh_reject
RB,top24,projected,-0.36481792411766506,0.04102039428557142,0.0125,False
RB,top24,realized (leave-own-out),-0.5603912857450372,0.05576822216117988,0.025,False
RB,top12,projected,-0.3072475531010258,0.3112553039861778,0.037500000000000006,False
WR,top24,realized (leave-own-out),-0.17570480229028532,0.37806317358816377,0.05,False
WR,top24,projected,-0.1725869786477328,0.42525612356219256,0.0625,False
RB,top12,realized (leave-own-out),-0.3006843663799249,0.4353360295109008,0.07500000000000001,False
WR,top12,projected,-0.098736948098419,0.7702614776519492,0.08750000000000001,False
WR,top12,realized (leave-own-out),0.03996839237747163,0.8733011895750173,0.1,False
