tier,n,tau2_iso,tau2_ols,mean_resid_iso,tau2_lo,tau2_hi
rookie,25,11.678560682660601,12.642380196718307,0.818947890265861,6.229903693549196,16.399562255817024
soph,46,14.658756969839503,15.77600841994401,0.17068861191896584,10.239619169009401,18.585585466298543
vet,215,12.991944015840863,13.898875252963728,-0.1317459228135764,10.586092507716382,15.476062782317893
