position,era,age,hazard,in_support
WR,1999-2007,21.0,0.10903283760648814,False
WR,1999-2007,21.05,0.11307350388515375,False
WR,1999-2007,21.1,0.11723285565776898,False
WR,1999-2007,21.150000000000002,0.12151040530987954,False
WR,1999-2007,21.200000000000003,0.1259053083100184,False
WR,1999-2007,21.250000000000004,0.1304163453872266,False
WR,1999-2007,21.300000000000004,0.13504190594711338,False
WR,1999-2007,21.350000000000005,0.13977997294654154,False
WR,1999-2007,21.400000000000006,0.14462810944394627,False
WR,1999-2007,21.450000000000006,0.14958344703550489,False
WR,1999-2007,21.500000000000007,0.1546426763767073,False
WR,1999-2007,21.550000000000008,0.15980203997424605,False
WR,1999-2007,21.60000000000001,0.16505732741454793,False
WR,1999-2007,21.65000000000001,0.17040387317281933,False
WR,1999-2007,21.70000000000001,0.17583655712036872,True
WR,1999-2007,21.75000000000001,0.1813498078185321,True
WR,1999-2007,21.80000000000001,0.18693760865516562,True
WR,1999-2007,21.850000000000012,0.19259350684491344,True
WR,1999-2007,21.900000000000013,0.1983106252779154,True
WR,1999-2007,21.950000000000014,0.2040816771639761,True
WR,1999-2007,22.000000000000014,0.2098989833812231,True
WR,1999-2007,22.050000000000015,0.2157544924007309,True
WR,1999-2007,22.100000000000016,0.22163980262228425,True
WR,1999-2007,22.150000000000016,0.22754618692220788,True
WR,1999-2007,22.200000000000017,0.2334646191827732,True
WR,1999-2007,22.250000000000018,0.239385802544833,True
WR,1999-2007,22.30000000000002,0.2453001991016722,True
WR,1999-2007,22.35000000000002,0.2511980607331597,True
WR,1999-2007,22.40000000000002,0.25706946076556914,True
WR,1999-2007,22.45000000000002,0.26290432613422643,True
WR,1999-2007,22.50000000000002,0.26869246972361266,True
WR,1999-2007,22.550000000000022,0.2744236225627438,True
WR,1999-2007,22.600000000000023,0.280087465562462,True
WR,1999-2007,22.650000000000023,0.2856736604954897,True
WR,1999-2007,22.700000000000024,0.29117187993935245,True
WR,1999-2007,22.750000000000025,0.2965718359261334,True
WR,1999-2007,22.800000000000026,0.30186330707092685,True
WR,1999-2007,22.850000000000026,0.3070361639822113,True
WR,1999-2007,22.900000000000027,0.3120803927915022,True
WR,1999-2007,22.950000000000028,0.3169861166758938,True
WR,1999-2007,23.00000000000003,0.3217436152847825,True
WR,1999-2007,23.05000000000003,0.3263433420205033,True
WR,1999-2007,23.10000000000003,0.33077593916119,True
WR,1999-2007,23.15000000000003,0.3350322508522994,True
WR,1999-2007,23.20000000000003,0.339103334030406,True
WR,1999-2007,23.250000000000032,0.3429804673786342,True
WR,1999-2007,23.300000000000033,0.3466551584470683,True
WR,1999-2007,23.350000000000033,0.3501191491033865,True
WR,1999-2007,23.400000000000034,0.35336441950857317,True
WR,1999-2007,23.450000000000035,0.3563831908397383,True
WR,1999-2007,23.500000000000036,0.359167927006711,True
WR,1999-2007,23.550000000000036,0.36171147643317975,True
WR,1999-2007,23.600000000000037,0.3640118746038381,True
WR,1999-2007,23.650000000000038,0.36607358366682063,True
WR,1999-2007,23.70000000000004,0.3679017756548952,True
WR,1999-2007,23.75000000000004,0.3695019205334357,True
WR,1999-2007,23.80000000000004,0.37087975519785915,True
WR,1999-2007,23.85000000000004,0.37204125530204013,True
WR,1999-2007,23.90000000000004,0.37299260970967835,True
WR,1999-2007,23.950000000000042,0.3737401973532143,True
WR,1999-2007,24.000000000000043,0.3742905662826816,True
WR,1999-2007,24.050000000000043,0.3746504146889883,True
WR,1999-2007,24.100000000000044,0.3748265736917795,True
WR,1999-2007,24.150000000000045,0.37482599169056346,True
WR,1999-2007,24.200000000000045,0.37465572008860115,True
WR,1999-2007,24.250000000000046,0.3743229002116277,True
WR,1999-2007,24.300000000000047,0.3738347512573631,True
WR,1999-2007,24.350000000000048,0.3731985591265755,True
WR,1999-2007,24.40000000000005,0.3724216660018486,True
WR,1999-2007,24.45000000000005,0.37151146055589845,True
WR,1999-2007,24.50000000000005,0.37047536868701514,True
WR,1999-2007,24.55000000000005,0.36932084469477655,True
WR,1999-2007,24.60000000000005,0.3680553628243974,True
WR,1999-2007,24.650000000000052,0.3666864091227812,True
WR,1999-2007,24.700000000000053,0.3652214735634079,True
WR,1999-2007,24.750000000000053,0.3636680424104793,True
WR,1999-2007,24.800000000000054,0.3620335908051854,True
WR,1999-2007,24.850000000000055,0.360325575568442,True
WR,1999-2007,24.900000000000055,0.35855142822493125,True
WR,1999-2007,24.950000000000056,0.3567185482626911,True
WR,1999-2007,25.000000000000057,0.3548342966508227,True
WR,1999-2007,25.050000000000058,0.35290598964507136,True
WR,1999-2007,25.10000000000006,0.35094089291710223,True
WR,1999-2007,25.15000000000006,0.3489460819577995,True
WR,1999-2007,25.20000000000006,0.3469274782813194,True
WR,1999-2007,25.25000000000006,0.3448904175156743,True
WR,1999-2007,25.30000000000006,0.3428401819975984,True
WR,1999-2007,25.350000000000062,0.34078200151777555,True
WR,1999-2007,25.400000000000063,0.3387210507042263,True
WR,1999-2007,25.450000000000063,0.33666244673740736,True
WR,1999-2007,25.500000000000064,0.3346112474242996,True
WR,1999-2007,25.550000000000065,0.3325724496578091,True
WR,1999-2007,25.600000000000065,0.33055098828654056,True
WR,1999-2007,25.650000000000066,0.3285517354184764,True
WR,1999-2007,25.700000000000067,0.3265795001803404,True
WR,1999-2007,25.750000000000068,0.3246390289524758,True
WR,1999-2007,25.800000000000068,0.3227350060969711,True
WR,1999-2007,25.85000000000007,0.3208720551945524,True
WR,1999-2007,25.90000000000007,0.31905474080346696,True
WR,1999-2007,25.95000000000007,0.3172875707512423,True
WR,1999-2007,26.00000000000007,0.3155749989678467,True
WR,1999-2007,26.05000000000007,0.31392142886642704,True
WR,1999-2007,26.100000000000072,0.3123312172754814,True
WR,1999-2007,26.150000000000073,0.3108086789240521,True
WR,1999-2007,26.200000000000074,0.309358091479311,True
WR,1999-2007,26.250000000000075,0.30798370113376267,True
WR,1999-2007,26.300000000000075,0.30668972873720507,True
WR,1999-2007,26.350000000000076,0.30548037646656184,True
WR,1999-2007,26.400000000000077,0.30435983502471614,True
WR,1999-2007,26.450000000000077,0.30333229135751155,True
WR,1999-2007,26.500000000000078,0.3024019368761186,True
WR,1999-2007,26.55000000000008,0.30157297616994583,True
WR,1999-2007,26.60000000000008,0.3008496361931706,True
WR,1999-2007,26.65000000000008,0.3002361759057125,True
WR,1999-2007,26.70000000000008,0.29973689634700984,True
WR,1999-2007,26.75000000000008,0.2993561511182181,True
WR,1999-2007,26.800000000000082,0.29909835724533584,True
WR,1999-2007,26.850000000000083,0.298968006392195,True
WR,1999-2007,26.900000000000084,0.29896943173709906,True
WR,1999-2007,26.950000000000085,0.2991027508672835,True
WR,1999-2007,27.000000000000085,0.2993644908018178,True
WR,1999-2007,27.050000000000086,0.2997511486683001,True
WR,1999-2007,27.100000000000087,0.30025930123622024,True
WR,1999-2007,27.150000000000087,0.3008855957594688,True
WR,1999-2007,27.200000000000088,0.3016267409844073,True
WR,1999-2007,27.25000000000009,0.302479498348969,True
WR,1999-2007,27.30000000000009,0.30344067339578246,True
WR,1999-2007,27.35000000000009,0.3045071074202255,True
WR,1999-2007,27.40000000000009,0.3056756693725683,True
WR,1999-2007,27.45000000000009,0.3069432480318818,True
WR,1999-2007,27.500000000000092,0.308306744468123,True
WR,1999-2007,27.550000000000093,0.30976306480770444,True
WR,1999-2007,27.600000000000094,0.3113091133168754,True
WR,1999-2007,27.650000000000095,0.3129417858163358,True
WR,1999-2007,27.700000000000095,0.3146579634396417,True
WR,1999-2007,27.750000000000096,0.3164545067471064,True
WR,1999-2007,27.800000000000097,0.31832825020603095,True
WR,1999-2007,27.850000000000097,0.3202759970471757,True
WR,1999-2007,27.900000000000098,0.3222945145064113,True
WR,1999-2007,27.9500000000001,0.3243805294594212,True
WR,1999-2007,28.0000000000001,0.3265307244561764,True
WR,1999-2007,28.0500000000001,0.3287417341606469,True
WR,1999-2007,28.1000000000001,0.33101014219985014,True
WR,1999-2007,28.1500000000001,0.33333247842486713,True
WR,1999-2007,28.200000000000102,0.33570521658487235,True
WR,1999-2007,28.250000000000103,0.3381247724135475,True
WR,1999-2007,28.300000000000104,0.3405875021254719,True
WR,1999-2007,28.350000000000104,0.3430897013182251,True
WR,1999-2007,28.400000000000105,0.3456276042740169,True
WR,1999-2007,28.450000000000106,0.3481973836526858,True
WR,1999-2007,28.500000000000107,0.35079515056590377,True
WR,1999-2007,28.550000000000107,0.35341695502041703,True
WR,1999-2007,28.600000000000108,0.3560587867161553,True
WR,1999-2007,28.65000000000011,0.3587165761830906,True
WR,1999-2007,28.70000000000011,0.3613861962388355,True
WR,1999-2007,28.75000000000011,0.3640634637471805,True
WR,1999-2007,28.80000000000011,0.36674414165609176,True
WR,1999-2007,28.85000000000011,0.36942394129216394,True
WR,1999-2007,28.900000000000112,0.3720985248871653,True
WR,1999-2007,28.950000000000113,0.3747635083111523,True
WR,1999-2007,29.000000000000114,0.3774144639856882,True
WR,1999-2007,29.050000000000114,0.3800469239500016,True
WR,1999-2007,29.100000000000115,0.3826564627105942,True
WR,1999-2007,29.150000000000116,0.38524063832696964,True
WR,1999-2007,29.200000000000117,0.38779912593460025,True
WR,1999-2007,29.250000000000117,0.39033171373553777,True
WR,1999-2007,29.300000000000118,0.39283820235671396,True
WR,1999-2007,29.35000000000012,0.3953184046196452,True
WR,1999-2007,29.40000000000012,0.39777214530582694,True
WR,1999-2007,29.45000000000012,0.4001992609183627,True
WR,1999-2007,29.50000000000012,0.40259959944034696,True
WR,1999-2007,29.55000000000012,0.4049730200905098,True
WR,1999-2007,29.600000000000122,0.40731939307660786,True
WR,1999-2007,29.650000000000123,0.4096385993470257,True
WR,1999-2007,29.700000000000124,0.4119305303410376,True
WR,1999-2007,29.750000000000124,0.41419508773815455,True
WR,1999-2007,29.800000000000125,0.4164321832069669,True
