pos,panel,target,arm,rmse_base,rmse_arm,mean_spearman_base,mean_spearman_arm,folds_improved,mean_gain,sd_folds,dm_t,dm_p,mde80,n,adopted
RB,RB wide panel (all board rows),ppg,(ii) blind theta*,3.7506236095472127,3.790927307456422,0.6436388611298771,0.6079017519422714,5,-0.313171862379724,0.9580200728891675,-1.0337323947817725,0.3282382282892956,0.8229756824272133,573,False
RB,RB wide panel (all board rows),ppsw,(iii) SV,4.290870678300794,4.346222982166974,0.539485587633327,0.5130129124513589,3,-0.49803425123266554,1.2744941109850347,-1.2357237064473479,0.24784260398652974,1.0948389187443648,573,False
WR,WR wide panel (all board rows),ppg,(ii) blind theta*,3.4353629149400557,3.401054144912574,0.6152778405758542,0.6123738112891938,5,0.24583484853968846,0.6076194550408259,1.2794159949597081,0.23274835323721424,0.5219682236513287,638,False
WR,WR wide panel (all board rows),ppsw,(iii) SV,4.042996668587908,3.9507989567326254,0.5288903161620234,0.5418710148918938,8,0.7166907945934773,0.6803446535223712,3.331216431638725,0.008782062898743606,0.5844419353654342,638,True
RB,"RB top-30 panel (§G6, restated)",ppg,(ii) blind theta*,3.9046509567151593,3.837792436494228,,,5,0.4878078592652188,2.0146063173311926,0.7656999198992228,0.4634617968011886,1.730623455339252,286,False
RB,"RB top-30 panel (§G6, restated)",ppsw,(iii) SV,4.69342054140231,4.6577791653871685,,,6,0.32264161541059033,2.555246928911372,0.3992891493614768,0.6989893130263274,2.1950543048111695,286,False
