pos,cut,level,n,mean_gain,sd,folds_pos,t,p
WR,adp_rank,all,638,0.24583484853968854,0.607619455040827,5.0,1.2794159949597064,0.232748353237215
WR,adp_rank,adp_rank <= 30,290,0.6180029669683583,0.7539338320523392,8.0,2.592133279178996,0.02911143149123109
WR,adp_rank,adp_rank 31-45,146,0.3542472759917099,1.2405635077285053,7.0,0.9029995159983749,0.39005446636053354
WR,adp_rank,adp_rank > 45,202,-0.47109860034493795,0.9478729539659208,3.0,-1.5716711542135111,0.15047587829488354
WR,prior,B<1 pooled,568,0.2767026610775511,0.6914570700152775,5.0,1.2654591030725153,0.23748495426613725
WR,n_eff,n_eff<=1,101,0.3325316559235924,1.2210990260485028,7.0,0.8611565519209627,0.41150659835403225
WR,n_eff,1-2,91,0.3530702291086368,1.2009549764697807,5.0,0.9296818947057903,0.37679783250651966
WR,n_eff,2-3,376,0.26161788953870246,0.9142022436220953,4.0,0.9049511892585367,0.38907364802355227
WR,cross,<=30 & B<1,286,0.6250416964995696,0.7634317273286427,8.0,2.5890401495764195,0.029259503676416363
WR,cross,>30 & B<1,282,-0.0974825312307935,0.9735145580295753,4.0,-0.3166535397187553,0.7587280083246886
WR,dev_reg,all,638,0.7577279843992191,0.2344439462515952,,3.232021967357851,0.0012291760634232896
WR,dev_reg,adp_rank<=30,290,1.274692518031791,0.23801302119920895,,5.355557908594068,8.52928235909219e-08
WR,dev_reg,adp_rank>30,348,0.4199899319607798,0.2999151148373531,,1.4003626732468768,0.16140474174454866
RB,adp_rank,all,573,-0.31317186237972394,0.9580200728891676,5.0,-1.0337323947817723,0.32823822828929566
RB,adp_rank,adp_rank <= 30,286,0.408387661108547,1.7523245962507026,5.0,0.7369839926775812,0.4799023690540254
RB,adp_rank,adp_rank 31-45,144,-0.5733585243645178,1.668165983134557,3.0,-1.08689355327705,0.3053344386357659
RB,adp_rank,adp_rank > 45,143,-1.4719914322798435,1.4548116616819895,1.0,-3.1996207790059072,0.010837896110107728
RB,prior,B<1 pooled,489,-0.3537442144857078,1.1182318957922512,5.0,-1.0003626538388326,0.3432702359918754
RB,n_eff,n_eff<=1,101,-0.9491645711499002,2.4301078231717375,4.0,-1.23513940021521,0.2480497978928586
RB,n_eff,1-2,101,0.8469100432624834,2.437227583330862,6.0,1.0988570490085485,0.30035512889841004
RB,n_eff,2-3,287,-0.4453109263368247,1.3607007186495732,3.0,-1.0349056003890347,0.32771897429253616
RB,cross,<=30 & B<1,260,0.44378758570600185,1.9418292696025476,5.0,0.7227100703994397,0.4882119873642631
RB,cross,>30 & B<1,229,-1.319096557315565,1.1411633855262107,1.0,-3.6553482417248664,0.005273501174861093
RB,dev_reg,all,573,0.3395885787502809,0.1637463375093351,,2.0738697665889543,0.03809140757591025
RB,dev_reg,adp_rank<=30,286,0.6928805148690572,0.24888396716263667,,2.7839499778476484,0.005370131548035552
RB,dev_reg,adp_rank>30,287,-0.13730285247811935,0.2888426463890819,,-0.4753551949291008,0.6345338242178704
