pos,window,rate,fit,n_fit,alpha,beta,prior_mean,prior_n,mu_phat,var_phat,binom_noise,var_p,degenerate
QB,career,boom,board,24,9.841600249327026,18.399973164606305,0.3484791766053498,28.24157341393333,0.3484791766053498,0.013858379203950494,0.0060940418728537985,0.007764337331096696,False
QB,career,boom,population,135,1.7410356138035252,7.936816842758725,0.17989896225613392,9.67785245656225,0.17989896225613392,0.02090333812580071,0.007086390735351449,0.013816947390449263,False
QB,career,bust,board,24,4.674911232157197,24.746732784610877,0.1588936100747075,29.421644016768074,0.1588936100747075,0.007980353508791562,0.0035872171392229133,0.004393136369568649,False
QB,career,bust,population,135,2.1905584392905593,3.9778021782093522,0.3551281410292142,6.1683606174999115,0.3551281410292142,0.04294750256641179,0.010999870925326661,0.031947631641085134,False
QB,last3,boom,board,23,12.234830699069777,22.330043428709978,0.35396717065538674,34.56487412777975,0.35396717065538674,0.01365107622586108,0.007221293515763161,0.006429782710097919,False
QB,last3,boom,population,62,2.97638122804265,10.098406892960101,0.22764278858649536,13.07478812100275,0.22764278858649536,0.02196803998314024,0.009476089988618175,0.012491949994522066,False
QB,last3,bust,board,23,6.370254793141932,36.561783411134634,0.14837997587795343,42.932038204276566,0.14837997587795343,0.006866757056518794,0.00399041979101695,0.002876337265501844,False
QB,last3,bust,population,62,3.5465929224252273,8.297171257822676,0.29944812041597013,11.843764180247902,0.2994481204159701,0.027639395704947094,0.011306259978434267,0.016333135726512828,False
QB,recent,boom,board,21,3098.8664653752767,5429.089445607384,0.3633774022429485,8527.95591098266,0.3633774022429485,0.016547983064400463,0.016520859666390605,2.7123398009858135e-05,False
QB,recent,boom,population,36,14.563156546043032,35.833478362431094,0.288970812684048,50.39663490847413,0.288970812684048,0.020646108598890458,0.016648440610185382,0.003997667988705076,False
QB,recent,bust,board,21,5.744843349323225,30.292360738643332,0.159414235779782,36.03720408796656,0.159414235779782,0.013187796574979352,0.009569776788921383,0.003618019786057969,False
QB,recent,bust,population,36,3.0347164041042305,9.815379734313872,0.23616293383450251,12.850096138418102,0.23616293383450251,0.027640999804747858,0.014616541294542436,0.013024458510205422,False
QB,season_2018,boom,board,7,2.4582251403833033,5.112553656187998,0.3246991104133961,7.570778796571302,0.3246991104133961,0.0406718028504724,0.015088410335679805,0.025583392514792594,False
QB,season_2018,boom,population,33,3.8026122227768813,8.486893788589075,0.3094194526012708,12.289506011365956,0.3094194526012708,0.03220120972898479,0.016122428864560636,0.016078780864424155,False
QB,season_2018,bust,board,7,2.8226188891811503,12.049756633066457,0.18978937728937728,14.872375522247607,0.18978937728937728,0.02026906053348361,0.010581199422715662,0.009687861110767948,False
QB,season_2018,bust,population,33,3.052724542562454,10.69944782413311,0.22198125948125946,13.752172366695564,0.2219812594812595,0.02473804283883094,0.013030914178222787,0.011707128660608154,False
QB,season_2019,boom,board,10,2.9402340610863615,4.178676828144168,0.4130173992673992,7.118910889230529,0.4130173992673993,0.04780097440164977,0.01794056202892946,0.029860412372720312,False
QB,season_2019,boom,population,34,2.4509689414895055,6.027715510548,0.289074201941849,8.478684452037506,0.289074201941849,0.03773891326676318,0.016057602030649997,0.021681311236113183,False
QB,season_2019,bust,board,10,7.156178117449364,55.28276962139212,0.11461080586080585,62.438947738841485,0.11461080586080585,0.009108920432352209,0.007509348360972898,0.001599572071379311,False
QB,season_2019,bust,population,34,1.4239116277921502,5.67664368322463,0.20053524906466083,7.10055531101678,0.20053524906466083,0.03231805515551182,0.012526712859607929,0.019791342295903888,False
QB,season_2020,boom,board,11,2.781811586083962,4.517333396285996,0.38111471861471863,7.299144982369958,0.38111471861471863,0.045051168573489994,0.01663061556821077,0.028420553005279223,False
