pos,a,b,adp_a,adp_b,val_a,val_b,d_p25,d_p90,d_bust,d_boom,shape_dist,p25_a,p25_b,p90_a,p90_b,bust_a,bust_b,boom_a,boom_b,n_a,n_b
RB,AJ Dillon,James Conner,161.4,163.1,7.481169871794872,7.481169871794872,-6.075000000000001,-14.780000000000008,0.25427354150481524,-0.4876981240725896,20.85500000000001,1.975,8.05,11.14,25.92000000000001,0.3040570480216435,0.0497835065168283,0.0720857113199549,0.5597838353925445,20,32
RB,Bhayshul Tuten,TreVeyon Henderson,51.2,55.7,11.36028003858886,11.36028003858886,-3.45,-16.96,0.2029885837064361,-0.12265280092451672,20.41,2.05,5.5,11.88,28.84,0.3288963114186918,0.1259077277122557,0.1394842778594306,0.2621370787839473,15,17
RB,Tank Bigsby,James Conner,155.6,163.1,7.491790151433535,7.481169871794872,-6.65,-13.520000000000007,0.3626879268868598,-0.4399508929283253,20.17000000000001,1.4,8.05,12.400000000000002,25.92000000000001,0.4124714334036881,0.0497835065168283,0.1198329424642192,0.5597838353925445,35,32
RB,Keaton Mitchell,James Conner,157.1,163.1,7.491790151433535,7.481169871794872,-5.175000000000001,-14.570000000000006,0.25427354150481524,-0.4479916805433354,19.745000000000005,2.875,8.05,11.350000000000003,25.92000000000001,0.3040570480216435,0.0497835065168283,0.1117921548492091,0.5597838353925445,20,32
RB,James Conner,Emari Demercado,163.1,164.4,7.481169871794872,7.481169871794872,5.700000000000001,13.22000000000001,-0.2990786303334056,0.4543400234308923,18.92000000000001,8.05,2.35,25.92000000000001,12.7,0.0497835065168283,0.3488621368502339,0.5597838353925445,0.1054438119616522,32,31
RB,James Conner,Samaje Perine,163.1,165.1,7.481169871794872,7.481169871794872,4.250000000000001,13.940000000000008,-0.16395401057410489,0.5036818943703341,18.19000000000001,8.05,3.8,25.92000000000001,11.98,0.0497835065168283,0.2137375170909332,0.5597838353925445,0.0561019410222104,32,45
RB,Alvin Kamara,Woody Marks,132.8,144.7,7.491790151433535,7.491790151433535,6.300000000000001,11.299999999999999,-0.1342245702448667,0.2538104378737038,17.6,11.05,4.75,27.15,15.85,0.0429865173963316,0.1772110876411983,0.5283213279269308,0.274510890053227,38,16
RB,James Conner,Ty Johnson,163.1,167.0,7.481169871794872,7.481169871794872,5.750000000000001,11.72000000000001,-0.3290144256522751,0.418579745498937,17.47000000000001,8.05,2.3,25.92000000000001,14.2,0.0497835065168283,0.3787979321691034,0.5597838353925445,0.1412040898936075,32,36
RB,James Conner,Dylan Sampson,163.1,164.1,7.481169871794872,7.481169871794872,6.050000000000001,11.310000000000004,-0.29560207415353223,0.36090448741690284,17.360000000000007,8.05,2.0,25.92000000000001,14.610000000000005,0.0497835065168283,0.3453855806703605,0.5597838353925445,0.1988793479756417,32,14
WR,Matthew Golden,Calvin Ridley,119.9,130.2,10.169649826735766,10.169649826735766,-3.9250000000000003,-13.04,0.1714562699406023,-0.1206012927938593,16.965,2.725,6.65,11.18,24.22,0.5532856563575601,0.3818293864169578,0.0897457444467263,0.2103470372405856,12,39
RB,Ray Davis,James Conner,161.4,163.1,7.481169871794872,7.481169871794872,-6.6000000000000005,-10.170000000000009,0.3536803402224053,-0.3733000074544349,16.77000000000001,1.45,8.05,15.75,25.92000000000001,0.4034638467392336,0.0497835065168283,0.1864838279381096,0.5597838353925445,26,32
WR,Cooper Kupp,Adonai Mitchell,159.7,160.7,8.413288726154798,8.413288726154798,3.4250000000000003,13.119999999999996,-0.24562963652584952,0.09128352041898521,16.544999999999995,5.325,1.9,25.22,12.100000000000003,0.4564806942210989,0.7021103307469484,0.176916794286704,0.0856332738677188,38,25
RB,Chris Rodriguez Jr.,James Conner,160.6,163.1,7.491790151433536,7.481169871794872,-5.300000000000001,-11.040000000000008,0.24705295771153238,-0.36052050297925053,16.34000000000001,2.75,8.05,14.88,25.92000000000001,0.2968364642283607,0.0497835065168283,0.199263332413294,0.5597838353925445,24,32
WR,Tank Dell,Malik Washington,153.1,155.7,9.338003994797472,9.338003994797472,2.250000000000001,13.979999999999997,-0.2555773660983494,0.1264735744800561,16.229999999999997,6.325,4.074999999999999,24.389999999999997,10.41,0.3411747202297675,0.5967520863281169,0.1889782026998597,0.0625046282198036,24,24
RB,James Conner,Justice Hill,163.1,163.6,7.481169871794872,7.481169871794872,5.000000000000001,10.999999999999998,-0.2147354139129984,0.40553482170411304,16.0,8.05,3.05,25.92000000000001,14.92000000000001,0.0497835065168283,0.2645189204298267,0.5597838353925445,0.1542490136884315,32,39
RB,Tyler Allgeier,James Conner,161.4,163.1,7.481169871794872,7.481169871794872,-4.8500000000000005,-10.840000000000007,0.18060061720850829,-0.40003945543034924,15.690000000000008,3.2,8.05,15.080000000000002,25.92000000000001,0.2303841237253366,0.0497835065168283,0.1597443799621953,0.5597838353925445,50,32
RB,Tyrone Tracy Jr.,AJ Dillon,156.1,161.4,7.491790151433533,7.481169871794872,4.125,11.559999999999999,-0.198793138359586,0.2820811204570311,15.684999999999999,6.1,1.975,22.7,11.14,0.1052639096620575,0.3040570480216435,0.354166831776986,0.0720857113199549,31,20
