player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta,E_total,nname,model_value,value,frame,demand,R_exp,VORP_R_exp,R_real,VORP_R_real,R_week,VORP_R_week,vorp_rank_real,R_cont,VORP_R_cont
5672,Jahmyr Gibbs,RB,DET,1.6,1.02,993,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,jahmyr gibbs,247.19710350558137,247.19710350558137,10,24,138.03684210526316,109.16026140031818,162.21038751917948,84.98671598640186,187.93038751917948,59.26671598640186,3,84.85038751917948,162.34671598640188
5670,Bijan Robinson,RB,ATL,2.0,1.02,709,1,4,0.8,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,bijan robinson,247.19710350558137,247.19710350558137,10,24,138.03684210526316,109.16026140031818,162.21038751917948,84.98671598640186,187.93038751917948,59.26671598640186,3,84.85038751917948,162.34671598640188
5714,Puka Nacua,WR,LAR,2.9,1.03,248,1,6,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",297.47999999999996,puka nacua,273.2079184389867,273.2079184389867,10,36,153.68615384615384,119.52176459283288,175.08021096145626,98.12770747753046,199.61821096145627,73.58970747753045,1,126.11021096145626,147.09770747753046
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1156,1,7,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",297.47999999999996,jamarr chase,268.33334481233743,268.33334481233743,10,36,153.68615384615384,114.6471909661836,175.08021096145626,93.25313385088116,199.61821096145627,68.71513385088116,2,126.11021096145626,142.22313385088117
2434,Christian McCaffrey,RB,SF,5.3,1.05,588,2,10,1.3,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,christian mccaffrey,239.555034033514,239.555034033514,10,24,138.03684210526316,101.5181919282508,162.21038751917948,77.3446465143345,187.93038751917948,51.6246465143345,6,84.85038751917948,154.7046465143345
5671,Jaxon Smith-Njigba,WR,SEA,5.9,1.06,659,2,11,1.2,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,jaxon smith njigba,244.58973403469935,244.58973403469935,10,36,153.68615384615384,90.9035801885455,175.08021096145626,69.50952307324309,199.61821096145627,44.97152307324308,7,126.11021096145626,118.47952307324309
5182,Amon-Ra St. Brown,WR,DET,7.0,1.07,685,3,11,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,amon ra st brown,255.24738878459965,255.24738878459965,10,36,153.68615384615384,101.5612349384458,175.08021096145626,80.16717782314339,199.61821096145627,55.62917782314338,5,126.11021096145626,129.1371778231434
4864,Jonathan Taylor,RB,IND,7.5,1.08,904,3,15,1.6,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",240.98285714285717,jonathan taylor,213.8491262979844,213.8491262979844,10,24,138.03684210526316,75.81228419272122,162.21038751917948,51.63873877880491,187.93038751917948,25.918738778804908,11,84.85038751917948,128.99873877880492
5683,De'Von Achane,RB,MIA,9.4,1.09,339,4,14,1.8,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",225.8461538461538,devon achane,213.8491262979844,213.8491262979844,10,24,138.03684210526316,75.81228419272122,162.21038751917948,51.63873877880491,187.93038751917948,25.918738778804908,11,84.85038751917948,128.99873877880492
5574,Drake London,WR,ATL,10.6,1.11,209,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,drake london,230.05415857879711,230.05415857879711,10,36,153.68615384615384,76.36800473264327,175.08021096145626,54.973947617340855,199.61821096145627,30.435947617340844,10,126.11021096145626,103.94394761734085
4869,CeeDee Lamb,WR,DAL,11.3,1.11,723,6,18,2.0,14,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,ceedee lamb,237.46687191836523,237.46687191836523,10,36,153.68615384615384,83.78071807221139,175.08021096145626,62.38666095690897,199.61821096145627,37.84866095690896,9,126.11021096145626,111.35666095690897
5696,Rashee Rice,WR,KC,11.4,1.11,176,6,19,1.8,5,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 5187, ""start_date"": ""2026-08-01"", ""end_date"": ""2026-08-08""}",256.34235294117644,rashee rice,238.59234942658483,238.59234942658483,10,36,153.68615384615384,84.90619558043099,175.08021096145626,63.51213846512857,199.61821096145627,38.97413846512856,8,126.11021096145626,112.48213846512857
