position,outcome,era,n,players,peak,peak_lo,peak_hi,cliff,cliff_lo,cliff_hi,slope28_32,slope_lo,slope_hi
WR,relative,POOLED,2612,664,25.600000000000065,25.20000000000006,26.70125000000008,29.50000000000012,28.250000000000103,30.450000000000134,-0.05090555498288618,-0.06314950942795297,-0.03862715673884944
WR,relative,1999-2007,821,239,25.750000000000068,25.20000000000006,29.600000000000122,31.050000000000143,27.050000000000086,32.75000000000017,-0.03209938015480651,-0.055768495501628775,-0.008097773713647944
WR,relative,2008-2016,888,292,25.750000000000068,23.350000000000033,27.40000000000009,29.35000000000012,27.550000000000093,30.651250000000136,-0.06050888860866857,-0.08196713198255084,-0.03850320915865379
WR,relative,2017-2025,903,301,25.25000000000006,24.300000000000047,26.10125000000007,28.0500000000001,26.75000000000008,29.600000000000122,-0.07038520031198736,-0.09778382070902146,-0.04402200633485183
WR,absolute_confounded,POOLED,2612,664,25.600000000000065,25.25000000000006,26.502500000000076,29.40000000000012,28.1500000000001,30.500000000000135,-0.523285549120518,-0.6728840499875597,-0.3786639081899459
WR,absolute_confounded,1999-2007,821,239,25.85000000000007,25.350000000000062,30.05000000000013,31.800000000000153,27.547500000000092,33.35250000000018,-0.2527977165640345,-0.48912951026837503,0.016662424180020372
WR,absolute_confounded,2008-2016,888,292,26.200000000000074,23.69875000000004,27.551250000000092,29.900000000000126,28.1000000000001,31.301250000000145,-0.5346273512319462,-0.7529695090087375,-0.3157224650077585
WR,absolute_confounded,2017-2025,903,301,25.25000000000006,24.148750000000046,26.400000000000077,27.9500000000001,26.850000000000083,29.151250000000115,-0.7241824657941796,-1.0174325850510084,-0.4533082632455708
RB,relative,POOLED,2044,567,24.750000000000053,23.600000000000037,26.100000000000072,27.550000000000093,26.350000000000076,28.401250000000104,-0.0849309654622609,-0.10907540787055615,-0.062429220214680996
RB,relative,1999-2007,638,220,26.150000000000073,21.500000000000007,27.25000000000009,28.65000000000011,22.050000000000015,30.25000000000013,-0.09811843749272811,-0.15534389736142032,-0.04813711743288348
RB,relative,2008-2016,688,243,24.800000000000054,23.650000000000038,27.050000000000086,28.300000000000104,25.750000000000068,31.350000000000147,-0.04900250959443822,-0.08609701217811908,-0.0123670106389598
RB,relative,2017-2025,718,230,24.350000000000048,21.250000000000004,26.05125000000007,26.950000000000085,25.34750000000006,28.002500000000097,-0.07479829713010197,-0.10313340682113326,-0.030456802425583133
RB,absolute_confounded,POOLED,2044,567,24.60000000000005,23.400000000000034,25.90000000000007,27.40000000000009,26.348750000000077,28.350000000000104,-0.8183384672539586,-1.048723535945372,-0.5854087104104017
RB,absolute_confounded,1999-2007,638,220,26.150000000000073,21.500000000000007,28.0512500000001,28.80000000000011,22.100000000000016,30.651250000000136,-0.8853217519638785,-1.396935017088033,-0.4134314402331888
RB,absolute_confounded,2008-2016,688,243,24.55000000000005,23.500000000000036,26.350000000000076,27.25000000000009,25.500000000000064,29.852500000000123,-0.5598448651136734,-0.9060661715414924,-0.18516727476917474
RB,absolute_confounded,2017-2025,718,230,24.000000000000043,21.250000000000004,25.35250000000006,26.60000000000008,24.60000000000005,27.650000000000095,-0.8157510271558142,-1.0984911219501352,-0.47803421475813046
