pos,mean_B_all,mean_B_hasdata,median_B_hasdata,mean_V,mean_tau2,mean_sig2,mean_neff,frac_no_prior,rmse_market,rmse_theta,dm_p,adopted
TE,0.6431033124950866,0.6292239968698955,0.6075665409903411,12.397743423892525,7.049148283261295,26.170927366209305,2.2763286896163475,0.0374331550802139,2.8263940333796285,2.7983965368377604,0.6664775866082328,False
QB,0.7004094596588295,0.6830997839946733,0.6669955688708233,21.75256545087195,9.484446349416464,46.29176418235701,2.3093506057108835,0.0546218487394958,3.286939809338855,3.2535535338904866,0.6007218055627069,False
WR,0.6625991885430197,0.6578967382091244,0.6261929833496457,,,,2.1060943319729417,0.013745704467353952,,,,
RB,0.6388161694085598,0.6030946916577581,0.5808818652357335,,13.028696861342711,41.50667751813677,1.999974617204293,0.09,,,,
