log_src,log_ffc_equiv,position
0.4762341789963717,0.47000362924573563,ALL
0.959350221334602,0.6931471805599453,ALL
1.332366019094335,1.0647107369924282,ALL
1.5496879080283263,1.3609765531356006,ALL
1.763017000362401,1.721329585734875,ALL
1.8946168546677629,1.721329585734875,ALL
2.089391872533004,1.9804065847987888,ALL
2.1198634561787513,1.9804065847987888,ALL
2.359910159613315,2.417758816740654,ALL
2.4973291697865574,2.417758816740654,ALL
2.511223958105374,2.417758816740654,ALL
2.5626389983283526,2.662561766545891,ALL
2.8338014064077703,2.662561766545891,ALL
2.8814431271518632,2.662561766545891,ALL
2.937043277205311,2.662561766545891,ALL
2.9621754900251482,3.0482089076537213,ALL
2.9699015135194693,3.0482089076537213,ALL
3.0402275134405423,3.0482089076537213,ALL
3.0946722214088944,3.0482089076537213,ALL
3.1166215908294443,3.0482089076537213,ALL
3.1183922862898785,3.0482089076537213,ALL
3.166740070447672,3.0867524145273517,ALL
3.211649779776461,3.0867524145273517,ALL
3.2634667081960758,3.0867524145273517,ALL
3.3028492586443794,3.0867524145273517,ALL
3.323956301318708,3.105077962841433,ALL
3.3375473545856993,3.105077962841433,ALL
3.3520071374713836,3.105077962841433,ALL
3.566994266123812,3.105077962841433,ALL
3.5920931854262443,3.349904087274605,ALL
3.634159241913703,3.433138409517798,ALL
3.6488384045767526,3.433138409517798,ALL
3.661251286996462,3.5193520811239076,ALL
3.670715483486265,3.5193520811239076,ALL
3.6750340472918834,3.5193520811239076,ALL
3.720378121173307,3.5193520811239076,ALL
3.74856245627511,3.5193520811239076,ALL
3.750444809772091,3.5193520811239076,ALL
3.7600366484302645,3.5193520811239076,ALL
3.7984062786411785,3.5193520811239076,ALL
3.8148510936758724,3.906051137400629,ALL
3.8514233832992164,3.906051137400629,ALL
3.8607297110405954,3.906051137400629,ALL
3.8693242508950307,3.906051137400629,ALL
3.9150185144079446,3.906051137400629,ALL
3.9333930311643384,3.933062755437905,ALL
3.966511190712216,3.933062755437905,ALL
3.9830404926634264,3.933062755437905,ALL
4.00369019395397,3.933062755437905,ALL
4.0260657214688065,3.933062755437905,ALL
4.061476958596484,3.933062755437905,ALL
4.094511215001422,3.933062755437905,ALL
4.104129862956897,3.933062755437905,ALL
4.128423875874963,3.933062755437905,ALL
4.1892000932347795,4.081632713959256,ALL
4.195847647552622,4.081632713959256,ALL
4.209160236650682,4.081632713959256,ALL
4.243051882383293,4.081632713959256,ALL
4.264649766520309,4.081632713959256,ALL
4.269977130865259,4.081632713959256,ALL
4.28096243218686,4.081632713959256,ALL
4.286478926661966,4.081632713959256,ALL
4.3267781604434035,4.243820982071944,ALL
4.328625857946767,4.243820982071944,ALL
4.341334840010591,4.243820982071944,ALL
4.34756458111878,4.243820982071944,ALL
4.369954053439613,4.243820982071944,ALL
4.379272846477261,4.243820982071944,ALL
4.397038392294319,4.243820982071944,ALL
4.436514819957951,4.29759620837284,ALL
4.452834524684393,4.29759620837284,ALL
4.47688216568656,4.29759620837284,ALL
4.478472532942134,4.29759620837284,ALL
4.506895616719751,4.29759620837284,ALL
4.512835574785296,4.29759620837284,ALL
